Date,Adj Close_COHANCE.NS,Close_COHANCE.NS,High_COHANCE.NS,Low_COHANCE.NS,Open_COHANCE.NS,Volume_COHANCE.NS,Date
2025-05-05,1077.800048828125,1077.800048828125,1123.4000244140625,1026.199951171875,1088.800048828125,507924,2025-05-05
2025-05-12,1079.199951171875,1079.199951171875,1098.0,1041.5999755859375,1077.800048828125,1940640,2025-05-12
2025-05-19,1088.699951171875,1088.699951171875,1098.5999755859375,990.0,1048.199951171875,928788,2025-05-19
2025-05-26,1047.699951171875,1047.699951171875,1119.0,1032.5,1090.0,965489,2025-05-26
2025-06-02,1055.0999755859375,1055.0999755859375,1072.9000244140625,1001.0999755859375,1047.5,853180,2025-06-02
2025-06-09,1004.5,1004.5,1061.5,974.9000244140625,1055.0,1440648,2025-06-09
2025-06-16,983.0,983.0,1020.5,975.9000244140625,1004.5,1934769,2025-06-16
2025-06-23,944.0999755859375,944.0999755859375,1007.0,930.2999877929688,983.0,1673082,2025-06-23
2025-06-30,1036.5,1036.5,1049.9000244140625,934.2000122070312,940.5,1980383,2025-06-30
2025-07-07,1017.9500122070312,1017.9500122070312,1034.199951171875,985.25,1033.1500244140625,931290,2025-07-07
2025-07-14,1056.6500244140625,1056.6500244140625,1074.9000244140625,995.0,1017.9500122070312,710682,2025-07-14
