Date,Adj Close_ASAHIINDIA.NS,Close_ASAHIINDIA.NS,High_ASAHIINDIA.NS,Low_ASAHIINDIA.NS,Open_ASAHIINDIA.NS,Volume_ASAHIINDIA.NS,Date
2020-07-13,170.53857421875,172.64999389648438,175.5500030517578,160.0,168.35000610351562,69804,2020-07-13
2020-07-20,169.79774475097656,171.89999389648438,183.3000030517578,168.10000610351562,170.0,147942,2020-07-20
2020-07-27,169.7483673095703,171.85000610351562,174.0,165.10000610351562,173.39999389648438,110396,2020-07-27
2020-08-03,194.09690856933594,196.5,197.89999389648438,169.25,173.85000610351562,467909,2020-08-03
2020-08-10,196.22061157226562,198.64999389648438,206.25,191.0,198.14999389648438,246432,2020-08-10
2020-08-17,232.37301635742188,235.25,242.1999969482422,200.0,200.0500030517578,1239249,2020-08-17
2020-08-24,216.66748046875,219.35000610351562,234.9499969482422,215.3000030517578,232.0,529433,2020-08-24
2020-08-31,210.34571838378906,212.9499969482422,227.0,200.0,220.0,383065,2020-08-31
2020-09-07,214.39559936523438,217.0500030517578,235.0,210.0,215.89999389648438,364542,2020-09-07
2020-09-14,220.91485595703125,223.64999389648438,238.0,217.64999389648438,220.0,275453,2020-09-14
2020-09-21,201.60394287109375,204.10000610351562,226.8000030517578,201.10000610351562,226.8000030517578,129591,2020-09-21
2020-09-28,206.29588317871094,208.85000610351562,218.8000030517578,205.5,207.0,112951,2020-09-28
2020-10-05,220.61854553222656,223.35000610351562,229.35000610351562,206.0,210.60000610351562,159807,2020-10-05
2020-10-12,221.7544708251953,224.5,229.0500030517578,216.1999969482422,221.5,218762,2020-10-12
2020-10-19,228.4219207763672,231.25,233.64999389648438,216.0,221.10000610351562,340667,2020-10-19
2020-10-26,221.50753784179688,224.25,239.9499969482422,218.10000610351562,233.0,185495,2020-10-26
2020-11-02,218.74176025390625,221.4499969482422,228.35000610351562,220.0,224.64999389648438,221372,2020-11-02
2020-11-09,239.2873992919922,242.25,245.0,221.14999389648438,223.5,609542,2020-11-09
2020-11-16,235.13876342773438,238.0500030517578,245.0,230.3000030517578,239.6999969482422,342992,2020-11-16
2020-11-23,251.68392944335938,254.8000030517578,264.25,236.9499969482422,240.0,366875,2020-11-23
2020-11-30,270.5009765625,273.8500061035156,279.75,245.64999389648438,254.8000030517578,638459,2020-11-30
2020-12-07,263.8335266113281,267.1000061035156,288.95001220703125,264.1499938964844,273.8500061035156,726645,2020-12-07
2020-12-14,254.301513671875,257.45001220703125,275.8500061035156,253.5500030517578,270.95001220703125,223064,2020-12-14
2020-12-21,269.4637756347656,272.79998779296875,296.0,231.0,258.5,2593070,2020-12-21
2020-12-28,274.5014343261719,277.8999938964844,299.5,264.0,266.04998779296875,1509220,2020-12-28
2021-01-04,286.5522155761719,290.1000061035156,294.0,276.29998779296875,276.29998779296875,491957,2021-01-04
2021-01-11,265.018798828125,268.29998779296875,293.3999938964844,267.54998779296875,293.0,275877,2021-01-11
2021-01-18,259.2403564453125,262.45001220703125,277.0,260.0,269.6499938964844,218501,2021-01-18
2021-01-25,261.16650390625,264.3999938964844,268.8999938964844,256.04998779296875,263.0,165383,2021-01-25
2021-02-01,286.9967041015625,290.54998779296875,302.0,263.04998779296875,265.5,632522,2021-02-01
2021-02-08,287.7869567871094,291.3500061035156,297.8999938964844,280.1499938964844,290.54998779296875,598658,2021-02-08
