Date,Adj Close_GPTINFRA.NS,Close_GPTINFRA.NS,High_GPTINFRA.NS,Low_GPTINFRA.NS,Open_GPTINFRA.NS,Volume_GPTINFRA.NS,Date
2020-07-13,5.398480415344238,6.599999904632568,6.949999809265137,6.349999904632568,6.912499904632568,396220,2020-07-13
2020-07-20,5.33713436126709,6.525000095367432,6.875,6.287499904632568,6.650000095367432,1243152,2020-07-20
2020-07-27,5.388255596160889,6.587500095367432,6.675000190734863,6.237500190734863,6.675000190734863,1041724,2020-07-27
2020-08-03,6.206207275390625,7.587500095367432,7.699999809265137,6.637499809265137,6.724999904632568,2161540,2020-08-03
2020-08-10,5.592743873596191,6.837500095367432,8.175000190734863,6.400000095367432,8.175000190734863,2627684,2020-08-10
2020-08-17,7.047094345092773,8.199999809265137,8.475000381469727,6.900000095367432,7.150000095367432,5972052,2020-08-17
2020-08-24,7.487536907196045,8.712499618530273,10.637499809265137,8.5,8.5,5204744,2020-08-24
2020-08-31,7.079322338104248,8.237500190734863,9.0,7.400000095367432,8.975000381469727,1302664,2020-08-31
2020-09-07,6.155465126037598,7.162499904632568,8.3125,7.025000095367432,8.237500190734863,716692,2020-09-07
2020-09-14,6.1339802742004395,7.137499809265137,7.724999904632568,6.987500190734863,7.550000190734863,614052,2020-09-14
2020-09-21,5.983584880828857,6.962500095367432,7.137499809265137,6.5,7.137499809265137,307856,2020-09-21
2020-09-28,5.87615966796875,6.837500095367432,7.474999904632568,6.637499809265137,7.0625,191896,2020-09-28
2020-10-05,5.693535804748535,6.625,7.0625,6.537499904632568,6.787499904632568,440564,2020-10-05
2020-10-12,5.897644519805908,6.862500190734863,6.987500190734863,6.337500095367432,6.637499809265137,332236,2020-10-12
2020-10-19,6.348829746246338,7.387499809265137,7.5,6.574999809265137,7.0,615668,2020-10-19
2020-10-26,5.822447299957275,6.775000095367432,7.487500190734863,6.6875,7.487500190734863,155944,2020-10-26
2020-11-02,6.048039436340332,7.037499904632568,7.400000095367432,6.5625,7.400000095367432,175176,2020-11-02
