Date,Adj Close_MSTCLTD.NS,Close_MSTCLTD.NS,High_MSTCLTD.NS,Low_MSTCLTD.NS,Open_MSTCLTD.NS,Volume_MSTCLTD.NS,Date
2020-07-13,128.5352783203125,160.10000610351562,174.8000030517578,150.0,163.6999969482422,1315525,2020-07-13
2020-07-20,122.99565124511719,153.1999969482422,174.0,152.5,161.0,2338455,2020-07-20
2020-07-27,113.56224060058594,141.4499969482422,154.14999389648438,138.0,154.14999389648438,1418586,2020-07-27
2020-08-03,128.25430297851562,159.75,162.89999389648438,138.0,141.3000030517578,1608581,2020-08-03
2020-08-10,118.13845825195312,147.14999389648438,164.0,145.25,161.14999389648438,1714112,2020-08-10
2020-08-17,128.45498657226562,160.0,166.85000610351562,145.0500030517578,149.60000610351562,4342943,2020-08-17
2020-08-24,121.55052185058594,151.39999389648438,161.9499969482422,150.0,160.9499969482422,2188597,2020-08-24
2020-08-31,121.9118423461914,151.85000610351562,162.0,137.5,152.89999389648438,2776617,2020-08-31
2020-09-07,119.30258178710938,148.60000610351562,161.0,144.10000610351562,156.5,1616838,2020-09-07
2020-09-14,138.0489501953125,171.9499969482422,174.35000610351562,150.6999969482422,150.6999969482422,4089468,2020-09-14
2020-09-21,135.60426330566406,165.5,186.75,156.10000610351562,173.6999969482422,3369561,2020-09-21
2020-09-28,132.2039337158203,161.35000610351562,167.6999969482422,159.0,166.14999389648438,879237,2020-09-28
2020-10-05,131.01580810546875,159.89999389648438,175.6999969482422,158.25,163.0,2082283,2020-10-05
2020-10-12,123.23188781738281,150.39999389648438,161.85000610351562,149.3000030517578,160.89999389648438,984418,2020-10-12
2020-10-19,129.95065307617188,158.60000610351562,161.39999389648438,149.75,151.5500030517578,749244,2020-10-19
2020-10-26,120.4460678100586,147.0,158.9499969482422,145.0,158.9499969482422,632970,2020-10-26
2020-11-02,122.5764389038086,149.60000610351562,154.0,142.4499969482422,148.1999969482422,1306304,2020-11-02
2020-11-09,123.23188781738281,150.39999389648438,152.8000030517578,145.10000610351562,150.0,1183102,2020-11-09
2020-11-16,121.10157012939453,147.8000030517578,156.14999389648438,145.0,149.3000030517578,1593201,2020-11-16
2020-11-23,129.29518127441406,157.8000030517578,161.1999969482422,147.39999389648438,149.75,2235216,2020-11-23
2020-11-30,136.3416748046875,166.39999389648438,173.39999389648438,157.0,157.8000030517578,2887351,2020-11-30
2020-12-07,129.04937744140625,157.5,167.5,156.5500030517578,166.75,1152428,2020-12-07
2020-12-14,131.09776306152344,160.0,173.3000030517578,157.0500030517578,158.64999389648438,2148179,2020-12-14
2020-12-21,134.82586669921875,164.5500030517578,171.6999969482422,142.9499969482422,159.9499969482422,2441387,2020-12-21
2020-12-28,144.24851989746094,176.0500030517578,178.8000030517578,160.1999969482422,165.75,4405572,2020-12-28
2021-01-04,148.22239685058594,180.89999389648438,191.0,170.0,177.0,5217714,2021-01-04
2021-01-11,210.73965454101562,257.20001220703125,263.8999938964844,177.10000610351562,181.64999389648438,15218479,2021-01-11
2021-01-18,185.6262664794922,226.5500030517578,257.70001220703125,223.0,255.0500030517578,5195040,2021-01-18
2021-01-25,166.4531707763672,203.14999389648438,234.0,195.0,232.0,2901440,2021-01-25
2021-02-01,248.06153869628906,302.75,311.0,200.0500030517578,203.35000610351562,7962344,2021-02-01
2021-02-08,243.47315979003906,297.1499938964844,400.0,290.0,305.0,17621425,2021-02-08
