Date,Adj Close_MALLCOM.NS,Close_MALLCOM.NS,High_MALLCOM.NS,Low_MALLCOM.NS,Open_MALLCOM.NS,Volume_MALLCOM.NS,Date
2022-01-31,926.0528564453125,934.75,1079.8499755859375,901.1500244140625,949.9000244140625,14766,2022-01-31
2022-02-07,879.39111328125,887.6500244140625,975.0,856.7000122070312,975.0,8749,2022-02-07
2022-02-14,792.9032592773438,800.3499755859375,889.9500122070312,701.5499877929688,825.0,10362,2022-02-14
2022-02-21,767.9873046875,775.2000122070312,960.4000244140625,650.0,745.5,8875,2022-02-21
2022-02-28,784.9777221679688,792.3499755859375,924.2999877929688,735.1500244140625,760.0499877929688,6948,2022-02-28
2022-03-07,721.3255615234375,728.0999755859375,848.7999877929688,690.0,814.0,13661,2022-03-07
2022-03-14,735.6410522460938,742.5499877929688,798.9000244140625,687.2000122070312,793.5999755859375,11191,2022-03-14
2022-03-21,688.731689453125,695.2000122070312,759.0,687.3499755859375,757.4000244140625,19112,2022-03-21
2022-03-28,782.5010375976562,789.8499755859375,799.0,662.0,720.4000244140625,15931,2022-03-28
2022-04-04,800.3831176757812,807.9000244140625,849.0,775.25,789.8499755859375,8954,2022-04-04
2022-04-11,830.6488647460938,838.4500122070312,878.0,800.0,835.0,4546,2022-04-11
2022-04-18,845.1624755859375,853.0999755859375,899.0,817.0,844.0,14265,2022-04-18
2022-04-25,823.46630859375,831.2000122070312,879.5499877929688,790.0,879.5499877929688,5246,2022-04-25
2022-05-02,727.4678955078125,734.2999877929688,839.9500122070312,700.0999755859375,837.0,9257,2022-05-02
2022-05-09,665.7474975585938,672.0,749.0,605.0,749.0,17418,2022-05-09
2022-05-16,641.772705078125,647.7999877929688,749.0,624.0499877929688,729.0,6977,2022-05-16
2022-05-23,637.3640747070312,643.3499755859375,713.5,616.25,689.0,4148,2022-05-23
2022-05-30,686.2054443359375,692.6500244140625,713.0,639.9500122070312,640.0,6730,2022-05-30
2022-06-06,641.72314453125,647.75,692.0,641.0,677.9500122070312,2287,2022-06-06
2022-06-13,649.6487426757812,655.75,705.0499877929688,625.0,660.6500244140625,6787,2022-06-13
2022-06-20,710.5269165039062,717.2000122070312,740.0,640.2000122070312,705.0,5873,2022-06-20
2022-06-27,734.0559692382812,740.9500122070312,750.0,680.2000122070312,739.0,4488,2022-06-27
2022-07-04,727.7650146484375,734.5999755859375,768.5999755859375,715.0,755.75,3251,2022-07-04
2022-07-11,730.8362426757812,737.7000122070312,793.1500244140625,715.1500244140625,738.0,2767,2022-07-11
2022-07-18,756.0989379882812,763.2000122070312,809.0,731.0,749.9500122070312,4639,2022-07-18
2022-07-25,715.8767700195312,722.5999755859375,790.1500244140625,701.0,745.0999755859375,4339,2022-07-25
2022-08-01,691.01025390625,697.5,809.0,680.0,737.0499877929688,9596,2022-08-01
2022-08-08,679.765869140625,686.1500244140625,744.0,661.0999755859375,711.4500122070312,6304,2022-08-08
2022-08-15,671.691650390625,678.0,735.0,654.0,686.1500244140625,12161,2022-08-15
