Date,Adj Close_MSPL.NS,Close_MSPL.NS,High_MSPL.NS,Low_MSPL.NS,Open_MSPL.NS,Volume_MSPL.NS,Date
2020-07-13,6.349999904632568,6.349999904632568,7.0,6.199999809265137,6.5,25655,2020-07-13
2020-07-20,6.75,6.75,6.949999809265137,6.050000190734863,6.050000190734863,36790,2020-07-20
2020-07-27,6.199999809265137,6.199999809265137,6.75,5.949999809265137,6.75,22908,2020-07-27
2020-08-03,6.699999809265137,6.699999809265137,6.900000095367432,5.949999809265137,6.0,55856,2020-08-03
2020-08-10,7.400000095367432,7.400000095367432,7.650000095367432,6.400000095367432,6.699999809265137,57447,2020-08-10
2020-08-17,7.5,7.5,7.75,6.900000095367432,7.650000095367432,68569,2020-08-17
2020-08-24,7.699999809265137,7.699999809265137,8.0,7.199999809265137,7.5,189660,2020-08-24
2020-08-31,7.25,7.25,7.949999809265137,7.050000190734863,7.949999809265137,22047,2020-08-31
2020-09-07,7.0,7.0,7.400000095367432,6.699999809265137,6.949999809265137,19008,2020-09-07
2020-09-14,7.099999904632568,7.099999904632568,7.349999904632568,6.800000190734863,6.900000095367432,26083,2020-09-14
2020-09-21,6.199999809265137,6.199999809265137,7.099999904632568,6.150000095367432,7.099999904632568,8293,2020-09-21
2020-09-28,6.400000095367432,6.400000095367432,6.599999904632568,5.949999809265137,6.25,14208,2020-09-28
2020-10-05,6.199999809265137,6.199999809265137,6.699999809265137,6.0,6.650000095367432,23923,2020-10-05
2020-10-12,6.099999904632568,6.099999904632568,6.5,6.0,6.5,17640,2020-10-12
2020-10-19,6.25,6.25,6.5,5.75,6.400000095367432,37930,2020-10-19
2020-10-26,6.300000190734863,6.300000190734863,6.550000190734863,5.949999809265137,6.400000095367432,17263,2020-10-26
2020-11-02,6.25,6.25,6.449999809265137,5.949999809265137,6.449999809265137,9294,2020-11-02
2020-11-09,6.5,6.5,6.699999809265137,6.050000190734863,6.400000095367432,27788,2020-11-09
2020-11-16,6.900000095367432,6.900000095367432,7.0,6.199999809265137,6.349999904632568,50734,2020-11-16
2020-11-23,7.300000190734863,7.300000190734863,7.699999809265137,6.849999904632568,6.849999904632568,40373,2020-11-23
2020-11-30,7.75,7.75,7.800000190734863,6.949999809265137,7.300000190734863,55569,2020-11-30
2020-12-07,8.0,8.0,8.800000190734863,7.050000190734863,8.0,123937,2020-12-07
2020-12-14,9.949999809265137,9.949999809265137,10.850000381469727,7.199999809265137,8.350000381469727,177781,2020-12-14
2020-12-21,8.350000381469727,8.350000381469727,9.949999809265137,8.300000190734863,9.949999809265137,274813,2020-12-21
2020-12-28,7.849999904632568,7.849999904632568,8.800000190734863,7.800000190734863,8.550000190734863,278541,2020-12-28
2021-01-04,7.75,7.75,8.199999809265137,7.0,8.149999618530273,1041312,2021-01-04
2021-01-11,8.350000381469727,8.350000381469727,9.0,7.550000190734863,8.100000381469727,541816,2021-01-11
2021-01-18,7.699999809265137,7.699999809265137,8.449999809265137,7.550000190734863,8.300000190734863,208288,2021-01-18
2021-01-25,7.150000095367432,7.150000095367432,8.050000190734863,7.150000095367432,7.550000190734863,213475,2021-01-25
2021-02-01,7.25,7.25,7.800000190734863,6.900000095367432,7.5,156269,2021-02-01
2021-02-08,8.199999809265137,8.199999809265137,8.649999618530273,7.150000095367432,7.349999904632568,360738,2021-02-08
2021-02-15,7.25,7.25,8.25,7.25,8.199999809265137,307546,2021-02-15
2021-02-22,7.449999809265137,7.449999809265137,7.949999809265137,7.0,7.400000095367432,101995,2021-02-22
2021-03-01,7.199999809265137,7.199999809265137,7.849999904632568,7.150000095367432,7.800000190734863,174662,2021-03-01
2021-03-08,8.100000381469727,8.100000381469727,8.199999809265137,7.150000095367432,7.199999809265137,213364,2021-03-08
2021-03-15,7.550000190734863,7.550000190734863,8.25,7.349999904632568,7.75,134704,2021-03-15
