Date,Adj Close_METROBRAND.NS,Close_METROBRAND.NS,High_METROBRAND.NS,Low_METROBRAND.NS,Open_METROBRAND.NS,Volume_METROBRAND.NS,Date
2021-12-20,463.4242248535156,470.45001220703125,512.0,426.0,437.0,22842461,2021-12-20
2021-12-27,451.3572082519531,458.20001220703125,469.70001220703125,444.20001220703125,460.1000061035156,1946511,2021-12-27
2022-01-03,461.257080078125,468.25,471.1000061035156,428.75,454.5,1790145,2022-01-03
2022-01-10,500.3642272949219,507.95001220703125,512.0,458.6499938964844,468.0,2375096,2022-01-10
2022-01-17,592.7633666992188,601.75,673.0,545.0,545.0,12747370,2022-01-17
2022-01-24,605.9631958007812,615.1500244140625,630.5999755859375,556.5,600.0,1487647,2022-01-24
2022-01-31,573.8008422851562,582.5,625.0,575.4000244140625,616.0,1465793,2022-01-31
2022-02-07,570.0576782226562,578.7000122070312,604.4000244140625,559.25,582.0,649014,2022-02-07
2022-02-14,546.12060546875,554.4000244140625,589.75,550.0999755859375,565.25,733225,2022-02-14
2022-02-21,536.9594116210938,545.0999755859375,560.0,510.54998779296875,550.0,1289791,2022-02-21
2022-02-28,511.24920654296875,519.0,550.0,515.0,550.0,342089,2022-02-28
2022-03-07,540.6041870117188,548.7999877929688,550.0,505.1000061035156,515.0,1203917,2022-03-07
2022-03-14,564.5904541015625,573.1500244140625,589.4500122070312,532.0499877929688,552.0999755859375,760628,2022-03-14
2022-03-21,575.7606201171875,582.9000244140625,597.1500244140625,562.2999877929688,573.2000122070312,1009170,2022-03-21
2022-03-28,598.8245849609375,606.25,635.5,576.0,579.0,1095143,2022-03-28
2022-04-04,585.193603515625,592.4500122070312,619.75,582.4500122070312,619.75,452343,2022-04-04
2022-04-11,593.342529296875,600.7000122070312,614.0,594.0,594.0,340520,2022-04-11
2022-04-18,560.7467651367188,567.7000122070312,603.5499877929688,535.25,593.0,353141,2022-04-18
2022-04-25,563.1173706054688,570.0999755859375,588.5499877929688,550.0,555.0999755859375,526991,2022-04-25
2022-05-02,536.2010498046875,542.8499755859375,573.9000244140625,534.0499877929688,567.2999877929688,375548,2022-05-02
2022-05-09,515.5077514648438,521.9000244140625,550.0,505.1000061035156,540.7999877929688,436743,2022-05-09
2022-05-16,530.3240356445312,536.9000244140625,545.0,505.3999938964844,518.25,350720,2022-05-16
2022-05-23,518.7179565429688,525.1500244140625,582.7999877929688,520.7000122070312,556.0,1069144,2022-05-23
2022-05-30,571.4638671875,578.5499877929688,619.0,525.2000122070312,530.0,2379577,2022-05-30
2022-06-06,567.068359375,574.0999755859375,587.5999755859375,551.0,583.4000244140625,298242,2022-06-06
2022-06-13,533.8799438476562,540.5,574.0999755859375,535.0999755859375,557.0,475671,2022-06-13
2022-06-20,553.7337646484375,560.5999755859375,569.0499877929688,525.5,544.7999877929688,586400,2022-06-20
2022-06-27,613.4926147460938,621.0999755859375,631.25,555.5499877929688,565.0,1326242,2022-06-27
2022-07-04,573.8838500976562,581.0,633.0,572.0,631.0,1402906,2022-07-04
2022-07-11,570.3280029296875,577.4000244140625,597.1500244140625,548.75,582.9000244140625,718495,2022-07-11
2022-07-18,569.09326171875,576.1500244140625,594.2000122070312,565.0999755859375,590.0,358706,2022-07-18
2022-07-25,631.914306640625,639.75,654.4000244140625,566.4500122070312,578.4500122070312,2480752,2022-07-25
2022-08-01,726.2938842773438,735.2999877929688,778.0,682.0499877929688,682.0499877929688,8989583,2022-08-01
2022-08-08,844.82421875,855.2999877929688,939.9000244140625,749.5,753.0,3019243,2022-08-08
2022-08-15,798.8938598632812,808.7999877929688,871.5999755859375,806.1500244140625,855.2999877929688,1058195,2022-08-15
2022-08-22,768.5697021484375,778.0999755859375,840.0,775.0,811.0,1008688,2022-08-22
2022-08-29,785.065185546875,794.7999877929688,814.0,751.9500122070312,760.0,719898,2022-08-29
2022-09-05,807.5247192382812,816.75,850.0,787.1500244140625,797.9000244140625,1341855,2022-09-05
2022-09-12,772.0302124023438,780.8499755859375,831.0499877929688,772.0,818.0,858726,2022-09-12
2022-09-19,870.0108642578125,879.9500122070312,935.0,774.0499877929688,777.4000244140625,6068070,2022-09-19
2022-09-26,905.703125,916.0499877929688,948.5,846.9000244140625,878.9000244140625,3795482,2022-09-26
2022-10-03,930.766845703125,941.4000244140625,980.8499755859375,892.2999877929688,910.2000122070312,2470639,2022-10-03
2022-10-10,863.979736328125,873.8499755859375,943.6500244140625,868.0,926.9000244140625,1264126,2022-10-10
2022-10-17,878.9586791992188,889.0,950.9500122070312,832.8499755859375,866.0,2965344,2022-10-17
2022-10-24,816.818603515625,826.1500244140625,905.75,819.0499877929688,902.0,962059,2022-10-24
