Date,Adj Close_UNIVCABLES.NS,Close_UNIVCABLES.NS,High_UNIVCABLES.NS,Low_UNIVCABLES.NS,Open_UNIVCABLES.NS,Volume_UNIVCABLES.NS,Date
2020-07-13,115.59683990478516,120.05000305175781,121.3499984741211,114.4000015258789,118.69999694824219,31144,2020-07-13
2020-07-20,109.72311401367188,113.94999694824219,125.9000015258789,112.94999694824219,125.9000015258789,84380,2020-07-20
2020-07-27,103.5605239868164,107.55000305175781,117.5,105.1500015258789,117.0,122172,2020-07-27
2020-08-03,123.5889663696289,128.35000610351562,138.0,106.30000305175781,108.80000305175781,311993,2020-08-03
2020-08-10,136.10675048828125,141.35000610351562,143.6999969482422,119.0,129.6999969482422,671990,2020-08-10
2020-08-17,140.07073974609375,143.1999969482422,153.5,137.9499969482422,143.64999389648438,582480,2020-08-17
2020-08-24,152.78665161132812,156.1999969482422,176.0,141.60000610351562,141.60000610351562,1156726,2020-08-24
2020-08-31,144.5702362060547,147.8000030517578,159.6999969482422,139.5,157.0,159029,2020-08-31
2020-09-07,141.19561767578125,144.35000610351562,152.1999969482422,135.10000610351562,152.0,115376,2020-09-07
2020-09-14,140.80435180664062,143.9499969482422,152.0,143.0,146.0,84516,2020-09-14
2020-09-21,128.6264190673828,131.5,147.5500030517578,127.05000305175781,147.5500030517578,145980,2020-09-21
2020-09-28,129.408935546875,132.3000030517578,136.0,130.0,131.0,45844,2020-09-28
2020-10-05,132.9791717529297,135.9499969482422,143.0,128.10000610351562,136.0,153448,2020-10-05
2020-10-12,129.94691467285156,132.85000610351562,136.75,130.9499969482422,134.0,75783,2020-10-12
2020-10-19,132.734619140625,135.6999969482422,143.6999969482422,130.64999389648438,133.9499969482422,141980,2020-10-19
2020-10-26,128.6264190673828,131.5,139.25,131.0,136.0,42318,2020-10-26
2020-11-02,129.115478515625,132.0,136.5500030517578,127.55000305175781,132.0,40441,2020-11-02
2020-11-09,126.71902465820312,129.5500030517578,135.75,126.0,134.0,79854,2020-11-09
2020-11-16,129.94691467285156,132.85000610351562,139.0,128.0,129.25,86326,2020-11-16
2020-11-23,138.11444091796875,141.1999969482422,148.0,135.1999969482422,137.0,278766,2020-11-23
2020-11-30,141.7335968017578,144.89999389648438,148.8000030517578,138.8000030517578,141.1999969482422,162836,2020-11-30
2020-12-07,146.9177703857422,150.1999969482422,155.3000030517578,139.14999389648438,145.3000030517578,442509,2020-12-07
2020-12-14,141.2445068359375,144.39999389648438,153.0,139.5,151.64999389648438,148110,2020-12-14
2020-12-21,134.8865509033203,137.89999389648438,145.0,125.25,143.10000610351562,84476,2020-12-21
2020-12-28,144.03224182128906,147.25,156.35000610351562,130.0,141.0,457090,2020-12-28
2021-01-04,151.857421875,155.25,165.3000030517578,144.1999969482422,149.14999389648438,1039341,2021-01-04
2021-01-11,135.0821990966797,138.10000610351562,158.9499969482422,137.39999389648438,156.8000030517578,323219,2021-01-11
2021-01-18,130.92506408691406,133.85000610351562,142.6999969482422,129.64999389648438,138.0,223843,2021-01-18
2021-01-25,129.94691467285156,132.85000610351562,138.5,129.5,137.39999389648438,69249,2021-01-25
2021-02-01,135.5712890625,138.60000610351562,142.89999389648438,133.0,133.9499969482422,158790,2021-02-01
2021-02-08,135.62017822265625,138.64999389648438,140.9499969482422,135.0,139.89999389648438,122633,2021-02-08
2021-02-15,139.97293090820312,143.10000610351562,148.35000610351562,132.35000610351562,138.89999389648438,367092,2021-02-15
2021-02-22,133.02809143066406,136.0,149.0,134.8000030517578,143.0500030517578,231791,2021-02-22
2021-03-01,133.90841674804688,136.89999389648438,142.14999389648438,133.5,139.75,228413,2021-03-01
2021-03-08,143.5920867919922,146.8000030517578,164.25,136.89999389648438,139.0,2389923,2021-03-08
2021-03-15,137.2830352783203,140.35000610351562,152.5,137.14999389648438,148.1999969482422,307560,2021-03-15
2021-03-22,135.47344970703125,138.5,149.5500030517578,137.0,142.85000610351562,178120,2021-03-22
2021-03-29,135.9625244140625,139.0,142.5,135.0,138.5,70003,2021-03-29
