Date,Adj Close_360ONE.NS,Close_360ONE.NS,High_360ONE.NS,Low_360ONE.NS,Open_360ONE.NS,Volume_360ONE.NS,Date
2020-07-13,194.2689666748047,232.89999389648438,238.1875,226.97500610351562,232.64999389648438,342328,2020-07-13
2020-07-20,205.42544555664062,246.27499389648438,254.25,232.0,232.91250610351562,720580,2020-07-20
2020-07-27,223.18199157714844,267.5625,275.17498779296875,241.25,241.25,332640,2020-07-27
2020-08-03,220.85684204101562,264.7749938964844,275.0,247.75,267.75,192676,2020-08-03
2020-08-10,222.98390197753906,267.32501220703125,322.25,259.0375061035156,269.5,280156,2020-08-10
2020-08-17,233.35842895507812,279.76251220703125,303.75,264.0,278.75,743652,2020-08-17
2020-08-24,221.0028533935547,264.95001220703125,287.5,263.07501220703125,287.5,877660,2020-08-24
2020-08-31,215.50823974609375,249.28750610351562,267.25,247.5,265.5249938964844,1152912,2020-08-31
2020-09-07,211.50997924804688,244.66250610351562,253.5,239.25,253.5,725668,2020-09-07
2020-09-14,212.3204345703125,245.60000610351562,249.875,243.02499389648438,246.75,384044,2020-09-14
2020-09-21,209.3271026611328,242.1374969482422,257.4750061035156,230.08749389648438,247.5,3320508,2020-09-21
2020-09-28,213.9305419921875,247.46249389648438,249.71249389648438,233.0625,243.3249969482422,507396,2020-09-28
2020-10-05,200.86585998535156,232.35000610351562,248.25,231.25,244.25,518784,2020-10-05
2020-10-12,202.4976043701172,234.2375030517578,238.5,223.6750030517578,236.9875030517578,1151240,2020-10-12
2020-10-19,195.7436981201172,226.4250030517578,235.5,224.25,235.3874969482422,128292,2020-10-19
2020-10-26,198.82347106933594,229.9875030517578,237.25,214.22500610351562,227.53750610351562,1076028,2020-10-26
2020-11-02,196.40289306640625,227.1875,231.7375030517578,220.5124969482422,231.7375030517578,809960,2020-11-02
2020-11-09,210.36451721191406,243.33749389648438,247.0,223.5,226.7375030517578,1097236,2020-11-09
2020-11-16,214.55731201171875,248.1875,253.0,240.0,242.7624969482422,768684,2020-11-16
2020-11-23,219.506591796875,253.91250610351562,257.5249938964844,233.77499389648438,249.375,1257776,2020-11-23
2020-11-30,216.5996856689453,250.5500030517578,260.0,246.5124969482422,253.91250610351562,321756,2020-11-30
2020-12-07,226.09835815429688,261.5375061035156,271.25,249.4875030517578,251.78750610351562,935592,2020-12-07
2020-12-14,226.07675170898438,261.51251220703125,272.4750061035156,252.5,261.5375061035156,384004,2020-12-14
2020-12-21,212.54739379882812,245.8625030517578,261.5,240.25,261.5,405984,2020-12-21
2020-12-28,221.4517059326172,256.1625061035156,258.75,243.83749389648438,245.75,481648,2020-12-28
2021-01-04,227.7624969482422,263.4624938964844,270.0,254.0,256.1625061035156,1135156,2021-01-04
2021-01-11,230.78823852539062,266.9624938964844,274.9750061035156,262.23748779296875,268.75,954872,2021-01-11
2021-01-18,222.44583129882812,257.3125,273.75,253.10000610351562,266.9624938964844,1060740,2021-01-18
2021-01-25,219.12832641601562,253.47500610351562,260.4750061035156,247.46249389648438,258.5,249560,2021-01-25
2021-02-01,244.32847595214844,282.625,286.25,251.5,251.5,1735788,2021-02-01
2021-02-08,265.7355041503906,307.38751220703125,330.0,285.01251220703125,289.2250061035156,2399932,2021-02-08
2021-02-15,266.0107727050781,300.125,312.5,296.73748779296875,304.6000061035156,569508,2021-02-15
2021-02-22,268.6475830078125,303.1000061035156,306.54998779296875,283.1625061035156,301.63751220703125,421956,2021-02-22
2021-03-01,262.46539306640625,296.125,311.20001220703125,288.75,311.20001220703125,428328,2021-03-01
2021-03-08,266.2322998046875,300.375,304.6000061035156,290.8500061035156,295.5,401060,2021-03-08
2021-03-15,259.9947204589844,293.3374938964844,302.5,285.54998779296875,301.88751220703125,847764,2021-03-15
2021-03-22,267.51751708984375,301.82501220703125,306.25,289.0,289.0,697836,2021-03-22
2021-03-29,290.0413818359375,327.23748779296875,337.0,297.75,301.82501220703125,359512,2021-03-29
2021-04-05,276.469482421875,311.92498779296875,339.5,305.63751220703125,327.0,1525488,2021-04-05
2021-04-12,263.2187805175781,296.9750061035156,308.73748779296875,282.5,308.73748779296875,417228,2021-04-12
2021-04-19,242.68910217285156,273.8125,295.0,265.375,293.75,399064,2021-04-19
