Date,Adj Close_VMART.NS,Close_VMART.NS,High_VMART.NS,Low_VMART.NS,Open_VMART.NS,Volume_VMART.NS,Date
2020-07-13,455.01080322265625,455.125,492.5,437.51251220703125,468.86248779296875,207860,2020-07-13
2020-07-20,450.98681640625,451.1000061035156,467.625,437.5,467.625,166548,2020-07-20
2020-07-27,448.8873291015625,449.0,472.5,440.0,453.36248779296875,178844,2020-07-27
2020-08-03,442.22650146484375,442.3374938964844,453.75,438.75,445.0,132452,2020-08-03
2020-08-10,442.5014343261719,442.61248779296875,455.0,427.5,448.6875,222344,2020-08-10
2020-08-17,516.5078735351562,516.6375122070312,561.0,440.6499938964844,444.8374938964844,1096164,2020-08-17
2020-08-24,499.2121887207031,499.3374938964844,535.0,495.25,518.75,856128,2020-08-24
2020-08-31,452.4989013671875,452.61248779296875,508.75,437.25,508.75,496976,2020-08-31
2020-09-07,469.9445495605469,470.0625,502.5,440.63751220703125,452.5,1346100,2020-09-07
2020-09-14,534.5908203125,534.7249755859375,543.7374877929688,471.5,478.0,1098672,2020-09-14
2020-09-21,507.6225891113281,507.75,539.9874877929688,498.86248779296875,534.7249755859375,319968,2020-09-21
2020-09-28,492.3014221191406,492.42498779296875,524.4749755859375,485.0,514.3624877929688,251684,2020-09-28
2020-10-05,499.1746826171875,499.29998779296875,510.0,484.57501220703125,494.86248779296875,211928,2020-10-05
2020-10-12,483.86602783203125,483.98748779296875,507.23748779296875,470.125,501.76251220703125,427652,2020-10-12
2020-10-19,485.8780517578125,486.0,492.5,475.2250061035156,491.25,465576,2020-10-19
2020-10-26,482.8163146972656,482.9375,493.4750061035156,476.48748779296875,484.125,206464,2020-10-26
2020-11-02,494.5008850097656,494.625,516.25,478.5375061035156,480.0,687580,2020-11-02
2020-11-09,502.1614685058594,502.2875061035156,506.25,487.5,501.75,411784,2020-11-09
2020-11-16,504.39837646484375,504.5249938964844,509.48748779296875,493.75,501.11248779296875,376708,2020-11-16
2020-11-23,562.9337158203125,563.0750122070312,582.5,500.17498779296875,507.0249938964844,877804,2020-11-23
2020-11-30,544.2883911132812,544.4249877929688,573.75,541.25,563.0750122070312,409692,2020-11-30
2020-12-07,583.6409912109375,583.7874755859375,599.75,537.25,547.0999755859375,875216,2020-12-07
2020-12-14,606.497802734375,606.6500244140625,623.6749877929688,575.3375244140625,578.0625,903584,2020-12-14
2020-12-21,625.08056640625,625.2374877929688,643.8875122070312,555.25,609.6624755859375,414016,2020-12-21
2020-12-28,630.3543090820312,630.5125122070312,647.4749755859375,592.7374877929688,630.0,589364,2020-12-28
2021-01-04,614.3707885742188,614.5250244140625,639.3624877929688,600.3375244140625,625.25,444152,2021-01-04
2021-01-11,603.0986328125,603.25,629.7000122070312,580.7625122070312,621.0,400112,2021-01-11
2021-01-18,625.0431518554688,625.2000122070312,642.5,596.1124877929688,600.5,541416,2021-01-18
2021-01-25,613.0211181640625,613.1749877929688,653.125,585.0,646.25,498132,2021-01-25
2021-02-01,620.394287109375,620.5499877929688,637.0,594.0,616.25,606224,2021-02-01
2021-02-08,719.9942626953125,720.1749877929688,782.2374877929688,605.0,622.75,2266900,2021-02-08
2021-02-15,673.7433471679688,673.9124755859375,745.0125122070312,663.5250244140625,720.5,959860,2021-02-15
2021-02-22,661.8213500976562,661.9874877929688,723.5374755859375,643.8875122070312,679.75,523868,2021-02-22
2021-03-01,701.6364135742188,701.8125,721.1875,650.0,667.25,589164,2021-03-01
2021-03-08,708.272216796875,708.4500122070312,718.9749755859375,682.7249755859375,705.0,308884,2021-03-08
2021-03-15,685.2780151367188,685.4500122070312,709.5,663.5750122070312,709.5,325664,2021-03-15
2021-03-22,686.8775634765625,687.0499877929688,704.8875122070312,652.6624755859375,686.25,261476,2021-03-22
2021-03-29,701.936279296875,702.1124877929688,712.5,687.0499877929688,687.0499877929688,626696,2021-03-29
2021-04-05,699.12451171875,699.2999877929688,717.0,690.0,717.0,282032,2021-04-05
2021-04-12,703.3984375,703.5750122070312,771.0,672.5,697.5,442100,2021-04-12
2021-04-19,640.0768432617188,640.2374877929688,704.9749755859375,623.25,704.9749755859375,473200,2021-04-19
2021-04-26,662.983642578125,663.1500244140625,698.0374755859375,641.2249755859375,643.4500122070312,203596,2021-04-26
2021-05-03,680.9290771484375,681.0999755859375,691.75,657.1375122070312,663.0,165552,2021-05-03
2021-05-10,646.9251708984375,647.0875244140625,697.4749755859375,640.3375244140625,675.0499877929688,302428,2021-05-10
2021-05-17,676.1927490234375,676.3624877929688,682.5,638.8875122070312,647.5,817488,2021-05-17
2021-05-24,674.1307983398438,674.2999877929688,712.25,667.7874755859375,679.75,783848,2021-05-24
2021-05-31,687.96484375,688.1375122070312,703.1500244140625,663.125,663.125,333444,2021-05-31
2021-06-07,697.5748901367188,697.75,740.0,688.2625122070312,688.2625122070312,429260,2021-06-07
2021-06-14,699.8368530273438,700.0125122070312,711.0999755859375,689.8624877929688,700.25,469356,2021-06-14
2021-06-21,709.39697265625,709.5750122070312,785.4749755859375,693.75,707.5,2146484,2021-06-21
2021-06-28,710.0968017578125,710.2750244140625,732.25,695.2750244140625,714.4500122070312,433688,2021-06-28
2021-07-05,777.8047485351562,778.0,803.0,705.625,715.0,905420,2021-07-05
2021-07-12,821.0439453125,821.25,902.75,767.9249877929688,778.0125122070312,3103172,2021-07-12
2021-07-19,838.614501953125,838.8250122070312,871.2125244140625,800.25,820.0,1066916,2021-07-19
2021-07-26,969.694091796875,969.9375,1021.25,810.0,842.5,2347004,2021-07-26
2021-08-02,939.57666015625,939.8125,1012.5,890.2000122070312,965.3375244140625,638524,2021-08-02
2021-08-09,884.0031127929688,884.2249755859375,944.1124877929688,842.0,942.25,678356,2021-08-09
