Date,Adj Close_GANDHAR.NS,Close_GANDHAR.NS,High_GANDHAR.NS,Low_GANDHAR.NS,Open_GANDHAR.NS,Volume_GANDHAR.NS,Date
2023-11-27,279.91094970703125,280.54998779296875,344.04998779296875,277.5,298.0,47422455,2023-11-27
2023-12-04,271.480224609375,272.1000061035156,284.95001220703125,269.3999938964844,281.5,10733277,2023-12-04
2023-12-11,308.99456787109375,309.70001220703125,319.79998779296875,273.5,274.5,33337720,2023-12-11
2023-12-18,280.8587951660156,281.5,304.0,270.75,281.54998779296875,13510051,2023-12-18
2023-12-25,272.3282775878906,272.95001220703125,286.6000061035156,270.5,281.5,3123826,2023-12-25
2024-01-01,264.94512939453125,265.54998779296875,281.8500061035156,263.54998779296875,275.95001220703125,4135725,2024-01-01
2024-01-08,259.9565124511719,260.54998779296875,268.3999938964844,253.0,266.04998779296875,5728938,2024-01-08
2024-01-15,254.21961975097656,254.8000030517578,260.6499938964844,249.0,260.54998779296875,2137422,2024-01-15
2024-01-22,250.17884826660156,250.75,264.8500061035156,249.0,254.8000030517578,2250105,2024-01-22
2024-01-29,244.79115295410156,245.35000610351562,254.5,243.5,251.85000610351562,2722648,2024-01-29
2024-02-05,241.4986572265625,242.0500030517578,253.5,234.39999389648438,246.89999389648438,3378086,2024-02-05
2024-02-12,261.3034362792969,261.8999938964844,266.79998779296875,227.75,242.10000610351562,5571161,2024-02-12
2024-02-19,262.99957275390625,263.6000061035156,273.79998779296875,252.64999389648438,263.79998779296875,4433089,2024-02-19
2024-02-26,231.62120056152344,232.14999389648438,263.95001220703125,230.10000610351562,263.6000061035156,4314933,2024-02-26
2024-03-04,229.9749755859375,230.5,239.89999389648438,225.5500030517578,238.9499969482422,1516429,2024-03-04
2024-03-11,218.45127868652344,218.9499969482422,231.4499969482422,211.89999389648438,230.5,2725756,2024-03-11
2024-03-18,214.01141357421875,214.5,224.35000610351562,211.6999969482422,219.3000030517578,2255628,2024-03-18
2024-03-25,199.64422607421875,200.10000610351562,218.0,196.39999389648438,214.5,2923655,2024-03-25
