Date,Adj Close_DEEPINDS.NS,Close_DEEPINDS.NS,High_DEEPINDS.NS,Low_DEEPINDS.NS,Open_DEEPINDS.NS,Volume_DEEPINDS.NS,Date
2021-04-26,19.92638397216797,20.575000762939453,20.575000762939453,16.899999618530273,16.975000381469727,61134,2021-04-26
2021-05-03,25.37405776977539,26.200000762939453,26.200000762939453,21.600000381469727,21.600000381469727,220760,2021-05-03
2021-05-10,29.99852752685547,30.975000381469727,35.92499923706055,27.475000381469727,27.475000381469727,449780,2021-05-10
2021-05-17,32.97658920288086,34.04999923706055,34.224998474121094,28.649999618530273,31.0,674286,2021-05-17
2021-05-24,30.628036499023438,31.625,34.974998474121094,31.399999618530273,34.875,331004,2021-05-24
2021-05-31,31.136486053466797,32.150001525878906,32.75,30.225000381469727,31.600000381469727,373830,2021-05-31
2021-06-07,41.25705337524414,42.599998474121094,48.650001525878906,32.5,33.0,6419796,2021-06-07
2021-06-14,38.83586502075195,40.099998474121094,44.0,38.599998474121094,44.0,1937926,2021-06-14
2021-06-21,39.61064910888672,40.900001525878906,45.70000076293945,37.82500076293945,39.0,1337836,2021-06-21
2021-06-28,42.0560417175293,43.42499923706055,43.599998474121094,39.82500076293945,40.900001525878906,1119414,2021-06-28
2021-07-05,48.326927185058594,49.900001525878906,54.45000076293945,40.54999923706055,43.875,4350906,2021-07-05
2021-07-12,45.39728927612305,46.875,52.45000076293945,46.625,50.45000076293945,902748,2021-07-12
2021-07-19,49.924903869628906,51.54999923706055,55.95000076293945,46.349998474121094,47.70000076293945,1482594,2021-07-19
2021-07-26,47.915321350097656,49.474998474121094,52.900001525878906,48.625,51.0,641558,2021-07-26
2021-08-02,50.2880859375,51.92499923706055,59.92499923706055,50.0,50.45000076293945,3857126,2021-08-02
2021-08-09,55.445220947265625,57.25,65.625,52.025001525878906,52.25,1874914,2021-08-09
2021-08-16,65.83211517333984,67.9749984741211,71.80000305175781,57.57500076293945,58.25,2631232,2021-08-16
2021-08-23,65.63842010498047,67.7750015258789,72.5,64.2750015258789,70.5,1357980,2021-08-23
2021-08-30,62.22454833984375,64.25,69.67500305175781,63.525001525878906,67.7750015258789,578952,2021-08-30
2021-09-06,63.72568893432617,65.80000305175781,70.7249984741211,65.4749984741211,66.0,669456,2021-09-06
2021-09-13,70.60186767578125,72.9000015258789,78.94999694824219,67.5,67.5,3626808,2021-09-13
2021-09-20,70.67449188232422,72.9749984741211,78.5,70.625,71.625,982374,2021-09-20
2021-09-27,72.46617126464844,74.82499694824219,80.69999694824219,72.2750015258789,74.44999694824219,1076952,2021-09-27
2021-10-04,78.54335021972656,81.0999984741211,87.2750015258789,73.9000015258789,76.5,3410546,2021-10-04
2021-10-11,75.10527038574219,77.55000305175781,83.44999694824219,75.5999984741211,81.5,662634,2021-10-11
2021-10-18,71.30400848388672,73.625,79.94999694824219,67.19999694824219,77.5999984741211,905072,2021-10-18
2021-10-25,65.17839813232422,67.30000305175781,74.19999694824219,61.974998474121094,73.6500015258789,608612,2021-10-25
2021-11-01,70.40815734863281,72.69999694824219,74.1500015258789,68.1500015258789,69.0,462668,2021-11-01
2021-11-08,74.42733764648438,76.8499984741211,87.1500015258789,71.0,73.44999694824219,3572490,2021-11-08
2021-11-15,75.18498229980469,76.9749984741211,80.75,74.7750015258789,77.30000305175781,646840,2021-11-15
2021-11-22,70.03264617919922,71.69999694824219,78.4749984741211,71.4749984741211,77.2750015258789,569752,2021-11-22
2021-11-29,70.74079132080078,72.42500305175781,75.875,70.05000305175781,72.75,660936,2021-11-29
