Date,Adj Close_ECLERX.NS,Close_ECLERX.NS,High_ECLERX.NS,Low_ECLERX.NS,Open_ECLERX.NS,Volume_ECLERX.NS,Date
2020-07-13,341.5913391113281,342.6666564941406,352.4666748046875,322.6666564941406,323.9666748046875,3895095,2020-07-13
2020-07-20,316.7362365722656,317.73333740234375,356.6000061035156,314.6666564941406,347.26666259765625,1800099,2020-07-20
2020-07-27,319.0290222167969,320.0333251953125,326.0,309.3333435058594,317.73333740234375,629748,2020-07-27
2020-08-03,319.693603515625,320.70001220703125,325.6000061035156,307.0333251953125,320.0333251953125,993121,2020-08-03
2020-08-10,449.21917724609375,450.6333312988281,490.0,320.79998779296875,323.0,4500540,2020-08-10
2020-08-17,489.59210205078125,491.1333312988281,499.6333312988281,438.0666809082031,450.76666259765625,2228877,2020-08-17
2020-08-24,512.7858276367188,514.4000244140625,541.3333129882812,501.0333251953125,520.0,1774768,2020-08-24
2020-08-31,487.4654541015625,489.0,518.566650390625,450.0,516.6666870117188,1028107,2020-08-31
2020-09-07,486.3357238769531,487.8666687011719,496.79998779296875,463.3999938964844,493.0,448221,2020-09-07
2020-09-14,514.1812744140625,515.7999877929688,528.7999877929688,493.3333435058594,494.0,870231,2020-09-14
2020-09-21,471.1981201171875,472.0666809082031,523.3333129882812,446.6666564941406,518.6666870117188,705527,2020-09-21
2020-09-28,464.1111755371094,464.9666748046875,491.79998779296875,463.8666687011719,474.70001220703125,373574,2020-09-28
2020-10-05,476.0557861328125,476.9333190917969,501.1333312988281,470.6666564941406,471.3333435058594,924524,2020-10-05
2020-10-12,465.97442626953125,466.8333435058594,487.8333435058594,463.5,479.29998779296875,845134,2020-10-12
2020-10-19,479.1168212890625,480.0,486.1666564941406,464.3666687011719,472.3999938964844,358107,2020-10-19
2020-10-26,461.2164611816406,462.0666809082031,478.6666564941406,446.70001220703125,473.3333435058594,303241,2020-10-26
2020-11-02,473.9596862792969,474.8333435058594,511.3333435058594,446.0,456.0,668051,2020-11-02
2020-11-09,478.4846496582031,479.3666687011719,490.6666564941406,465.3333435058594,480.0,888290,2020-11-09
2020-11-16,475.0576477050781,475.9333190917969,482.6666564941406,471.3333435058594,476.3333435058594,210437,2020-11-16
