Date,Adj Close_MANAKSIA.NS,Close_MANAKSIA.NS,High_MANAKSIA.NS,Low_MANAKSIA.NS,Open_MANAKSIA.NS,Volume_MANAKSIA.NS,Date
2021-08-16,60.97962188720703,67.6500015258789,74.5999984741211,67.19999694824219,70.5,521831,2021-08-16
2021-08-23,60.39371109008789,67.0,68.9000015258789,63.5,68.8499984741211,260433,2021-08-23
2021-08-30,61.02468490600586,67.69999694824219,70.0,67.3499984741211,67.94999694824219,288583,2021-08-30
2021-09-06,63.18804931640625,70.0999984741211,72.0,68.0,68.8499984741211,637517,2021-09-06
2021-09-13,59.67259216308594,66.19999694824219,69.0999984741211,64.80000305175781,67.94999694824219,418696,2021-09-13
2021-09-20,61.21047592163086,65.0,67.0,63.099998474121094,66.80000305175781,230961,2021-09-20
2021-09-27,61.77549743652344,65.5999984741211,66.44999694824219,62.70000076293945,65.1500015258789,205545,2021-09-27
2021-10-04,64.45934295654297,68.44999694824219,70.80000305175781,65.0999984741211,65.0999984741211,445634,2021-10-04
2021-10-11,63.046791076660156,66.94999694824219,69.8499984741211,66.0,69.44999694824219,190662,2021-10-11
2021-10-18,60.59837341308594,64.3499984741211,70.3499984741211,63.54999923706055,68.3499984741211,285783,2021-10-18
2021-10-25,59.79793167114258,63.5,66.9000015258789,63.0,65.69999694824219,163308,2021-10-25
2021-11-01,63.18804931640625,67.0999984741211,67.9000015258789,63.599998474121094,65.0,133003,2021-11-01
2021-11-08,64.17683410644531,68.1500015258789,70.6500015258789,66.0999984741211,67.9000015258789,388027,2021-11-08
2021-11-15,60.31586456298828,64.05000305175781,68.80000305175781,62.400001525878906,67.30000305175781,269244,2021-11-15
2021-11-22,56.54906463623047,60.04999923706055,65.69999694824219,58.25,65.69999694824219,475866,2021-11-22
2021-11-29,57.632022857666016,61.20000076293945,63.900001525878906,57.79999923706055,59.150001525878906,294425,2021-11-29
2021-12-06,58.62080764770508,62.25,63.599998474121094,60.29999923706055,61.95000076293945,184388,2021-12-06
