Date,Adj Close_INTLCONV.NS,Close_INTLCONV.NS,High_INTLCONV.NS,Low_INTLCONV.NS,Open_INTLCONV.NS,Volume_INTLCONV.NS,Date
2021-09-13,69.98207092285156,73.0,75.44999694824219,72.1500015258789,72.9000015258789,139731,2021-09-13
2021-09-20,66.67469787597656,69.55000305175781,75.80000305175781,65.30000305175781,72.0,352231,2021-09-20
2021-09-27,67.92094421386719,70.8499984741211,71.94999694824219,65.0,65.0,286902,2021-09-27
2021-10-04,67.58541870117188,70.5,81.0,69.30000305175781,70.8499984741211,2223304,2021-10-04
2021-10-11,65.62016296386719,68.44999694824219,71.5,68.0,69.30000305175781,322580,2021-10-11
2021-10-18,63.46318435668945,66.19999694824219,71.0,63.5,65.80000305175781,407097,2021-10-18
2021-10-25,62.840065002441406,65.55000305175781,67.69999694824219,62.70000076293945,65.1500015258789,228817,2021-10-25
2021-11-01,61.40207290649414,64.05000305175781,67.0,57.849998474121094,66.9000015258789,141640,2021-11-01
2021-11-08,62.50452423095703,65.19999694824219,67.3499984741211,62.20000076293945,63.099998474121094,273350,2021-11-08
2021-11-15,64.66150665283203,67.44999694824219,69.4000015258789,65.5,67.19999694824219,285360,2021-11-15
2021-11-22,63.6549186706543,66.4000015258789,69.4000015258789,62.04999923706055,69.4000015258789,285275,2021-11-22
2021-11-29,62.7921257019043,65.5,68.69999694824219,62.70000076293945,64.30000305175781,242641,2021-11-29
2021-12-06,64.42184448242188,67.19999694824219,68.75,64.5999984741211,65.0,240469,2021-12-06
2021-12-13,68.25647735595703,71.19999694824219,79.5,67.30000305175781,67.69999694824219,1617460,2021-12-13
2021-12-20,68.40027618408203,71.3499984741211,75.30000305175781,66.6500015258789,70.5,1473389,2021-12-20
2021-12-27,68.63993835449219,71.5999984741211,75.5,68.0,71.4000015258789,1242685,2021-12-27
2022-01-03,82.4925537109375,86.05000305175781,95.0,70.0,72.4000015258789,6818045,2022-01-03
2022-01-10,85.27266693115234,88.94999694824219,102.44999694824219,84.44999694824219,86.94999694824219,4510241,2022-01-10
2022-01-17,80.1917724609375,83.6500015258789,90.75,79.05000305175781,90.75,3630081,2022-01-17
2022-01-24,68.44821166992188,71.4000015258789,84.5,71.0,84.0,3082835,2022-01-24
2022-01-31,76.35714721679688,79.6500015258789,82.8499984741211,70.3499984741211,72.19999694824219,4647129,2022-01-31
2022-02-07,68.16061401367188,71.0999984741211,82.44999694824219,71.0,80.44999694824219,2735446,2022-02-07
2022-02-14,71.46798706054688,74.55000305175781,75.3499984741211,68.55000305175781,71.0,1051181,2022-02-14
2022-02-21,68.01681518554688,70.94999694824219,74.0,65.0,74.0,1353565,2022-02-21
2022-02-28,70.84485626220703,73.9000015258789,76.80000305175781,68.75,71.80000305175781,1280050,2022-02-28
2022-03-07,72.28285217285156,75.4000015258789,80.5999984741211,70.5999984741211,71.0,1611010,2022-03-07
2022-03-14,72.66630554199219,75.80000305175781,82.75,73.69999694824219,76.5,3507486,2022-03-14
2022-03-21,78.3223876953125,81.69999694824219,87.3499984741211,75.05000305175781,76.9000015258789,6464743,2022-03-21
2022-03-28,83.9305419921875,87.55000305175781,88.44999694824219,76.69999694824219,82.30000305175781,3164078,2022-03-28
2022-04-04,78.13066101074219,81.5,90.0,80.8499984741211,88.0,4088306,2022-04-04
2022-04-11,77.98685455322266,81.3499984741211,85.30000305175781,78.5999984741211,81.5,1679441,2022-04-11
2022-04-18,73.24150085449219,76.4000015258789,81.25,74.19999694824219,80.0,2025163,2022-04-18
2022-04-25,72.52250671386719,75.6500015258789,80.30000305175781,74.5999984741211,77.0,1785280,2022-04-25
2022-05-02,63.271461486816406,66.0,75.75,65.5,75.30000305175781,1629318,2022-05-02
2022-05-09,64.80530548095703,67.5999984741211,74.8499984741211,65.05000305175781,67.0,841452,2022-05-09
2022-05-16,63.12765884399414,65.8499984741211,71.0,65.05000305175781,68.5,858456,2022-05-16
2022-05-23,56.75257873535156,59.20000076293945,66.44999694824219,54.45000076293945,65.9000015258789,612199,2022-05-23
2022-05-30,59.19715881347656,61.75,63.0,59.0,61.0,516241,2022-05-30
2022-06-06,56.848445892333984,59.29999923706055,63.0,58.95000076293945,62.45000076293945,345070,2022-06-06
