Date,Adj Close_GRMOVER.NS,Close_GRMOVER.NS,High_GRMOVER.NS,Low_GRMOVER.NS,Open_GRMOVER.NS,Volume_GRMOVER.NS,Date
2022-09-05,446.3500061035156,446.3500061035156,498.0,442.79998779296875,467.0,161418,2022-09-05
2022-09-12,430.95001220703125,430.95001220703125,474.3999938964844,424.04998779296875,448.0,357677,2022-09-12
2022-09-19,398.8999938964844,398.8999938964844,433.3500061035156,392.1000061035156,430.95001220703125,229571,2022-09-19
2022-09-26,394.75,394.75,421.79998779296875,369.0,399.8999938964844,95431,2022-09-26
2022-10-03,396.20001220703125,396.20001220703125,434.0,392.95001220703125,403.0,121116,2022-10-03
2022-10-10,382.79998779296875,382.79998779296875,424.8999938964844,336.95001220703125,396.20001220703125,156968,2022-10-10
2022-10-17,359.6000061035156,359.6000061035156,388.54998779296875,355.0,377.04998779296875,305563,2022-10-17
2022-10-24,365.29998779296875,365.29998779296875,393.79998779296875,364.0,365.0,267855,2022-10-24
2022-10-31,362.8500061035156,362.8500061035156,382.6000061035156,360.0,368.95001220703125,296048,2022-10-31
2022-11-07,369.1499938964844,369.1499938964844,383.0,359.6499938964844,366.8999938964844,183615,2022-11-07
2022-11-14,355.79998779296875,355.79998779296875,372.0,350.0,372.0,188747,2022-11-14
2022-11-21,342.3999938964844,342.3999938964844,364.0,337.0,357.8999938964844,255926,2022-11-21
2022-11-28,369.75,369.75,384.0,338.04998779296875,339.0,398543,2022-11-28
2022-12-05,382.04998779296875,382.04998779296875,391.25,350.3500061035156,373.95001220703125,604142,2022-12-05
2022-12-12,367.5,367.5,404.0,354.0,384.75,450488,2022-12-12
2022-12-19,308.04998779296875,308.04998779296875,374.54998779296875,301.95001220703125,367.5,287364,2022-12-19
2022-12-26,431.70001220703125,431.70001220703125,436.6000061035156,312.6499938964844,312.6499938964844,1499366,2022-12-26
2023-01-02,395.3500061035156,395.3500061035156,430.95001220703125,391.3999938964844,430.95001220703125,391555,2023-01-02
2023-01-09,377.3500061035156,377.3500061035156,413.79998779296875,375.04998779296875,403.5,324171,2023-01-09
2023-01-16,364.95001220703125,364.95001220703125,387.0,361.0,382.5,273383,2023-01-16
2023-01-23,345.8500061035156,345.8500061035156,369.8999938964844,333.3500061035156,362.04998779296875,380269,2023-01-23
2023-01-30,333.25,333.25,358.0,327.04998779296875,349.8999938964844,104860,2023-01-30
2023-02-06,318.8999938964844,318.8999938964844,348.95001220703125,316.29998779296875,333.5,251467,2023-02-06
2023-02-13,309.29998779296875,309.29998779296875,322.0,296.6499938964844,320.0,389795,2023-02-13
2023-02-20,292.95001220703125,292.95001220703125,314.75,290.0,309.29998779296875,272002,2023-02-20
2023-02-27,306.1499938964844,306.1499938964844,315.8999938964844,281.0,292.95001220703125,851763,2023-02-27
2023-03-06,261.1000061035156,261.1000061035156,315.1499938964844,254.0500030517578,308.5,1382767,2023-03-06
2023-03-13,211.60000610351562,211.60000610351562,268.0,209.5500030517578,268.0,1699395,2023-03-13
2023-03-20,191.25,191.25,215.3000030517578,181.10000610351562,215.3000030517578,513999,2023-03-20
2023-03-27,183.4499969482422,183.4499969482422,197.0,168.60000610351562,191.25,835650,2023-03-27
2023-04-03,193.0,193.0,201.0,184.35000610351562,187.0,228204,2023-04-03
2023-04-10,193.5500030517578,193.5500030517578,204.5,190.0,191.0500030517578,314015,2023-04-10
2023-04-17,169.1999969482422,169.1999969482422,192.89999389648438,164.75,192.75,755141,2023-04-17
2023-04-24,202.89999389648438,202.89999389648438,208.0,168.3000030517578,173.5,770064,2023-04-24
2023-05-01,183.5,183.5,204.39999389648438,170.6999969482422,202.89999389648438,279461,2023-05-01
2023-05-08,198.25,198.25,205.10000610351562,183.5,185.85000610351562,258209,2023-05-08
2023-05-15,193.25,193.25,204.0,190.1999969482422,198.35000610351562,162428,2023-05-15
2023-05-22,171.9499969482422,171.9499969482422,195.64999389648438,167.10000610351562,190.5,477401,2023-05-22
2023-05-29,170.9499969482422,170.9499969482422,177.0,159.0,174.35000610351562,570343,2023-05-29
2023-06-05,176.75,176.75,185.89999389648438,164.9499969482422,170.1999969482422,380107,2023-06-05
2023-06-12,180.75,180.75,200.0,171.0500030517578,176.8000030517578,591111,2023-06-12
2023-06-19,173.85000610351562,173.85000610351562,185.89999389648438,172.5,178.4499969482422,184255,2023-06-19
2023-06-26,171.14999389648438,171.14999389648438,177.89999389648438,169.35000610351562,176.89999389648438,170998,2023-06-26
2023-07-03,165.9499969482422,165.9499969482422,175.0,164.75,172.5,388249,2023-07-03
2023-07-10,179.39999389648438,179.39999389648438,179.39999389648438,162.0500030517578,167.8000030517578,736247,2023-07-10
2023-07-17,185.60000610351562,185.60000610351562,197.3000030517578,179.9499969482422,187.5500030517578,1061611,2023-07-17
2023-07-24,171.89999389648438,171.89999389648438,188.0,166.1999969482422,187.5,384762,2023-07-24
2023-07-31,170.64999389648438,170.64999389648438,179.0,166.10000610351562,173.14999389648438,434491,2023-07-31
2023-08-07,172.14999389648438,172.14999389648438,177.85000610351562,168.0500030517578,172.0,254311,2023-08-07
2023-08-14,175.89999389648438,175.89999389648438,178.9499969482422,169.0,173.1999969482422,225797,2023-08-14
2023-08-21,192.10000610351562,192.10000610351562,198.35000610351562,172.5,175.89999389648438,1694796,2023-08-21
2023-08-28,183.64999389648438,183.64999389648438,193.0,180.1999969482422,193.0,534981,2023-08-28
2023-09-04,218.3000030517578,218.3000030517578,230.39999389648438,176.3000030517578,184.4499969482422,4951832,2023-09-04
2023-09-11,215.5,215.5,224.0,193.35000610351562,220.0,1134336,2023-09-11
2023-09-18,199.1999969482422,199.1999969482422,215.75,197.0,213.0,461012,2023-09-18
2023-09-25,200.39999389648438,200.39999389648438,214.25,198.14999389648438,202.14999389648438,733812,2023-09-25
2023-10-02,195.9499969482422,195.9499969482422,203.25,192.89999389648438,200.39999389648438,246442,2023-10-02
2023-10-09,188.8000030517578,188.8000030517578,194.6999969482422,185.0,194.6999969482422,386722,2023-10-09
2023-10-16,200.1999969482422,200.1999969482422,210.75,185.1999969482422,188.8000030517578,1123348,2023-10-16
2023-10-23,194.39999389648438,194.39999389648438,202.8000030517578,181.0,202.0,438218,2023-10-23
2023-10-30,200.1999969482422,200.1999969482422,204.39999389648438,186.3000030517578,194.0,415856,2023-10-30
2023-11-06,198.89999389648438,198.89999389648438,209.89999389648438,196.39999389648438,202.4499969482422,392927,2023-11-06
2023-11-13,187.8000030517578,187.8000030517578,203.0,181.5,196.0,386567,2023-11-13
2023-11-20,189.75,189.75,198.85000610351562,187.0,188.0,368404,2023-11-20
2023-11-27,189.64999389648438,189.64999389648438,193.3000030517578,186.0,189.75,207493,2023-11-27
2023-12-04,188.4499969482422,188.4499969482422,199.0,186.14999389648438,192.5,705538,2023-12-04
2023-12-11,203.5500030517578,203.5500030517578,219.0,187.5500030517578,188.4499969482422,2604988,2023-12-11
2023-12-18,190.75,190.75,207.35000610351562,186.5500030517578,205.89999389648438,733070,2023-12-18
2023-12-25,189.25,189.25,192.39999389648438,186.10000610351562,190.75,421709,2023-12-25
2024-01-01,192.0,192.0,194.6999969482422,187.5500030517578,190.0,423371,2024-01-01
2024-01-08,189.64999389648438,189.64999389648438,194.0,187.85000610351562,192.0,363708,2024-01-08
2024-01-15,186.8000030517578,186.8000030517578,198.0,182.75,189.64999389648438,428399,2024-01-15
2024-01-22,196.39999389648438,196.39999389648438,198.0,185.0500030517578,186.8000030517578,501155,2024-01-22
2024-01-29,193.14999389648438,193.14999389648438,205.3000030517578,192.0500030517578,196.14999389648438,809162,2024-01-29
2024-02-05,189.75,189.75,204.4499969482422,187.0,193.25,472187,2024-02-05
2024-02-12,181.0500030517578,181.0500030517578,192.39999389648438,172.0,192.39999389648438,684073,2024-02-12
2024-02-19,181.60000610351562,181.60000610351562,185.89999389648438,177.5500030517578,181.9499969482422,319223,2024-02-19
2024-02-26,180.0500030517578,180.0500030517578,185.5,172.1999969482422,183.39999389648438,461867,2024-02-26
2024-03-04,155.0500030517578,155.0500030517578,176.5,153.35000610351562,173.3000030517578,657883,2024-03-04
2024-03-11,122.44999694824219,122.44999694824219,156.5500030517578,113.0,155.64999389648438,2266653,2024-03-11
2024-03-18,123.94999694824219,123.94999694824219,126.9000015258789,115.05000305175781,122.55000305175781,1331351,2024-03-18
2024-03-25,118.6500015258789,118.6500015258789,126.0,115.0,123.94999694824219,1196346,2024-03-25
2024-04-01,139.89999389648438,139.89999389648438,142.5,120.05000305175781,120.05000305175781,1025125,2024-04-01
2024-04-08,137.6999969482422,137.6999969482422,146.35000610351562,133.35000610351562,140.64999389648438,374294,2024-04-08
2024-04-15,134.6999969482422,134.6999969482422,139.5500030517578,128.25,137.0,868796,2024-04-15
2024-04-22,142.64999389648438,142.64999389648438,148.1999969482422,135.0500030517578,135.0500030517578,539148,2024-04-22
2024-04-29,145.9499969482422,145.9499969482422,155.39999389648438,142.39999389648438,143.39999389648438,919348,2024-04-29
2024-05-06,138.0500030517578,138.0500030517578,148.9499969482422,134.0,147.0,210309,2024-05-06
2024-05-13,146.25,146.25,147.0,134.0500030517578,140.0500030517578,314817,2024-05-13
2024-05-20,143.4499969482422,143.4499969482422,152.0,142.5500030517578,143.0500030517578,145661,2024-05-20
2024-05-27,137.85000610351562,137.85000610351562,145.5500030517578,135.10000610351562,145.5500030517578,186419,2024-05-27
2024-06-03,145.39999389648438,145.39999389648438,147.6999969482422,122.6500015258789,139.0,546457,2024-06-03
2024-06-10,171.4600067138672,171.4600067138672,177.97000122070312,143.60000610351562,147.82000732421875,2525355,2024-06-10
2024-06-17,188.60000610351562,188.60000610351562,194.39999389648438,171.0500030517578,171.4600067138672,2510543,2024-06-17
2024-06-24,181.13999938964844,181.13999938964844,199.0,176.97999572753906,194.3000030517578,1293046,2024-06-24
2024-07-01,194.75,194.75,204.9499969482422,176.67999267578125,181.13999938964844,1811996,2024-07-01
2024-07-08,207.5500030517578,207.5500030517578,226.64999389648438,198.0,203.99000549316406,3147935,2024-07-08
2024-07-15,193.85000610351562,193.85000610351562,216.2899932861328,191.3000030517578,209.6999969482422,864409,2024-07-15
2024-07-22,204.07000732421875,204.07000732421875,210.0,190.42999267578125,195.0,986935,2024-07-22
2024-07-29,218.6300048828125,218.6300048828125,224.39999389648438,197.6699981689453,206.97999572753906,1797269,2024-07-29
2024-08-05,216.9199981689453,216.9199981689453,225.0,189.2100067138672,211.47999572753906,2424464,2024-08-05
2024-08-12,246.22000122070312,246.22000122070312,255.0,214.77999877929688,217.9499969482422,5385075,2024-08-12
2024-08-19,262.95001220703125,262.95001220703125,286.0,250.0,250.0,6142715,2024-08-19
2024-08-26,264.1199951171875,264.1199951171875,288.6300048828125,261.8800048828125,265.0,2488461,2024-08-26
2024-09-02,256.25,256.25,270.04998779296875,252.5500030517578,266.0,1176026,2024-09-02
2024-09-09,255.8000030517578,255.8000030517578,262.95001220703125,247.1999969482422,255.0,982137,2024-09-09
2024-09-16,266.5,266.5,289.0,254.75,261.0,3581315,2024-09-16
2024-09-23,248.39999389648438,248.39999389648438,275.3500061035156,246.14999389648438,269.95001220703125,853999,2024-09-23
2024-09-30,240.9499969482422,240.9499969482422,263.79998779296875,238.39999389648438,251.0,916155,2024-09-30
