Date,Adj Close_SHRIPISTON.NS,Close_SHRIPISTON.NS,High_SHRIPISTON.NS,Low_SHRIPISTON.NS,Open_SHRIPISTON.NS,Volume_SHRIPISTON.NS,Date
2020-07-13,283.52593994140625,295.0,295.0,278.0249938964844,293.0,542,2020-07-13
2020-07-20,281.9641418457031,293.375,308.0,280.29998779296875,280.5,2552,2020-07-20
2020-07-27,268.14825439453125,279.0,297.0,271.0249938964844,280.54998779296875,6602,2020-07-27
2020-08-03,283.5019226074219,294.9750061035156,298.0,279.0,279.0,8642,2020-08-03
2020-08-10,285.4481201171875,297.0,299.5,280.17498779296875,285.0,5040,2020-08-10
2020-08-17,288.2834167480469,299.95001220703125,313.95001220703125,278.6499938964844,285.0,11288,2020-08-17
2020-08-24,279.70550537109375,291.0249938964844,315.0,285.54998779296875,314.2250061035156,17346,2020-08-24
2020-08-31,269.349609375,280.25,299.9750061035156,280.25,299.9750061035156,5120,2020-08-31
2020-09-07,288.1872863769531,299.8500061035156,308.95001220703125,275.5,294.25,19594,2020-09-07
2020-09-14,277.63916015625,288.875,299.9750061035156,283.54998779296875,285.07501220703125,4440,2020-09-14
2020-09-21,251.78543090820312,261.9750061035156,299.45001220703125,254.25,284.04998779296875,6166,2020-09-21
2020-09-28,249.47879028320312,259.57501220703125,273.42498779296875,250.6750030517578,273.42498779296875,1852,2020-09-28
2020-10-05,272.9537658691406,284.0,306.8500061035156,247.5,247.52499389648438,5432,2020-10-05
2020-10-12,262.838134765625,273.4750061035156,297.9750061035156,253.60000610351562,297.9750061035156,1552,2020-10-12
2020-10-19,276.3176574707031,287.5,301.125,270.0,273.4750061035156,2914,2020-10-19
2020-10-26,284.4870300292969,296.0,301.0,270.82501220703125,273.54998779296875,4680,2020-10-26
2020-11-02,269.1093444824219,280.0,301.0,272.5249938964844,301.0,1564,2020-11-02
2020-11-09,259.378173828125,269.875,283.5,257.5,274.5249938964844,638,2020-11-09
2020-11-16,258.6813659667969,269.1499938964844,292.5,265.0,270.0,2986,2020-11-16
2020-11-23,284.9195251464844,296.45001220703125,301.0,269.1499938964844,269.1499938964844,2068,2020-11-23
2020-11-30,307.5295104980469,319.9750061035156,336.0,290.5,296.45001220703125,5738,2020-11-30
2020-12-07,296.9814147949219,309.0,336.79998779296875,296.0,322.4750061035156,8352,2020-12-07
2020-12-14,293.7376403808594,305.625,319.9750061035156,285.625,297.5,12066,2020-12-14
2020-12-21,286.0487976074219,297.625,319.92498779296875,276.54998779296875,319.92498779296875,4024,2020-12-21
2020-12-28,290.710205078125,302.4750061035156,307.5,281.54998779296875,297.625,6582,2020-12-28
2021-01-04,290.73419189453125,302.5,305.4750061035156,287.54998779296875,305.4750061035156,10412,2021-01-04
2021-01-11,295.03509521484375,306.9750061035156,316.5,292.5249938964844,302.3999938964844,3454,2021-01-11
2021-01-18,310.196533203125,322.75,348.42498779296875,297.5,307.0,14798,2021-01-18
2021-01-25,314.6416931152344,327.375,340.0,310.0,337.95001220703125,2168,2021-01-25
2021-02-01,401.4775085449219,417.7250061035156,417.7250061035156,333.04998779296875,343.7250061035156,14072,2021-02-01
2021-02-08,380.0208435058594,395.3999938964844,456.5,386.29998779296875,438.45001220703125,6998,2021-02-08
2021-02-15,376.978515625,389.54998779296875,419.0,370.07501220703125,397.0,7464,2021-02-15
2021-02-22,384.1880798339844,397.0,418.5,370.5,394.5,1424,2021-02-22
