Date,Adj Close_DALBHARAT.NS,Close_DALBHARAT.NS,High_DALBHARAT.NS,Low_DALBHARAT.NS,Open_DALBHARAT.NS,Volume_DALBHARAT.NS,Date
2020-07-13,692.8846435546875,707.0499877929688,711.7000122070312,685.0,702.0,327274,2020-07-13
2020-07-20,694.74658203125,708.9500122070312,753.0,692.0,707.0499877929688,1018680,2020-07-20
2020-07-27,745.4108276367188,760.6500244140625,774.75,700.0,708.0,419129,2020-07-27
2020-08-03,748.5957641601562,763.9000244140625,825.0,745.9500122070312,767.9000244140625,1086316,2020-08-03
2020-08-10,763.1972045898438,778.7999877929688,804.3499755859375,770.0999755859375,793.9000244140625,500244,2020-08-10
2020-08-17,758.7383422851562,774.25,795.0,757.2000122070312,787.0,417281,2020-08-17
2020-08-24,734.5330200195312,749.5499877929688,784.0,736.0,777.7999877929688,645583,2020-08-24
2020-08-31,729.6823120117188,744.5999755859375,775.0,652.2999877929688,749.5499877929688,482806,2020-08-31
2020-09-07,698.96044921875,713.25,748.2999877929688,680.0,748.2999877929688,657803,2020-09-07
2020-09-14,753.5444946289062,768.9500122070312,807.7999877929688,712.25,720.0,956898,2020-09-14
2020-09-21,737.2769775390625,752.3499755859375,789.0499877929688,721.5499877929688,774.0,391625,2020-09-21
2020-09-28,756.7293090820312,772.2000122070312,796.0,755.5999755859375,762.7999877929688,590006,2020-09-28
2020-10-05,762.462158203125,778.0499877929688,809.0,740.0,778.7999877929688,2079760,2020-10-05
2020-10-12,773.7807006835938,789.5999755859375,830.0,770.0,778.0499877929688,1727490,2020-10-12
2020-10-19,830.8148193359375,847.7999877929688,874.4000244140625,790.5999755859375,796.0,1104139,2020-10-19
2020-10-26,825.9639892578125,842.8499755859375,862.0499877929688,805.5499877929688,853.7999877929688,548636,2020-10-26
2020-11-02,875.0601806640625,892.9500122070312,928.0,825.2000122070312,845.0,1932636,2020-11-02
2020-11-09,935.426025390625,954.5499877929688,964.7000122070312,869.0,894.9500122070312,1346304,2020-11-09
2020-11-16,963.110107421875,982.7999877929688,997.2000122070312,945.0,949.4500122070312,835099,2020-11-16
2020-11-23,1079.6279296875,1101.699951171875,1111.0,987.7999877929688,990.0,1468680,2020-11-23
2020-11-30,1101.0401611328125,1123.550048828125,1198.0,1096.25,1101.699951171875,869822,2020-11-30
2020-12-07,1034.9415283203125,1056.0999755859375,1148.050048828125,1028.75,1133.9000244140625,955402,2020-12-07
2020-12-14,1053.1689453125,1074.699951171875,1114.0,1042.699951171875,1061.3499755859375,546485,2020-12-14
2020-12-21,1005.7387084960938,1026.300048828125,1079.0999755859375,945.0,1079.0999755859375,1098530,2020-12-21
2020-12-28,1072.5723876953125,1094.5,1098.5,1032.550048828125,1054.5,972633,2020-12-28
2021-01-04,1179.927490234375,1204.050048828125,1229.800048828125,1100.050048828125,1106.9000244140625,1340717,2021-01-04
2021-01-11,1116.6214599609375,1139.449951171875,1219.0,1125.0999755859375,1210.0,508074,2021-01-11
2021-01-18,1131.9091796875,1155.050048828125,1185.0,1081.0,1146.300048828125,611479,2021-01-18
2021-01-25,1131.811279296875,1154.949951171875,1180.449951171875,1115.5,1167.0,424823,2021-01-25
2021-02-01,1215.206298828125,1240.050048828125,1304.8499755859375,1135.5999755859375,1160.75,1253068,2021-02-01
2021-02-08,1451.769775390625,1481.449951171875,1500.0,1245.0,1245.0,1888941,2021-02-08
2021-02-15,1446.72314453125,1476.300048828125,1510.0,1368.050048828125,1488.9000244140625,1075059,2021-02-15
2021-02-22,1407.3775634765625,1436.1500244140625,1574.0,1365.5999755859375,1484.0,1027780,2021-02-22
2021-03-01,1445.4002685546875,1474.949951171875,1539.0,1423.300048828125,1438.0,1062265,2021-03-01
2021-03-08,1445.05712890625,1474.5999755859375,1504.9000244140625,1441.0,1482.5999755859375,654477,2021-03-08
2021-03-15,1543.543701171875,1575.0999755859375,1689.75,1445.199951171875,1513.0,2500667,2021-03-15
2021-03-22,1520.3673095703125,1551.449951171875,1653.0,1500.0,1590.9000244140625,490357,2021-03-22
