Date,Adj Close_AGARIND.NS,Close_AGARIND.NS,High_AGARIND.NS,Low_AGARIND.NS,Open_AGARIND.NS,Volume_AGARIND.NS,Date
2020-07-13,82.66548919677734,85.1500015258789,86.75,81.30000305175781,86.44999694824219,26029,2020-07-13
2020-07-20,79.21906280517578,81.5999984741211,88.5,81.0999984741211,86.05000305175781,44629,2020-07-20
2020-07-27,78.5880355834961,80.94999694824219,83.1500015258789,76.3499984741211,81.75,72603,2020-07-27
2020-08-03,87.0341796875,89.6500015258789,93.5999984741211,82.0,83.4000015258789,156491,2020-08-03
2020-08-10,112.12992095947266,115.5,123.94999694824219,88.44999694824219,90.05000305175781,354979,2020-08-10
2020-08-17,110.9164047241211,114.25,115.94999694824219,104.75,115.0,108607,2020-08-17
2020-08-24,107.1787338256836,110.4000015258789,119.6500015258789,109.0,113.0,239286,2020-08-24
2020-08-31,98.05300903320312,101.0,112.0,99.3499984741211,109.4000015258789,82678,2020-08-31
2020-09-07,101.30526733398438,104.3499984741211,105.0,96.55000305175781,103.94999694824219,40402,2020-09-07
2020-09-14,96.25699615478516,99.1500015258789,108.80000305175781,98.05000305175781,108.80000305175781,59517,2020-09-14
2020-09-21,88.63603973388672,91.30000305175781,102.69999694824219,89.0999984741211,99.1500015258789,61626,2020-09-21
2020-09-28,90.45531463623047,91.75,97.9000015258789,90.6500015258789,93.80000305175781,41031,2020-09-28
2020-10-05,84.73715209960938,85.94999694824219,93.1500015258789,82.55000305175781,93.1500015258789,107164,2020-10-05
2020-10-12,85.92022705078125,87.1500015258789,88.6500015258789,82.5,82.5,42091,2020-10-12
2020-10-19,85.42729187011719,86.6500015258789,88.9000015258789,84.55000305175781,85.6500015258789,19949,2020-10-19
2020-10-26,83.8005599975586,85.0,89.5999984741211,82.4000015258789,86.19999694824219,45444,2020-10-26
2020-11-02,79.11758422851562,80.25,86.69999694824219,74.0999984741211,85.05000305175781,116634,2020-11-02
2020-11-09,82.51890563964844,83.69999694824219,86.0,78.30000305175781,78.30000305175781,92188,2020-11-09
2020-11-16,80.49784088134766,81.6500015258789,85.19999694824219,80.0,80.75,62122,2020-11-16
2020-11-23,84.63856506347656,85.8499984741211,89.4000015258789,78.80000305175781,81.05000305175781,92897,2020-11-23
2020-11-30,91.7862548828125,93.0999984741211,94.5,83.1500015258789,85.8499984741211,84898,2020-11-30
2020-12-07,97.40583801269531,98.80000305175781,111.69999694824219,93.30000305175781,93.30000305175781,278577,2020-12-07
2020-12-14,100.70855712890625,102.1500015258789,110.0,98.5999984741211,99.0,132253,2020-12-14
2020-12-21,98.4410171508789,99.8499984741211,102.94999694824219,90.4000015258789,102.94999694824219,41522,2020-12-21
2020-12-28,102.28598022460938,103.75,108.0,99.69999694824219,100.1500015258789,106335,2020-12-28
2021-01-04,109.38438415527344,110.94999694824219,115.44999694824219,100.19999694824219,104.05000305175781,136777,2021-01-04
2021-01-11,143.84120178222656,145.89999389648438,164.9499969482422,112.94999694824219,112.94999694824219,1530641,2021-01-11
2021-01-18,153.6015167236328,155.8000030517578,166.89999389648438,134.3000030517578,148.0,326555,2021-01-18
2021-01-25,136.64422607421875,138.60000610351562,159.9499969482422,137.85000610351562,155.8000030517578,90646,2021-01-25
2021-02-01,136.0526885986328,138.0,145.5,134.1999969482422,144.85000610351562,72902,2021-02-01
2021-02-08,141.27789306640625,143.3000030517578,146.89999389648438,124.0,135.25,127323,2021-02-08
2021-02-15,157.15069580078125,159.39999389648438,169.0,150.0,150.0,85379,2021-02-15
2021-02-22,149.9044189453125,152.0500030517578,165.0,147.0,165.0,39763,2021-02-22
2021-03-01,150.74241638183594,152.89999389648438,157.6999969482422,146.0500030517578,151.9499969482422,33044,2021-03-01
2021-03-08,147.5382843017578,149.64999389648438,156.0,148.3000030517578,153.0,22697,2021-03-08
