Date,Adj Close_VIDHIING.NS,Close_VIDHIING.NS,High_VIDHIING.NS,Low_VIDHIING.NS,Open_VIDHIING.NS,Volume_VIDHIING.NS,Date
2020-07-13,68.55170440673828,70.19999694824219,72.5,69.0,72.05000305175781,89786,2020-07-13
2020-07-20,69.43057250976562,71.0999984741211,76.0,69.19999694824219,70.5999984741211,232089,2020-07-20
2020-07-27,68.50286865234375,70.1500015258789,72.0,68.19999694824219,70.5,170005,2020-07-27
2020-08-03,87.15440368652344,89.25,94.5,69.5,69.5,2349904,2020-08-03
2020-08-10,84.07835388183594,86.0999984741211,99.0,82.19999694824219,90.0,1578226,2020-08-10
2020-08-17,85.59195709228516,87.6500015258789,89.9000015258789,82.0,85.5,755391,2020-08-17
2020-08-24,90.97826385498047,92.94999694824219,95.8499984741211,85.6500015258789,87.69999694824219,1251193,2020-08-24
2020-08-31,85.05659484863281,86.9000015258789,95.0,83.69999694824219,95.0,503722,2020-08-31
2020-09-07,85.20341491699219,87.05000305175781,89.55000305175781,84.05000305175781,88.05000305175781,176759,2020-09-07
2020-09-14,99.54263305664062,101.69999694824219,105.69999694824219,88.44999694824219,89.5999984741211,1288231,2020-09-14
2020-09-21,108.15596771240234,110.5,117.69999694824219,95.0,102.55000305175781,3620238,2020-09-21
2020-09-28,132.24951171875,134.85000610351562,136.85000610351562,108.25,111.69999694824219,3611653,2020-09-28
2020-10-05,126.36520385742188,128.85000610351562,153.0,128.0,137.0,3240035,2020-10-05
2020-10-12,126.316162109375,128.8000030517578,139.8000030517578,124.1500015258789,130.0,971646,2020-10-12
2020-10-19,139.50677490234375,142.25,144.3000030517578,129.0,129.5,950409,2020-10-19
2020-10-26,127.00270080566406,129.5,143.85000610351562,128.64999389648438,143.85000610351562,840930,2020-10-26
2020-11-02,130.72938537597656,133.3000030517578,135.75,127.25,130.1999969482422,307487,2020-11-02
2020-11-09,128.17953491210938,130.6999969482422,137.0,125.05000305175781,134.0,395411,2020-11-09
2020-11-16,125.62968444824219,128.10000610351562,134.39999389648438,127.0999984741211,129.3000030517578,265382,2020-11-16
2020-11-23,119.1400375366211,121.30000305175781,129.8000030517578,120.0,129.8000030517578,340979,2020-11-23
2020-11-30,119.87667083740234,122.05000305175781,124.30000305175781,114.5,121.30000305175781,725517,2020-11-30
2020-12-07,121.10440826416016,123.30000305175781,131.0,122.05000305175781,128.9499969482422,838825,2020-12-07
2020-12-14,117.51939392089844,119.6500015258789,126.0,119.05000305175781,124.55000305175781,201992,2020-12-14
2020-12-21,114.91659545898438,117.0,121.0999984741211,113.05000305175781,120.0,187813,2020-12-21
2020-12-28,123.85455322265625,126.0999984741211,128.5,115.0,118.80000305175781,767642,2020-12-28
2021-01-04,123.21612548828125,125.44999694824219,129.0,122.1500015258789,126.0999984741211,333920,2021-01-04
2021-01-11,122.08662414550781,124.30000305175781,127.0,119.5,127.0,244713,2021-01-11
2021-01-18,124.98408508300781,127.25,141.6999969482422,113.3499984741211,113.3499984741211,818691,2021-01-18
2021-01-25,123.70723724365234,125.94999694824219,129.0,121.55000305175781,129.0,335110,2021-01-25
2021-02-01,137.7034912109375,140.1999969482422,141.3000030517578,125.0,127.80000305175781,471178,2021-02-01
2021-02-08,136.27931213378906,138.75,154.39999389648438,132.10000610351562,142.89999389648438,1482418,2021-02-08
2021-02-15,141.9760284423828,144.5500030517578,154.75,136.10000610351562,139.9499969482422,2126343,2021-02-15
2021-02-22,135.38685607910156,137.64999389648438,147.6999969482422,133.0500030517578,147.6999969482422,750965,2021-02-22
2021-03-01,136.86219787597656,139.14999389648438,149.3000030517578,135.1999969482422,139.0,995687,2021-03-01
2021-03-08,136.61630249023438,138.89999389648438,145.89999389648438,135.0,141.39999389648438,350312,2021-03-08
2021-03-15,185.89259338378906,189.0,189.0,137.0500030517578,139.0,5176820,2021-03-15
2021-03-22,197.1543426513672,200.4499969482422,213.75,178.64999389648438,194.6999969482422,4122720,2021-03-22
2021-03-29,203.69500732421875,207.10000610351562,215.89999389648438,181.0,200.4499969482422,741716,2021-03-29
2021-04-05,209.7930908203125,213.3000030517578,215.0,191.1999969482422,204.10000610351562,889728,2021-04-05
2021-04-12,183.92547607421875,187.0,209.6999969482422,181.1999969482422,209.6999969482422,737995,2021-04-12
2021-04-19,180.97482299804688,184.0,193.89999389648438,172.0,182.39999389648438,382349,2021-04-19
2021-04-26,183.2861785888672,186.35000610351562,199.25,184.0,187.6999969482422,378409,2021-04-26
2021-05-03,203.00653076171875,206.39999389648438,237.5,185.0500030517578,186.0,2523725,2021-05-03
2021-05-10,200.35092163085938,203.6999969482422,210.0,195.3000030517578,209.8000030517578,614866,2021-05-10
2021-05-17,201.18692016601562,204.5500030517578,210.9499969482422,201.4499969482422,210.9499969482422,326764,2021-05-17
2021-05-24,198.53134155273438,201.85000610351562,214.4499969482422,201.0,204.0,468563,2021-05-24
