Date,Adj Close_ZIMLAB.NS,Close_ZIMLAB.NS,High_ZIMLAB.NS,Low_ZIMLAB.NS,Open_ZIMLAB.NS,Volume_ZIMLAB.NS,Date
2022-11-21,112.13333129882812,112.13333129882812,113.16666412353516,110.05000305175781,112.0,103959,2022-11-21
2022-11-28,107.80000305175781,107.80000305175781,112.13333129882812,100.0,112.13333129882812,83655,2022-11-28
2022-12-05,106.71666717529297,106.71666717529297,110.11666870117188,103.19999694824219,109.31666564941406,80076,2022-12-05
2022-12-12,118.44999694824219,118.44999694824219,120.81666564941406,108.3499984741211,109.96666717529297,427614,2022-12-12
2022-12-19,110.25,110.25,124.3499984741211,108.36666870117188,124.3499984741211,435095,2022-12-19
2022-12-26,97.19999694824219,97.19999694824219,110.25,97.1500015258789,110.25,87227,2022-12-26
2023-01-02,94.80000305175781,94.80000305175781,102.1500015258789,93.25,97.19999694824219,55716,2023-01-02
2023-01-09,91.8499984741211,91.8499984741211,96.1500015258789,86.6500015258789,94.80000305175781,75331,2023-01-09
2023-01-16,87.8499984741211,87.8499984741211,95.55000305175781,85.5,91.8499984741211,44669,2023-01-16
2023-01-23,83.19999694824219,83.19999694824219,90.25,81.0,89.25,36412,2023-01-23
2023-01-30,82.55000305175781,82.55000305175781,86.0,78.0,82.94999694824219,79504,2023-01-30
2023-02-06,79.75,79.75,86.5999984741211,78.0,85.80000305175781,55209,2023-02-06
2023-02-13,76.44999694824219,76.44999694824219,85.0999984741211,75.0999984741211,81.3499984741211,31438,2023-02-13
2023-02-20,77.5,77.5,79.94999694824219,71.44999694824219,78.4000015258789,51117,2023-02-20
2023-02-27,83.94999694824219,83.94999694824219,85.0,74.0,79.0,62252,2023-02-27
2023-03-06,84.6500015258789,84.6500015258789,88.19999694824219,81.0999984741211,83.94999694824219,71583,2023-03-06
2023-03-13,80.1500015258789,80.1500015258789,84.80000305175781,74.94999694824219,84.80000305175781,32154,2023-03-13
2023-03-20,74.94999694824219,74.94999694824219,82.9000015258789,74.0,81.0,23115,2023-03-20
2023-03-27,72.25,72.25,76.4000015258789,68.05000305175781,76.1500015258789,25149,2023-03-27
2023-04-03,76.3499984741211,76.3499984741211,78.94999694824219,73.19999694824219,75.8499984741211,24282,2023-04-03
2023-04-10,77.5999984741211,77.5999984741211,84.0,75.5,76.5,54398,2023-04-10
2023-04-17,85.0999984741211,85.0999984741211,89.4000015258789,77.5999984741211,79.94999694824219,71184,2023-04-17
2023-04-24,78.80000305175781,78.80000305175781,88.0999984741211,75.6500015258789,86.8499984741211,135205,2023-04-24
2023-05-01,78.19999694824219,78.19999694824219,83.0,77.05000305175781,78.80000305175781,25942,2023-05-01
2023-05-08,90.19999694824219,90.19999694824219,90.19999694824219,73.94999694824219,78.19999694824219,251447,2023-05-08
2023-05-15,102.44999694824219,102.44999694824219,108.30000305175781,94.94999694824219,94.94999694824219,325824,2023-05-15
2023-05-22,98.05000305175781,98.05000305175781,100.69999694824219,87.9000015258789,97.3499984741211,536822,2023-05-22
2023-05-29,107.0999984741211,107.0999984741211,107.3499984741211,94.80000305175781,96.0999984741211,342351,2023-05-29
2023-06-05,112.25,112.25,123.0,98.1500015258789,111.0,2636588,2023-06-05
2023-06-12,117.3499984741211,117.3499984741211,125.80000305175781,100.55000305175781,113.0999984741211,10352911,2023-06-12
2023-06-19,105.3499984741211,105.3499984741211,119.44999694824219,104.55000305175781,118.1500015258789,2029678,2023-06-19
2023-06-26,111.8499984741211,111.8499984741211,115.69999694824219,105.94999694824219,106.0,946333,2023-06-26
2023-07-03,105.75,105.75,116.5,104.1500015258789,112.44999694824219,1405188,2023-07-03
2023-07-10,114.69999694824219,114.69999694824219,115.69999694824219,100.80000305175781,107.0,2234886,2023-07-10
2023-07-17,120.30000305175781,120.30000305175781,127.8499984741211,115.25,115.5999984741211,3895625,2023-07-17
2023-07-24,132.89999389648438,132.89999389648438,136.85000610351562,112.5,121.0,4462003,2023-07-24
2023-07-31,138.10000610351562,138.10000610351562,152.6999969482422,130.5,133.89999389648438,7702072,2023-07-31
2023-08-07,128.5,128.5,141.4499969482422,126.55000305175781,139.9499969482422,3757311,2023-08-07
2023-08-14,115.94999694824219,115.94999694824219,129.1999969482422,108.6500015258789,128.4499969482422,3290031,2023-08-14
2023-08-21,123.55000305175781,123.55000305175781,129.14999389648438,113.69999694824219,116.9000015258789,1725386,2023-08-21
2023-08-28,129.35000610351562,129.35000610351562,134.4499969482422,124.4000015258789,124.80000305175781,2389894,2023-08-28
2023-09-04,124.5,124.5,133.10000610351562,124.1500015258789,130.35000610351562,1085876,2023-09-04
2023-09-11,117.9000015258789,117.9000015258789,129.89999389648438,114.44999694824219,125.25,1448547,2023-09-11
2023-09-18,119.30000305175781,119.30000305175781,122.1500015258789,115.8499984741211,118.94999694824219,909060,2023-09-18
2023-09-25,120.5,120.5,127.4000015258789,118.3499984741211,119.30000305175781,1643701,2023-09-25
2023-10-02,118.94999694824219,118.94999694824219,121.4000015258789,116.80000305175781,120.5,482208,2023-10-02
2023-10-09,116.19999694824219,116.19999694824219,121.9000015258789,114.30000305175781,118.0,664947,2023-10-09
2023-10-16,118.75,118.75,124.0,117.0,121.0,899426,2023-10-16
2023-10-23,114.80000305175781,114.80000305175781,122.1500015258789,108.05000305175781,120.69999694824219,863915,2023-10-23
2023-10-30,124.1500015258789,124.1500015258789,126.0,113.44999694824219,115.5,1015236,2023-10-30
2023-11-06,118.0999984741211,118.0999984741211,128.75,116.0,124.9000015258789,844198,2023-11-06
2023-11-13,117.25,117.25,124.55000305175781,117.0,118.6500015258789,784746,2023-11-13
2023-11-20,115.75,115.75,122.25,114.3499984741211,117.55000305175781,1053996,2023-11-20
2023-11-27,114.69999694824219,114.69999694824219,117.4000015258789,113.75,115.75,468064,2023-11-27
2023-12-04,112.69999694824219,112.69999694824219,116.4000015258789,112.05000305175781,115.30000305175781,736075,2023-12-04
2023-12-11,108.5,108.5,113.9000015258789,108.0,113.30000305175781,689206,2023-12-11
2023-12-18,116.4000015258789,116.4000015258789,121.0,108.4000015258789,108.5,2062270,2023-12-18
2023-12-25,115.3499984741211,115.3499984741211,121.19999694824219,113.1500015258789,116.4000015258789,1117482,2023-12-25
2024-01-01,116.05000305175781,116.05000305175781,123.80000305175781,112.0,115.9000015258789,2013820,2024-01-01
2024-01-08,114.75,114.75,117.44999694824219,114.0,116.6500015258789,694230,2024-01-08
2024-01-15,111.1500015258789,111.1500015258789,115.25,108.55000305175781,114.75,682349,2024-01-15
2024-01-22,109.0,109.0,111.94999694824219,107.69999694824219,111.1500015258789,235976,2024-01-22
2024-01-29,107.5,107.5,113.4000015258789,104.3499984741211,109.94999694824219,1406094,2024-01-29
2024-02-05,110.19999694824219,110.19999694824219,114.0999984741211,107.55000305175781,107.80000305175781,1295004,2024-02-05
2024-02-12,113.5999984741211,113.5999984741211,114.69999694824219,100.6500015258789,108.5,1107957,2024-02-12
2024-02-19,113.4000015258789,113.4000015258789,120.0,110.0,114.1500015258789,1073089,2024-02-19
2024-02-26,107.0,107.0,114.05000305175781,106.5,114.0,555933,2024-02-26
2024-03-04,102.44999694824219,102.44999694824219,107.75,100.05000305175781,107.3499984741211,560038,2024-03-04
2024-03-11,101.0999984741211,101.0999984741211,106.0,89.5,102.0,1074960,2024-03-11
2024-03-18,99.6500015258789,99.6500015258789,102.55000305175781,96.5,101.0,530873,2024-03-18
2024-03-25,94.94999694824219,94.94999694824219,101.55000305175781,94.0,99.6500015258789,952489,2024-03-25
