Date,Adj Close_RAYMONDLSL.NS,Close_RAYMONDLSL.NS,High_RAYMONDLSL.NS,Low_RAYMONDLSL.NS,Open_RAYMONDLSL.NS,Volume_RAYMONDLSL.NS,Date
2024-09-02,2725.550048828125,2725.550048828125,3100.0,2725.550048828125,3020.0,160332,2024-09-02
2024-09-09,2401.89990234375,2401.89990234375,2589.300048828125,2291.0,2589.300048828125,1450033,2024-09-09
2024-09-16,2364.60009765625,2364.60009765625,2498.75,2174.199951171875,2420.0,1137160,2024-09-16
2024-09-23,2379.5,2379.5,2480.89990234375,2365.199951171875,2398.0,505997,2024-09-23
2024-09-30,2271.800048828125,2271.800048828125,2407.39990234375,2250.0,2380.050048828125,337970,2024-09-30
2024-10-07,2137.64990234375,2137.64990234375,2306.0,2102.5,2280.5,505570,2024-10-07
2024-10-14,2361.300048828125,2361.300048828125,2494.0,2056.10009765625,2151.949951171875,991844,2024-10-14
2024-10-21,2211.75,2211.75,2496.0,2150.0,2400.0,788938,2024-10-21
2024-10-28,2250.89990234375,2250.89990234375,2289.0,2144.60009765625,2215.449951171875,313776,2024-10-28
2024-11-04,2205.5,2205.5,2255.75,1965.0,2248.050048828125,926599,2024-11-04
2024-11-11,2111.64990234375,2111.64990234375,2304.75,2036.949951171875,2215.0,365108,2024-11-11
2024-11-18,1983.0999755859375,1983.0999755859375,2135.0,1913.1500244140625,2134.85009765625,524299,2024-11-18
2024-11-25,2046.8499755859375,2046.8499755859375,2085.550048828125,1991.0,1999.0,414844,2024-11-25
2024-12-02,2055.10009765625,2055.10009765625,2098.89990234375,2000.0999755859375,2021.1500244140625,555472,2024-12-02
2024-12-09,2155.10009765625,2155.10009765625,2274.699951171875,2051.800048828125,2065.0,721320,2024-12-09
2024-12-16,2000.75,2000.75,2191.14990234375,1980.050048828125,2157.0,454860,2024-12-16
2024-12-23,2081.14990234375,2081.14990234375,2099.0,1952.5999755859375,2050.0,417968,2024-12-23
2024-12-30,2069.14990234375,2069.14990234375,2164.300048828125,2050.050048828125,2164.300048828125,377385,2024-12-30
2025-01-06,1919.6500244140625,1919.6500244140625,2065.0,1911.25,2055.0,379747,2025-01-06
2025-01-13,1901.9000244140625,1901.9000244140625,1929.0,1760.0,1900.199951171875,646863,2025-01-13
2025-01-20,1759.800048828125,1759.800048828125,1978.8499755859375,1751.4000244140625,1910.0,623764,2025-01-20
2025-01-27,1518.050048828125,1518.050048828125,1749.800048828125,1385.0,1726.0,1852525,2025-01-27
2025-02-03,1293.699951171875,1293.699951171875,1538.949951171875,1277.25,1518.0999755859375,1193866,2025-02-03
2025-02-10,1140.699951171875,1140.699951171875,1323.0,1127.4000244140625,1282.050048828125,967573,2025-02-10
2025-02-17,1196.0,1196.0,1259.949951171875,1118.550048828125,1144.0999755859375,1008427,2025-02-17
2025-02-24,1086.6500244140625,1086.6500244140625,1204.699951171875,1080.0,1193.0,499186,2025-02-24
2025-03-03,1132.449951171875,1132.449951171875,1170.3499755859375,1032.0999755859375,1108.949951171875,898762,2025-03-03
2025-03-10,1064.0999755859375,1064.0999755859375,1144.550048828125,1027.050048828125,1130.0,491293,2025-03-10
2025-03-17,1082.800048828125,1082.800048828125,1177.699951171875,1002.5,1060.0,2450546,2025-03-17
2025-03-24,1046.6500244140625,1046.6500244140625,1095.0,1004.0,1085.050048828125,1562584,2025-03-24
2025-03-31,1010.3499755859375,1010.3499755859375,1077.0,1003.5499877929688,1040.0,707127,2025-03-31
2025-04-07,1042.550048828125,1042.550048828125,1048.800048828125,914.0499877929688,952.2999877929688,546150,2025-04-07
2025-04-14,1055.5999755859375,1055.5999755859375,1088.800048828125,1038.0999755859375,1070.0,445979,2025-04-14
2025-04-21,1011.7999877929688,1011.7999877929688,1070.0,1002.0,1070.0,689134,2025-04-21
2025-04-28,941.2000122070312,941.2000122070312,1024.199951171875,937.0999755859375,1010.0,401073,2025-04-28
2025-05-05,956.9000244140625,956.9000244140625,1019.5,911.3499755859375,950.4500122070312,1243194,2025-05-05
2025-05-12,1008.7999877929688,1008.7999877929688,1050.449951171875,931.1500244140625,980.8499755859375,2124210,2025-05-12
2025-05-19,1074.8499755859375,1074.8499755859375,1099.800048828125,1001.5499877929688,1009.0,1111904,2025-05-19
2025-05-26,1019.8499755859375,1019.8499755859375,1120.0,1010.0,1069.0,989438,2025-05-26
2025-06-02,1047.0,1047.0,1064.699951171875,997.2000122070312,1020.0,1179953,2025-06-02
2025-06-09,1095.800048828125,1095.800048828125,1170.0,1044.5999755859375,1055.0,1354122,2025-06-09
2025-06-16,1038.4000244140625,1038.4000244140625,1111.5999755859375,1026.9000244140625,1085.0,562122,2025-06-16
2025-06-23,1222.300048828125,1222.300048828125,1234.5,1031.9000244140625,1035.0,3097984,2025-06-23
2025-06-30,1283.5999755859375,1283.5999755859375,1411.9000244140625,1209.5,1246.0,7859571,2025-06-30
2025-07-07,1270.4000244140625,1270.4000244140625,1366.0,1248.800048828125,1284.0,3014900,2025-07-07
2025-07-14,1260.199951171875,1260.199951171875,1292.699951171875,1253.0,1267.699951171875,274268,2025-07-14
