Date,Adj Close_CYBERTECH.NS,Close_CYBERTECH.NS,High_CYBERTECH.NS,Low_CYBERTECH.NS,Open_CYBERTECH.NS,Volume_CYBERTECH.NS,Date
2020-07-13,41.2252197265625,43.650001525878906,45.45000076293945,41.45000076293945,41.54999923706055,70918,2020-07-13
2020-07-20,48.686363220214844,51.54999923706055,55.900001525878906,43.54999923706055,44.599998474121094,1398526,2020-07-20
2020-07-27,45.09745788574219,47.75,58.79999923706055,47.0,51.54999923706055,1215611,2020-07-27
2020-08-03,47.458580017089844,50.25,52.0,47.0,47.79999923706055,272468,2020-08-03
2020-08-10,51.47249221801758,54.5,57.95000076293945,49.54999923706055,50.45000076293945,717719,2020-08-10
2020-08-17,51.566932678222656,54.599998474121094,58.5,54.0,56.79999923706055,521950,2020-08-17
2020-08-24,50.85860061645508,53.849998474121094,57.0,52.29999923706055,55.0,285159,2020-08-24
2020-08-31,54.02250671386719,57.20000076293945,59.5,48.29999923706055,53.70000076293945,639292,2020-08-31
2020-09-07,56.76140594482422,60.099998474121094,71.44999694824219,58.29999923706055,60.400001525878906,3185100,2020-09-07
2020-09-14,58.839195251464844,62.29999923706055,65.5,60.5,60.5,476532,2020-09-14
2020-09-21,59.54753494262695,63.04999923706055,66.9000015258789,53.95000076293945,62.29999923706055,1352919,2020-09-21
2020-09-28,58.35926818847656,60.79999923706055,63.79999923706055,59.25,63.25,241366,2020-09-28
2020-10-05,77.36441802978516,80.5999984741211,87.69999694824219,59.900001525878906,61.79999923706055,5331586,2020-10-05
2020-10-12,87.97083282470703,91.6500015258789,99.94999694824219,73.0999984741211,80.4000015258789,7287996,2020-10-12
2020-10-19,81.539794921875,84.94999694824219,95.80000305175781,80.5,94.4000015258789,2062505,2020-10-19
2020-10-26,73.86094665527344,76.94999694824219,86.75,75.44999694824219,85.9000015258789,947781,2020-10-26
2020-11-02,80.19599914550781,83.55000305175781,84.80000305175781,73.9000015258789,78.44999694824219,672060,2020-11-02
2020-11-09,77.36441802978516,80.5999984741211,87.0,75.19999694824219,85.05000305175781,865175,2020-11-09
2020-11-16,73.47701263427734,76.55000305175781,81.94999694824219,76.19999694824219,77.5,457655,2020-11-16
2020-11-23,75.3487319946289,78.5,79.19999694824219,74.8499984741211,77.30000305175781,551296,2020-11-23
2020-11-30,76.0206298828125,79.19999694824219,86.4000015258789,78.44999694824219,78.5,1045440,2020-11-30
2020-12-07,91.71427917480469,95.55000305175781,96.80000305175781,79.05000305175781,80.5,2756706,2020-12-07
2020-12-14,123.62950897216797,128.8000030517578,166.39999389648438,105.25,107.94999694824219,6335915,2020-12-14
2020-12-21,165.38323974609375,172.3000030517578,182.4499969482422,129.0,130.0,5028621,2020-12-21
2020-12-28,153.57701110839844,160.0,177.39999389648438,156.0,174.39999389648438,3605414,2020-12-28
2021-01-04,139.56309509277344,145.39999389648438,166.0,142.1999969482422,160.60000610351562,2256124,2021-01-04
2021-01-11,130.73243713378906,136.1999969482422,148.8000030517578,132.0,147.6999969482422,1879818,2021-01-11
2021-01-18,124.0614242553711,129.25,144.1999969482422,127.5,138.8000030517578,876261,2021-01-18
2021-01-25,115.710693359375,120.55000305175781,132.0,112.05000305175781,132.0,997874,2021-01-25
2021-02-01,125.64519500732422,130.89999389648438,145.0,120.19999694824219,123.0,978760,2021-02-01
