Date,Adj Close_AFFORDABLE.NS,Close_AFFORDABLE.NS,High_AFFORDABLE.NS,Low_AFFORDABLE.NS,Open_AFFORDABLE.NS,Volume_AFFORDABLE.NS,Date
2024-10-21,706.7999877929688,706.7999877929688,788.5,689.7999877929688,751.0999755859375,89553,2024-10-21
2024-10-28,713.7000122070312,713.7000122070312,758.7999877929688,666.0,721.0,86866,2024-10-28
2024-11-04,691.9000244140625,691.9000244140625,740.0,661.0499877929688,720.0499877929688,93654,2024-11-04
2024-11-11,662.0,662.0,729.9500122070312,596.1500244140625,635.0,286747,2024-11-11
2024-11-18,641.4500122070312,641.4500122070312,683.2999877929688,630.5,683.2999877929688,58198,2024-11-18
2024-11-25,640.9000244140625,640.9000244140625,665.75,634.0,659.9500122070312,55848,2024-11-25
2024-12-02,634.4000244140625,634.4000244140625,678.4500122070312,626.0,645.7000122070312,111285,2024-12-02
2024-12-09,646.5499877929688,646.5499877929688,651.5999755859375,624.0499877929688,630.0999755859375,88846,2024-12-09
2024-12-16,636.5999755859375,636.5999755859375,690.9500122070312,632.3499755859375,645.7999877929688,91670,2024-12-16
2024-12-23,647.9000244140625,647.9000244140625,697.0,640.0999755859375,660.0,70287,2024-12-23
2024-12-30,656.5,656.5,674.9000244140625,637.0,658.0,74742,2024-12-30
2025-01-06,626.2000122070312,626.2000122070312,664.9500122070312,611.9500122070312,663.0499877929688,81184,2025-01-06
2025-01-13,610.3499755859375,610.3499755859375,629.9000244140625,572.0999755859375,603.0,61356,2025-01-13
2025-01-20,567.7000122070312,567.7000122070312,618.2000122070312,539.8499755859375,610.0,61754,2025-01-20
2025-01-27,523.7999877929688,523.7999877929688,565.9500122070312,479.04998779296875,546.0,102468,2025-01-27
2025-02-03,500.79998779296875,500.79998779296875,534.25,486.0,534.25,37295,2025-02-03
2025-02-10,462.5,462.5,540.0999755859375,455.1000061035156,508.5,98169,2025-02-10
2025-02-17,441.1000061035156,441.1000061035156,468.25,391.0,462.5,261157,2025-02-17
2025-02-24,414.75,414.75,450.8999938964844,399.0,441.0,42980,2025-02-24
2025-03-03,446.70001220703125,446.70001220703125,455.8500061035156,394.95001220703125,416.54998779296875,75446,2025-03-03
2025-03-10,406.6499938964844,406.6499938964844,458.5,385.0,453.79998779296875,74490,2025-03-10
2025-03-17,411.70001220703125,411.70001220703125,434.79998779296875,399.04998779296875,418.8999938964844,118998,2025-03-17
2025-03-24,382.75,382.75,428.3999938964844,380.0,422.0,158623,2025-03-24
2025-03-31,399.1499938964844,399.1499938964844,450.0,382.54998779296875,390.20001220703125,85108,2025-03-31
2025-04-07,387.95001220703125,387.95001220703125,449.8500061035156,351.54998779296875,369.1499938964844,91135,2025-04-07
2025-04-14,388.1000061035156,388.1000061035156,405.8999938964844,385.0,388.0,54037,2025-04-14
2025-04-21,383.04998779296875,383.04998779296875,413.79998779296875,374.6000061035156,388.1499938964844,105024,2025-04-21
2025-04-28,383.04998779296875,383.04998779296875,393.79998779296875,367.6000061035156,389.0,58211,2025-04-28
2025-05-05,366.45001220703125,366.45001220703125,394.5,350.0,388.0,77476,2025-05-05
2025-05-12,407.0,407.0,418.95001220703125,358.04998779296875,373.79998779296875,240708,2025-05-12
2025-05-19,430.0,430.0,439.0,402.25,416.6000061035156,114016,2025-05-19
2025-05-26,396.0,396.0,439.20001220703125,386.04998779296875,434.29998779296875,148410,2025-05-26
2025-06-02,438.5,438.5,459.0,389.70001220703125,398.0,185367,2025-06-02
2025-06-09,451.8500061035156,451.8500061035156,477.0,433.1000061035156,438.5,226505,2025-06-09
2025-06-16,473.5,473.5,488.8999938964844,431.0,455.45001220703125,137786,2025-06-16
2025-06-23,449.95001220703125,449.95001220703125,479.8999938964844,443.3999938964844,479.8999938964844,74695,2025-06-23
2025-06-30,507.70001220703125,507.70001220703125,511.6499938964844,442.04998779296875,451.0,125389,2025-06-30
2025-07-07,494.54998779296875,494.54998779296875,519.7999877929688,485.25,500.0,72292,2025-07-07
2025-07-14,490.1499938964844,490.1499938964844,510.0,482.70001220703125,499.5,20010,2025-07-14
