Date,Adj Close_EXICOM.NS,Close_EXICOM.NS,High_EXICOM.NS,Low_EXICOM.NS,Open_EXICOM.NS,Volume_EXICOM.NS,Date
2024-03-04,238.1999969482422,238.1999969482422,274.5,219.0,265.0,53239787,2024-03-04
2024-03-11,227.75,227.75,240.60000610351562,169.39999389648438,238.0,25839216,2024-03-11
2024-03-18,214.5500030517578,214.5500030517578,239.39999389648438,211.0500030517578,230.6999969482422,9810650,2024-03-18
2024-03-25,197.35000610351562,197.35000610351562,220.9499969482422,195.5,214.5500030517578,2901707,2024-03-25
2024-04-01,224.1999969482422,224.1999969482422,227.64999389648438,197.5,200.25,6035616,2024-04-01
2024-04-08,241.89999389648438,241.89999389648438,250.85000610351562,215.9499969482422,226.1999969482422,8856145,2024-04-08
2024-04-15,291.79998779296875,291.79998779296875,308.6499938964844,226.10000610351562,234.0,33710872,2024-04-15
2024-04-22,278.8500061035156,278.8500061035156,304.0,262.75,289.04998779296875,10898440,2024-04-22
2024-04-29,291.6499938964844,291.6499938964844,314.0,282.29998779296875,282.95001220703125,9572348,2024-04-29
2024-05-06,260.6499938964844,260.6499938964844,294.8999938964844,252.35000610351562,293.0,5327186,2024-05-06
2024-05-13,284.54998779296875,284.54998779296875,289.5,248.89999389648438,261.0,4571380,2024-05-13
2024-05-20,266.54998779296875,266.54998779296875,286.0,264.0,284.54998779296875,2282306,2024-05-20
2024-05-27,313.29998779296875,313.29998779296875,346.70001220703125,253.4499969482422,267.95001220703125,33355763,2024-05-27
2024-06-03,304.1000061035156,304.1000061035156,337.95001220703125,252.0500030517578,336.20001220703125,14271717,2024-06-03
2024-06-10,319.04998779296875,319.04998779296875,330.0,305.5,310.0,8529398,2024-06-10
2024-06-17,405.1499938964844,405.1499938964844,424.20001220703125,319.04998779296875,319.04998779296875,26937984,2024-06-17
2024-06-24,454.0,454.0,461.5,387.5,394.95001220703125,23408418,2024-06-24
2024-07-01,486.20001220703125,486.20001220703125,530.0,454.20001220703125,456.70001220703125,12003003,2024-07-01
2024-07-08,445.04998779296875,445.04998779296875,493.45001220703125,428.0,491.0,6259549,2024-07-08
2024-07-15,432.70001220703125,432.70001220703125,485.0,422.04998779296875,462.0,2885876,2024-07-15
2024-07-22,456.29998779296875,456.29998779296875,456.29998779296875,415.1000061035156,426.0,2320739,2024-07-22
2024-07-29,443.95001220703125,443.95001220703125,479.0,436.1499938964844,460.0,1197466,2024-07-29
2024-08-05,423.8500061035156,423.8500061035156,440.0,380.0,425.1499938964844,2402388,2024-08-05
2024-08-12,394.1499938964844,394.1499938964844,425.0,390.6000061035156,422.0,796184,2024-08-12
2024-08-19,401.29998779296875,401.29998779296875,410.0,392.0,400.1499938964844,967201,2024-08-19
2024-08-26,385.54998779296875,385.54998779296875,403.95001220703125,380.0,402.0,961094,2024-08-26
2024-09-02,348.54998779296875,348.54998779296875,391.20001220703125,344.5,389.95001220703125,4284652,2024-09-02
2024-09-09,346.54998779296875,346.54998779296875,365.5,331.1499938964844,349.54998779296875,1651218,2024-09-09
2024-09-16,327.70001220703125,327.70001220703125,351.70001220703125,313.6499938964844,351.70001220703125,1831658,2024-09-16
2024-09-23,317.3500061035156,317.3500061035156,338.0,315.0,333.0,1244477,2024-09-23
2024-09-30,308.6000061035156,308.6000061035156,324.79998779296875,305.0,318.0,1140274,2024-09-30
2024-10-07,327.0,327.0,345.45001220703125,293.8999938964844,316.0,2674237,2024-10-07
2024-10-14,325.8999938964844,325.8999938964844,349.0,321.0,331.5,1976711,2024-10-14
2024-10-21,312.1000061035156,312.1000061035156,328.6499938964844,297.29998779296875,327.79998779296875,1289153,2024-10-21
2024-10-28,324.45001220703125,324.45001220703125,324.70001220703125,297.0,312.8500061035156,1357638,2024-10-28
2024-11-04,354.04998779296875,354.04998779296875,375.0,315.1000061035156,324.3999938964844,5788912,2024-11-04
2024-11-11,306.6000061035156,306.6000061035156,365.0,306.6000061035156,350.29998779296875,1559102,2024-11-11
2024-11-18,270.6499938964844,270.6499938964844,291.29998779296875,257.3500061035156,291.29998779296875,3986068,2024-11-18
2024-11-25,277.5,277.5,289.45001220703125,262.6000061035156,278.0,1955391,2024-11-25
2024-12-02,284.8500061035156,284.8500061035156,295.3500061035156,270.75,274.6499938964844,1683769,2024-12-02
2024-12-09,274.3500061035156,274.3500061035156,290.3500061035156,268.70001220703125,288.95001220703125,1335142,2024-12-09
2024-12-16,262.1000061035156,262.1000061035156,281.70001220703125,261.0,277.45001220703125,1538673,2024-12-16
2024-12-23,254.1999969482422,254.1999969482422,267.6000061035156,254.0,262.20001220703125,866651,2024-12-23
2024-12-30,252.75,252.75,261.510009765625,242.39999389648438,254.1999969482422,1413163,2024-12-30
2025-01-06,256.010009765625,256.010009765625,275.7099914550781,236.2100067138672,256.0,2048098,2025-01-06
2025-01-13,248.77999877929688,248.77999877929688,254.0,232.0,254.0,1765844,2025-01-13
2025-01-20,243.99000549316406,243.99000549316406,255.19000244140625,226.6300048828125,251.39999389648438,1562308,2025-01-20
2025-01-27,240.49000549316406,240.49000549316406,254.1999969482422,229.0,245.0,2864037,2025-01-27
2025-02-03,199.9600067138672,199.9600067138672,247.42999267578125,198.72999572753906,239.91000366210938,4182224,2025-02-03
2025-02-10,174.14999389648438,174.14999389648438,200.99000549316406,174.14999389648438,200.0,2261746,2025-02-10
2025-02-17,169.3800048828125,169.3800048828125,178.99000549316406,159.50999450683594,173.94000244140625,2338851,2025-02-17
2025-02-24,153.42999267578125,153.42999267578125,168.39999389648438,152.6999969482422,167.99000549316406,1125635,2025-02-24
2025-03-03,155.61000061035156,155.61000061035156,161.8000030517578,141.5,156.99000549316406,2297333,2025-03-03
2025-03-10,136.22000122070312,136.22000122070312,157.0,134.64999389648438,154.47000122070312,1658994,2025-03-10
2025-03-17,153.91000366210938,153.91000366210938,153.91000366210938,130.3699951171875,136.22999572753906,2497598,2025-03-17
2025-03-24,147.44000244140625,147.44000244140625,169.67999267578125,146.1999969482422,157.5,5602284,2025-03-24
2025-03-31,157.6300048828125,157.6300048828125,168.9499969482422,144.49000549316406,147.44000244140625,2348599,2025-03-31
2025-04-07,156.63999938964844,156.63999938964844,159.0,141.86000061035156,141.86000061035156,1594639,2025-04-07
2025-04-14,173.8800048828125,173.8800048828125,179.5,156.63999938964844,156.63999938964844,2176689,2025-04-14
2025-04-21,162.58999633789062,162.58999633789062,178.89999389648438,160.5399932861328,175.39999389648438,1897200,2025-04-21
2025-04-28,154.49000549316406,154.49000549316406,164.85000610351562,153.00999450683594,160.0,812289,2025-04-28
2025-05-05,151.75,151.75,160.14999389648438,141.0,158.0,1613157,2025-05-05
2025-05-12,173.3000030517578,173.3000030517578,175.0,157.30999755859375,162.94000244140625,1466208,2025-05-12
2025-05-19,183.1999969482422,183.1999969482422,187.0500030517578,174.10000610351562,174.92999267578125,2680446,2025-05-19
2025-05-26,179.22000122070312,179.22000122070312,194.0,166.99000549316406,171.0,3876878,2025-05-26
2025-06-02,185.10000610351562,185.10000610351562,190.77999877929688,176.97000122070312,177.25,1887394,2025-06-02
2025-06-09,195.10000610351562,195.10000610351562,217.0,185.3800048828125,186.02999877929688,9636435,2025-06-09
2025-06-16,179.63999938964844,179.63999938964844,197.16000366210938,174.97000122070312,195.0,2673693,2025-06-16
2025-06-23,201.2100067138672,201.2100067138672,214.4499969482422,176.75,178.8699951171875,7473707,2025-06-23
2025-06-30,193.28695678710938,193.28695678710938,199.60057067871094,187.67593383789062,193.83554077148438,4704680,2025-06-30
2025-07-07,177.22000122070312,177.22000122070312,192.5,176.5,192.5,2045906,2025-07-07
2025-07-14,178.1199951171875,178.1199951171875,183.6699981689453,174.22000122070312,178.39999389648438,704588,2025-07-14
