Date,Adj Close_GNFC.NS,Close_GNFC.NS,High_GNFC.NS,Low_GNFC.NS,Open_GNFC.NS,Volume_GNFC.NS,Date
2020-07-13,141.14154052734375,161.6999969482422,167.6999969482422,156.14999389648438,166.89999389648438,2143732,2020-07-13
2020-07-20,141.1851806640625,161.75,168.60000610351562,160.60000610351562,162.5,5638077,2020-07-20
2020-07-27,143.36732482910156,164.25,169.5,157.3000030517578,162.10000610351562,6430497,2020-07-27
2020-08-03,144.7202606201172,165.8000030517578,168.64999389648438,161.5500030517578,163.8000030517578,3938420,2020-08-03
2020-08-10,147.55706787109375,169.0500030517578,175.39999389648438,165.85000610351562,167.35000610351562,8154292,2020-08-10
2020-08-17,170.6442108154297,195.5,196.39999389648438,169.10000610351562,170.4499969482422,11873685,2020-08-17
2020-08-24,196.517578125,218.8000030517578,232.5,195.0,197.5,15623908,2020-08-24
2020-08-31,187.49107360839844,208.75,221.5,185.1999969482422,220.0,4603140,2020-08-31
2020-09-07,188.65867614746094,210.0500030517578,221.35000610351562,197.35000610351562,219.0,5925857,2020-09-07
2020-09-14,200.60423278808594,223.35000610351562,228.6999969482422,206.60000610351562,211.85000610351562,9378186,2020-09-14
2020-09-21,187.805419921875,209.10000610351562,232.35000610351562,200.5,227.5,6879507,2020-09-21
2020-09-28,191.08370971679688,212.75,219.4499969482422,207.0,212.10000610351562,3870911,2020-09-28
2020-10-05,185.6947479248047,206.75,215.64999389648438,205.89999389648438,214.4499969482422,3144537,2020-10-05
2020-10-12,176.8478546142578,196.89999389648438,208.39999389648438,183.1999969482422,207.75,3992609,2020-10-12
2020-10-19,183.76370239257812,204.60000610351562,207.89999389648438,193.3000030517578,200.0,1983038,2020-10-19
2020-10-26,184.84149169921875,205.8000030517578,215.1999969482422,203.6999969482422,205.64999389648438,2430475,2020-10-26
2020-11-02,187.2216033935547,208.4499969482422,211.4499969482422,200.0500030517578,205.75,1916845,2020-11-02
2020-11-09,176.66822814941406,196.6999969482422,210.89999389648438,189.35000610351562,208.4499969482422,3207137,2020-11-09
2020-11-16,172.98577880859375,192.60000610351562,198.64999389648438,190.0,192.3000030517578,1595768,2020-11-16
2020-11-23,188.7484893798828,210.14999389648438,211.85000610351562,192.6999969482422,193.75,4575221,2020-11-23
2020-11-30,202.62509155273438,225.60000610351562,227.6999969482422,208.14999389648438,210.14999389648438,4923255,2020-11-30
2020-12-07,218.1183624267578,242.85000610351562,254.75,223.0500030517578,225.60000610351562,10172025,2020-12-07
2020-12-14,216.36692810058594,240.89999389648438,252.89999389648438,235.5500030517578,244.60000610351562,4879699,2020-12-14
2020-12-21,205.45428466796875,228.75,239.5,205.5500030517578,239.0,5184048,2020-12-21
2020-12-28,202.53526306152344,225.5,233.60000610351562,221.10000610351562,229.89999389648438,3253989,2020-12-28
2021-01-04,200.15513610839844,222.85000610351562,233.0,220.89999389648438,226.39999389648438,4729943,2021-01-04
2021-01-11,192.8351287841797,214.6999969482422,228.39999389648438,213.6999969482422,225.0,4637454,2021-01-11
2021-01-18,191.5776824951172,213.3000030517578,220.9499969482422,208.35000610351562,214.60000610351562,4744283,2021-01-18
2021-01-25,189.332275390625,210.8000030517578,216.8000030517578,202.3000030517578,214.1999969482422,3161036,2021-01-25
2021-02-01,204.9153594970703,228.14999389648438,239.89999389648438,209.25,211.4499969482422,9553471,2021-02-01
2021-02-08,202.49034118652344,225.4499969482422,231.8000030517578,222.0,230.0,4250380,2021-02-08
2021-02-15,208.6876678466797,232.35000610351562,238.60000610351562,224.3000030517578,226.25,6181960,2021-02-15
2021-02-22,261.9486083984375,291.6499938964844,299.0,235.1999969482422,241.0,20419957,2021-02-22
2021-03-01,276.1395568847656,307.45001220703125,339.70001220703125,297.3500061035156,300.0,17402194,2021-03-01
2021-03-08,276.6784362792969,308.04998779296875,325.0,304.6000061035156,309.95001220703125,4366033,2021-03-08
2021-03-15,273.8043212890625,304.8500061035156,320.8999938964844,287.20001220703125,309.1000061035156,5053460,2021-03-15
2021-03-22,257.5027160644531,286.70001220703125,314.29998779296875,278.70001220703125,306.70001220703125,5205523,2021-03-22
2021-03-29,280.1813049316406,311.95001220703125,313.75,284.0,286.70001220703125,2866049,2021-03-29
2021-04-05,285.7049560546875,318.1000061035156,333.75,296.1499938964844,311.0,6036346,2021-04-05
2021-04-12,285.6600341796875,318.04998779296875,329.5,294.25,308.20001220703125,3412125,2021-04-12
2021-04-19,277.0826110839844,308.5,318.5,303.6499938964844,318.1000061035156,2824273,2021-04-19
2021-04-26,324.9994812011719,361.8500061035156,373.6499938964844,307.45001220703125,312.29998779296875,16806147,2021-04-26
2021-05-03,330.343505859375,367.79998779296875,384.45001220703125,352.3999938964844,361.0,6574113,2021-05-03
2021-05-10,349.33966064453125,388.95001220703125,422.3999938964844,367.0,370.8500061035156,11660087,2021-05-10
2021-05-17,346.6451721191406,385.95001220703125,421.0,382.1000061035156,391.0,7375444,2021-05-17
2021-05-24,341.07659912109375,379.75,395.70001220703125,365.0,387.45001220703125,5292234,2021-05-24
2021-05-31,345.9266357421875,385.1499938964844,390.8999938964844,365.04998779296875,377.95001220703125,2545623,2021-05-31
2021-06-07,332.7685546875,370.5,391.8500061035156,369.0,385.0,3271730,2021-06-07
