Date,Adj Close_FOSECOIND.NS,Close_FOSECOIND.NS,High_FOSECOIND.NS,Low_FOSECOIND.NS,Open_FOSECOIND.NS,Volume_FOSECOIND.NS,Date
2020-07-13,1012.2921142578125,1054.8499755859375,1108.4000244140625,1052.0,1090.800048828125,3222,2020-07-13
2020-07-20,1012.34033203125,1054.9000244140625,1100.0,1047.0,1060.1500244140625,7873,2020-07-20
2020-07-27,1001.6399536132812,1043.75,1081.949951171875,1025.0,1060.199951171875,4565,2020-07-27
2020-08-03,1004.2310180664062,1046.449951171875,1064.25,1017.0499877929688,1030.0,2605,2020-08-03
2020-08-10,1119.005859375,1166.050048828125,1218.9000244140625,1031.0,1051.699951171875,17844,2020-08-10
2020-08-17,1361.2708740234375,1418.5,1500.0,1152.0,1152.0,97899,2020-08-17
2020-08-24,1259.6434326171875,1312.5999755859375,1486.0,1303.9000244140625,1407.550048828125,30465,2020-08-24
2020-08-31,1189.060791015625,1239.050048828125,1334.0,1206.0,1334.0,9138,2020-08-31
2020-09-07,1179.991943359375,1229.5999755859375,1278.0,1201.0,1250.0,4922,2020-09-07
2020-09-14,1233.0609130859375,1284.9000244140625,1371.0,1241.0,1254.949951171875,14710,2020-09-14
2020-09-21,1161.1346435546875,1209.949951171875,1308.75,1180.0,1270.050048828125,4701,2020-09-21
2020-09-28,1179.8480224609375,1229.449951171875,1261.949951171875,1209.949951171875,1209.949951171875,1748,2020-09-28
2020-10-05,1167.37255859375,1216.449951171875,1252.0,1201.0999755859375,1241.050048828125,2468,2020-10-05
2020-10-12,1138.82275390625,1186.699951171875,1238.4000244140625,1179.0,1220.050048828125,3246,2020-10-12
2020-10-19,1140.7420654296875,1188.699951171875,1248.0,1175.0,1175.1500244140625,4140,2020-10-19
2020-10-26,1115.9830322265625,1162.9000244140625,1205.0,1160.0,1190.0,2902,2020-10-26
2020-11-02,1101.96240234375,1143.449951171875,1185.0,1137.699951171875,1183.5,3734,2020-11-02
2020-11-09,1109.9132080078125,1151.699951171875,1179.0,1100.0,1178.949951171875,4881,2020-11-09
2020-11-16,1118.8758544921875,1161.0,1184.0,1125.0,1134.5,5180,2020-11-16
2020-11-23,1125.1400146484375,1167.5,1195.0,1145.0999755859375,1182.949951171875,7320,2020-11-23
2020-11-30,1171.109130859375,1215.199951171875,1259.6500244140625,1152.1500244140625,1167.5,18385,2020-11-30
2020-12-07,1179.6380615234375,1224.050048828125,1252.9000244140625,1186.0,1229.0,11269,2020-12-07
2020-12-14,1206.23681640625,1251.6500244140625,1319.949951171875,1222.0999755859375,1229.0,12838,2020-12-14
2020-12-21,1243.9180908203125,1290.75,1420.0,1215.199951171875,1315.0,30036,2020-12-21
2020-12-28,1269.5048828125,1317.300048828125,1335.0,1289.949951171875,1297.25,8585,2020-12-28
2021-01-04,1305.06591796875,1354.199951171875,1382.0,1300.0,1335.0,13029,2021-01-04
2021-01-11,1270.323974609375,1318.1500244140625,1365.550048828125,1306.8499755859375,1360.75,8264,2021-01-11
2021-01-18,1247.4356689453125,1294.4000244140625,1384.800048828125,1294.0,1331.0,10594,2021-01-18
2021-01-25,1200.55078125,1245.75,1313.0,1233.0,1300.8499755859375,4109,2021-01-25
2021-02-01,1246.134765625,1293.050048828125,1325.0,1245.0,1245.050048828125,10253,2021-02-01
2021-02-08,1226.619384765625,1272.800048828125,1328.800048828125,1249.949951171875,1283.050048828125,12521,2021-02-08
2021-02-15,1198.1416015625,1243.25,1298.0,1240.0999755859375,1279.199951171875,7812,2021-02-15
2021-02-22,1175.927734375,1220.199951171875,1355.0,1181.25,1249.5,8283,2021-02-22
2021-03-01,1188.1671142578125,1232.9000244140625,1260.0,1209.0,1219.949951171875,5282,2021-03-01
2021-03-08,1177.7587890625,1222.0999755859375,1269.0,1210.199951171875,1239.050048828125,3683,2021-03-08
2021-03-15,1155.6414794921875,1199.1500244140625,1230.0,1171.0,1228.199951171875,5397,2021-03-15
2021-03-22,1111.0216064453125,1152.8499755859375,1200.0,1134.0,1183.050048828125,6714,2021-03-22
2021-03-29,1152.364990234375,1195.75,1205.0,1132.050048828125,1152.8499755859375,4591,2021-03-29
