Date,Adj Close_INDIGOPNTS.NS,Close_INDIGOPNTS.NS,High_INDIGOPNTS.NS,Low_INDIGOPNTS.NS,Open_INDIGOPNTS.NS,Volume_INDIGOPNTS.NS,Date
2021-02-01,2613.267822265625,2630.050048828125,3329.949951171875,2436.050048828125,2607.5,16670410,2021-02-01
2021-02-08,2594.091064453125,2610.75,2824.89990234375,2551.0,2590.0,1314903,2021-02-08
2021-02-15,2556.1845703125,2572.60009765625,2724.0,2545.949951171875,2600.0,605440,2021-02-15
2021-02-22,2506.106201171875,2522.199951171875,2612.949951171875,2475.0,2597.949951171875,287265,2021-02-22
2021-03-01,2509.38525390625,2525.5,2717.699951171875,2490.0,2544.0,810498,2021-03-01
2021-03-08,2484.991943359375,2500.949951171875,2629.0,2475.85009765625,2547.39990234375,326261,2021-03-08
2021-03-15,2270.866943359375,2285.449951171875,2543.39990234375,2220.25,2543.39990234375,369113,2021-03-15
2021-03-22,2283.48583984375,2298.14990234375,2473.35009765625,2265.300048828125,2290.0,448209,2021-03-22
2021-03-29,2369.036376953125,2384.25,2449.0,2295.64990234375,2298.14990234375,150528,2021-03-29
2021-04-05,2329.5400390625,2344.5,2444.85009765625,2311.85009765625,2398.800048828125,183273,2021-04-05
2021-04-12,2303.060302734375,2317.85009765625,2339.75,2266.550048828125,2320.0,101760,2021-04-12
2021-04-19,2300.327880859375,2315.10009765625,2367.800048828125,2250.050048828125,2250.050048828125,126108,2021-04-19
2021-04-26,2300.72509765625,2315.5,2384.14990234375,2302.10009765625,2302.10009765625,256627,2021-04-26
2021-05-03,2305.494384765625,2320.300048828125,2350.0,2286.800048828125,2340.0,245550,2021-05-03
2021-05-10,2470.435302734375,2486.300048828125,2639.0,2290.0,2339.0,435046,2021-05-10
2021-05-17,2512.514892578125,2528.64990234375,2542.0,2330.0,2399.89990234375,636890,2021-05-17
2021-05-24,2489.71142578125,2505.699951171875,2589.0,2500.0,2528.0,459259,2021-05-24
2021-05-31,2468.150146484375,2484.0,2618.89990234375,2468.0,2500.0,397880,2021-05-31
2021-06-07,2616.994140625,2633.800048828125,2665.0,2481.10009765625,2484.0,425517,2021-06-07
2021-06-14,2566.12109375,2582.60009765625,2740.0,2500.0,2608.10009765625,375076,2021-06-14
2021-06-21,2502.4296875,2518.5,2608.75,2511.10009765625,2530.25,138502,2021-06-21
2021-06-28,2507.49755859375,2523.60009765625,2594.0,2486.0,2526.0,110460,2021-06-28
2021-07-05,2502.876953125,2518.949951171875,2575.0,2508.0,2530.5,93876,2021-07-05
2021-07-12,2593.644287109375,2610.300048828125,2655.0,2482.39990234375,2529.0,177672,2021-07-12
2021-07-19,2583.012451171875,2599.60009765625,2709.0,2553.39990234375,2595.800048828125,246112,2021-07-19
2021-07-26,2588.477294921875,2605.10009765625,2629.39990234375,2550.5,2599.0,118991,2021-07-26
2021-08-02,2607.65380859375,2624.39990234375,2649.0,2572.5,2610.0,89770,2021-08-02
2021-08-09,2406.694580078125,2422.14990234375,2618.0,2370.60009765625,2610.0,211605,2021-08-09
2021-08-16,2417.475341796875,2433.0,2445.0,2374.949951171875,2422.14990234375,167613,2021-08-16
2021-08-23,2574.06982421875,2590.60009765625,2620.0,2443.300048828125,2478.0,229838,2021-08-23
2021-08-30,2609.29345703125,2626.050048828125,2650.0,2536.0,2590.60009765625,143418,2021-08-30
2021-09-06,2573.62255859375,2590.14990234375,2674.449951171875,2566.550048828125,2636.0,129822,2021-09-06
2021-09-13,2588.725830078125,2605.35009765625,2619.0,2555.0,2582.0,166557,2021-09-13
2021-09-20,2571.33740234375,2587.85009765625,2695.0,2535.0,2605.0,258147,2021-09-20
2021-09-27,2510.179931640625,2526.300048828125,2608.949951171875,2500.050048828125,2600.0,116478,2021-09-27
2021-10-04,2517.13525390625,2533.300048828125,2589.89990234375,2490.0,2546.0,90357,2021-10-04
2021-10-11,2491.996826171875,2508.0,2568.0,2502.0,2533.300048828125,77168,2021-10-11
2021-10-18,2405.353271484375,2420.800048828125,2515.0,2330.10009765625,2515.0,122641,2021-10-18
2021-10-25,2375.097412109375,2390.35009765625,2484.0,2302.5,2420.85009765625,122178,2021-10-25
2021-11-01,2302.01708984375,2316.800048828125,2418.699951171875,2309.0,2390.35009765625,84476,2021-11-01
2021-11-08,2284.0322265625,2298.699951171875,2395.0,2295.0,2349.199951171875,145048,2021-11-08
2021-11-15,2286.01953125,2300.699951171875,2346.64990234375,2255.0,2303.0,97394,2021-11-15
2021-11-22,2219.8447265625,2234.10009765625,2335.0,2222.199951171875,2287.0,79386,2021-11-22
2021-11-29,2194.6064453125,2208.699951171875,2288.0,2129.300048828125,2200.0,85646,2021-11-29
2021-12-06,2058.530517578125,2071.75,2209.60009765625,2050.0,2202.39990234375,116783,2021-12-06
2021-12-13,2023.8035888671875,2036.800048828125,2090.449951171875,2013.550048828125,2071.800048828125,96017,2021-12-13
2021-12-20,1901.9361572265625,1914.1500244140625,2027.0,1905.050048828125,2026.800048828125,130743,2021-12-20
2021-12-27,2117.154052734375,2130.75,2250.0,1900.0,1900.0,554218,2021-12-27
2022-01-03,2049.38916015625,2062.550048828125,2143.449951171875,2013.5999755859375,2115.0,321911,2022-01-03
2022-01-10,2058.878173828125,2072.10009765625,2108.0,2047.0999755859375,2070.0,110482,2022-01-10
2022-01-17,2001.2979736328125,2014.1500244140625,2099.949951171875,1990.550048828125,2083.800048828125,119987,2022-01-17
2022-01-24,1946.84765625,1959.3499755859375,2010.0,1902.0999755859375,2010.0,310953,2022-01-24
2022-01-31,1964.9315185546875,1977.550048828125,2049.0,1950.050048828125,1961.0,60162,2022-01-31
2022-02-07,1921.311767578125,1933.6500244140625,1999.0,1905.5,1972.4000244140625,64321,2022-02-07
2022-02-14,1748.9683837890625,1760.199951171875,1949.0,1750.0,1930.0,246773,2022-02-14
2022-02-21,1736.3494873046875,1747.5,1840.0,1700.0,1757.449951171875,530944,2022-02-21
2022-02-28,1637.5836181640625,1648.0999755859375,1839.0,1640.0,1740.0,326660,2022-02-28
2022-03-07,1630.2308349609375,1640.699951171875,1713.6500244140625,1438.1500244140625,1610.0,788966,2022-03-07
2022-03-14,1626.2564697265625,1636.699951171875,1708.199951171875,1608.0,1621.050048828125,191415,2022-03-14
2022-03-21,1521.62841796875,1531.4000244140625,1636.699951171875,1520.0999755859375,1636.699951171875,148186,2022-03-21
2022-03-28,1606.4835205078125,1616.800048828125,1656.0,1501.1500244140625,1542.0,299082,2022-03-28
2022-04-04,1662.9708251953125,1673.6500244140625,1685.0,1600.75,1627.0,184745,2022-04-04
2022-04-11,1611.4515380859375,1621.800048828125,1740.0,1615.0,1685.0,572889,2022-04-11
2022-04-18,1546.9656982421875,1556.9000244140625,1651.0,1550.0,1622.0,162584,2022-04-18
2022-04-25,1546.0714111328125,1556.0,1598.0,1525.5,1550.0,89792,2022-04-25
2022-05-02,1481.4364013671875,1490.949951171875,1566.800048828125,1483.699951171875,1550.0,72979,2022-05-02
2022-05-09,1434.636962890625,1443.8499755859375,1507.75,1375.050048828125,1476.0,158147,2022-05-09
2022-05-16,1609.7127685546875,1620.050048828125,1648.0,1440.0,1455.0,327952,2022-05-16
2022-05-23,1567.3843994140625,1577.449951171875,1746.0,1353.5999755859375,1671.0999755859375,269840,2022-05-23
2022-05-30,1561.4725341796875,1571.5,1699.0,1500.0,1593.1500244140625,168170,2022-05-30
2022-06-06,1540.01025390625,1549.9000244140625,1586.1500244140625,1503.0,1571.0,237144,2022-06-06
2022-06-13,1421.2728271484375,1430.4000244140625,1544.0,1387.699951171875,1520.5,48640,2022-06-13
2022-06-20,1417.24853515625,1426.3499755859375,1482.0,1380.0,1418.0999755859375,61718,2022-06-20
2022-06-27,1375.31787109375,1384.1500244140625,1460.0,1372.699951171875,1430.3499755859375,72099,2022-06-27
2022-07-04,1425.446044921875,1434.5999755859375,1490.5999755859375,1390.0,1399.800048828125,92994,2022-07-04
2022-07-11,1400.108642578125,1409.0999755859375,1443.5,1395.0,1424.5999755859375,58202,2022-07-11
2022-07-18,1384.4095458984375,1393.300048828125,1428.0,1381.050048828125,1420.0,75110,2022-07-18
2022-07-25,1382.8197021484375,1391.699951171875,1410.0,1364.550048828125,1405.0,83001,2022-07-25
