Date,Adj Close_GUJTHEM.NS,Close_GUJTHEM.NS,High_GUJTHEM.NS,Low_GUJTHEM.NS,Open_GUJTHEM.NS,Volume_GUJTHEM.NS,Date
2025-02-24,218.91000366210938,218.91000366210938,269.8500061035156,212.92999267578125,269.8500061035156,221494,2025-02-24
2025-03-03,255.4600067138672,255.4600067138672,281.69000244140625,208.0,228.72999572753906,926520,2025-03-03
2025-03-10,248.13999938964844,248.13999938964844,263.0,233.41000366210938,259.29998779296875,420807,2025-03-10
2025-03-17,254.33999633789062,254.33999633789062,273.3999938964844,242.1199951171875,242.1199951171875,685689,2025-03-17
2025-03-24,281.9100036621094,281.9100036621094,300.6199951171875,256.4100036621094,258.3999938964844,1962770,2025-03-24
2025-03-31,262.45001220703125,262.45001220703125,289.8999938964844,260.5,277.70001220703125,602854,2025-03-31
2025-04-07,264.6000061035156,264.6000061035156,272.0,222.0500030517578,235.5,444166,2025-04-07
2025-04-14,315.95001220703125,315.95001220703125,330.45001220703125,271.0,271.04998779296875,1873153,2025-04-14
2025-04-21,283.20001220703125,283.20001220703125,322.0,280.0,310.0,557414,2025-04-21
2025-04-28,274.8500061035156,274.8500061035156,291.8999938964844,267.75,283.70001220703125,307037,2025-04-28
2025-05-05,269.3500061035156,269.3500061035156,282.0,251.0,278.70001220703125,376516,2025-05-05
2025-05-12,340.79998779296875,340.79998779296875,345.75,274.79998779296875,280.0,1602035,2025-05-12
2025-05-19,302.6000061035156,302.6000061035156,343.3999938964844,292.1000061035156,338.79998779296875,796773,2025-05-19
2025-05-26,307.0,307.0,318.0,297.0,305.0,1442670,2025-05-26
2025-06-02,322.54998779296875,322.54998779296875,337.95001220703125,304.8999938964844,310.0,800011,2025-06-02
2025-06-09,334.6000061035156,334.6000061035156,354.5,321.95001220703125,325.1499938964844,1822000,2025-06-09
2025-06-16,321.0,321.0,352.0,313.3500061035156,330.0,588409,2025-06-16
2025-06-23,349.6000061035156,349.6000061035156,357.3500061035156,312.54998779296875,316.20001220703125,1907088,2025-06-23
2025-06-30,350.25,350.25,363.29998779296875,340.0,360.0,817740,2025-06-30
2025-07-07,344.8999938964844,344.8999938964844,362.6000061035156,340.0,353.3999938964844,889433,2025-07-07
2025-07-14,361.0,361.0,369.8999938964844,340.0,346.6499938964844,611910,2025-07-14
