Date,Adj Close_PRAJIND.NS,Close_PRAJIND.NS,High_PRAJIND.NS,Low_PRAJIND.NS,Open_PRAJIND.NS,Volume_PRAJIND.NS,Date
2020-07-13,63.25528335571289,64.8499984741211,67.44999694824219,64.0999984741211,65.30000305175781,4522855,2020-07-13
2020-07-20,62.5724983215332,64.1500015258789,67.5,63.75,65.25,5854478,2020-07-20
2020-07-27,58.378238677978516,59.849998474121094,64.4000015258789,59.29999923706055,64.4000015258789,4068586,2020-07-27
2020-08-03,57.93930435180664,59.400001525878906,61.95000076293945,58.54999923706055,59.849998474121094,5230439,2020-08-03
2020-08-10,65.15733337402344,66.80000305175781,70.0,59.599998474121094,60.0,20050137,2020-08-10
2020-08-17,72.1802749633789,74.0,75.80000305175781,67.55000305175781,68.19999694824219,15230634,2020-08-17
2020-08-24,73.0093765258789,74.8499984741211,77.75,73.5999984741211,75.25,9416948,2020-08-24
2020-08-31,66.96184539794922,68.6500015258789,75.0999984741211,66.5,74.30000305175781,4887544,2020-08-31
2020-09-07,64.71839904785156,66.3499984741211,69.25,63.5,69.25,4139414,2020-09-07
2020-09-14,71.98519897460938,73.80000305175781,77.9000015258789,67.0999984741211,67.69999694824219,12007662,2020-09-14
2020-09-21,66.71798706054688,68.4000015258789,73.80000305175781,64.5999984741211,73.75,4026184,2020-09-21
2020-09-28,69.15650939941406,70.9000015258789,75.0,68.05000305175781,69.19999694824219,3855463,2020-09-28
2020-10-05,73.15568542480469,75.0,80.30000305175781,71.05000305175781,71.05000305175781,9830876,2020-10-05
2020-10-12,72.1802749633789,74.0,77.44999694824219,71.0999984741211,75.25,3616724,2020-10-12
2020-10-19,74.42372131347656,76.30000305175781,79.5999984741211,74.0,74.0,5118949,2020-10-19
2020-10-26,74.91143035888672,76.80000305175781,81.4000015258789,73.30000305175781,76.0999984741211,7079100,2020-10-26
2020-11-02,73.302001953125,75.1500015258789,77.6500015258789,72.55000305175781,76.94999694824219,2353789,2020-11-02
2020-11-09,73.88724517822266,75.75,77.44999694824219,73.5,77.30000305175781,1957783,2020-11-09
2020-11-16,79.25199890136719,81.25,82.4000015258789,74.25,74.25,6033996,2020-11-16
2020-11-23,84.66551971435547,86.80000305175781,89.30000305175781,82.3499984741211,83.25,13356594,2020-11-23
2020-11-30,96.56550598144531,99.0,99.30000305175781,86.80000305175781,86.80000305175781,11991623,2020-11-30
