Date,Adj Close_HITECHCORP.NS,Close_HITECHCORP.NS,High_HITECHCORP.NS,Low_HITECHCORP.NS,Open_HITECHCORP.NS,Volume_HITECHCORP.NS,Date
2020-07-13,73.73046112060547,75.0,82.9000015258789,74.0,76.5,31455,2020-07-13
2020-07-20,74.02537536621094,75.30000305175781,81.0,72.69999694824219,77.94999694824219,21538,2020-07-20
2020-07-27,72.01007843017578,73.25,77.44999694824219,71.55000305175781,75.30000305175781,16432,2020-07-27
2020-08-03,73.3863754272461,74.6500015258789,77.9000015258789,66.19999694824219,75.05000305175781,37540,2020-08-03
2020-08-10,82.23403930664062,83.6500015258789,87.80000305175781,73.44999694824219,74.6500015258789,41166,2020-08-10
2020-08-17,113.2008285522461,115.1500015258789,126.5,81.5,83.30000305175781,504000,2020-08-17
2020-08-24,99.88019561767578,101.5999984741211,118.94999694824219,93.55000305175781,118.94999694824219,94238,2020-08-24
2020-08-31,94.42414093017578,96.05000305175781,103.94999694824219,90.75,97.0999984741211,11895,2020-08-31
2020-09-07,89.4596176147461,91.0,95.0,84.19999694824219,94.4000015258789,9759,2020-09-07
2020-09-14,94.27667999267578,95.9000015258789,100.5,86.5,86.5,16218,2020-09-14
2020-09-21,87.49347686767578,89.0,96.94999694824219,83.5,96.94999694824219,6930,2020-09-21
2020-09-28,83.11880493164062,84.55000305175781,89.0,79.0,87.0,11535,2020-09-28
2020-10-05,82.08657836914062,83.5,86.0999984741211,80.0,84.0,10717,2020-10-05
2020-10-12,81.49673461914062,82.9000015258789,85.80000305175781,79.55000305175781,82.6500015258789,2920,2020-10-12
2020-10-19,82.57810974121094,84.0,86.94999694824219,80.55000305175781,83.44999694824219,5685,2020-10-19
2020-10-26,78.44921112060547,79.80000305175781,87.80000305175781,79.80000305175781,83.5,23020,2020-10-26
2020-11-02,78.25259399414062,79.5999984741211,82.0,76.0,80.0,8477,2020-11-02
2020-11-09,96.09536743164062,97.75,97.75,79.94999694824219,81.0,28767,2020-11-09
2020-11-16,105.77863311767578,107.5999984741211,118.69999694824219,93.0999984741211,93.0999984741211,62006,2020-11-16
2020-11-23,111.28382873535156,113.19999694824219,119.30000305175781,106.94999694824219,109.75,51538,2020-11-23
2020-11-30,120.4264144897461,122.5,122.5,111.0,113.19999694824219,44961,2020-11-30
2020-12-07,116.10089874267578,118.0999984741211,131.6999969482422,112.80000305175781,124.0,81596,2020-12-07
2020-12-14,110.74315643310547,112.6500015258789,124.0,110.05000305175781,116.5999984741211,38142,2020-12-14
2020-12-21,105.43455505371094,107.25,114.5999984741211,103.05000305175781,110.5,24986,2020-12-21
2020-12-28,115.46189880371094,117.44999694824219,118.8499984741211,106.44999694824219,106.44999694824219,30743,2020-12-28
2021-01-04,115.1178207397461,117.0999984741211,123.05000305175781,113.25,119.94999694824219,41617,2021-01-04
2021-01-11,114.92121124267578,116.9000015258789,118.8499984741211,108.30000305175781,114.0,21075,2021-01-11
2021-01-18,116.39582061767578,118.4000015258789,126.5999984741211,112.1500015258789,116.75,55727,2021-01-18
2021-01-25,112.85675811767578,114.80000305175781,122.44999694824219,105.55000305175781,116.69999694824219,25131,2021-01-25
2021-02-01,112.46353149414062,114.4000015258789,118.9000015258789,110.69999694824219,114.6500015258789,10545,2021-02-01
2021-02-08,135.8114776611328,138.14999389648438,144.9499969482422,115.94999694824219,115.94999694824219,143457,2021-02-08
2021-02-15,135.90980529785156,138.25,144.0,126.5,140.0,49738,2021-02-15
2021-02-22,138.31832885742188,140.6999969482422,145.0,128.0,138.3000030517578,52737,2021-02-22
2021-03-01,140.53025817871094,142.9499969482422,151.75,132.10000610351562,141.5,38797,2021-03-01
2021-03-08,129.56898498535156,131.8000030517578,147.6999969482422,130.4499969482422,147.6999969482422,33036,2021-03-08
2021-03-15,116.73989868164062,118.75,136.9499969482422,113.1500015258789,130.5500030517578,28692,2021-03-15
2021-03-22,121.9010238647461,124.0,129.8000030517578,116.0,117.3499984741211,26380,2021-03-22
2021-03-29,120.67218780517578,122.75,132.0,118.8499984741211,124.0,8979,2021-03-29
2021-04-05,138.02340698242188,140.39999389648438,144.9499969482422,116.5999984741211,126.9000015258789,105248,2021-04-05
2021-04-12,137.6301727294922,140.0,144.0,127.44999694824219,139.8000030517578,44403,2021-04-12
2021-04-19,132.96058654785156,135.25,148.75,131.0,137.0,56922,2021-04-19
