Date,Adj Close_BOSCHLTD.NS,Close_BOSCHLTD.NS,High_BOSCHLTD.NS,Low_BOSCHLTD.NS,Open_BOSCHLTD.NS,Volume_BOSCHLTD.NS,Date
2021-08-30,13688.197265625,14310.400390625,14344.0,13650.650390625,13689.9501953125,132728,2021-08-30
2021-09-06,13705.65625,14328.650390625,14471.099609375,14119.5498046875,14400.0,85154,2021-09-06
2021-09-13,14420.509765625,15076.0,15599.0,14255.7998046875,14417.9501953125,379065,2021-09-13
2021-09-20,14592.0146484375,15255.2998046875,15474.25,14859.0,15060.25,221796,2021-09-20
2021-09-27,14775.9052734375,15447.5498046875,16229.0,15218.0,15350.0,277530,2021-09-27
2021-10-04,16927.408203125,17696.849609375,17839.349609375,15355.4501953125,15565.0,993447,2021-10-04
2021-10-11,17087.146484375,17863.849609375,18570.0,17714.19921875,17765.0,255360,2021-10-11
2021-10-18,16195.095703125,16931.25,18112.44921875,16827.69921875,17999.75,146882,2021-10-18
2021-10-25,16215.23046875,16952.30078125,17145.349609375,16500.0,17000.0,113421,2021-10-25
2021-11-01,17006.798828125,17779.849609375,17903.349609375,17019.349609375,17037.05078125,141599,2021-11-01
2021-11-08,17758.529296875,18565.75,19250.0,17721.099609375,17787.0,629973,2021-11-08
2021-11-15,17006.609375,17779.650390625,18955.0,17609.75,18565.75,336382,2021-11-15
2021-11-22,15474.0224609375,16177.400390625,17975.25,16011.099609375,17800.0,288939,2021-11-22
2021-11-29,15782.78515625,16500.19921875,16900.0,15692.0498046875,16101.0,215968,2021-11-29
2021-12-06,16070.365234375,16800.849609375,16960.94921875,16070.0498046875,16495.0,124843,2021-12-06
2021-12-13,15401.1357421875,16101.2001953125,16979.0,16035.25,16884.849609375,133467,2021-12-13
2021-12-20,15767.197265625,16483.900390625,16900.0,15200.0,16055.0,187117,2021-12-20
2021-12-27,16567.18359375,17320.25,17420.0,16122.5,16481.0,208150,2021-12-27
2022-01-03,16338.3837890625,17081.05078125,17573.94921875,17000.0,17320.25,161312,2022-01-03
2022-01-10,16725.7265625,17486.0,17746.900390625,17100.0,17150.0,119249,2022-01-10
2022-01-17,15754.6181640625,16470.75,17929.94921875,16330.0498046875,17630.0,153934,2022-01-17
2022-01-24,15587.322265625,16295.849609375,16650.0,15773.349609375,16470.75,113462,2022-01-24
2022-01-31,15717.8408203125,16432.30078125,17027.900390625,16400.0,16480.0,75326,2022-01-31
2022-02-07,15553.26953125,16260.25,16724.94921875,15960.0,16415.599609375,155277,2022-02-07
2022-02-14,15166.5966796875,15856.0,16280.0,15532.0498046875,15999.0,133688,2022-02-14
2022-02-21,14915.318359375,15593.2998046875,16213.099609375,14975.0,15850.0,146975,2022-02-21
