Date,Adj Close_AMBUJACEM.NS,Close_AMBUJACEM.NS,High_AMBUJACEM.NS,Low_AMBUJACEM.NS,Open_AMBUJACEM.NS,Volume_AMBUJACEM.NS,Date
2020-07-13,174.42050170898438,193.4499969482422,195.60000610351562,185.6999969482422,192.5,10913159,2020-07-13
2020-07-20,181.1827392578125,200.9499969482422,208.0,194.5,195.0,26939769,2020-07-20
2020-07-27,198.44898986816406,220.10000610351562,225.5,202.0500030517578,205.89999389648438,38334133,2020-07-27
2020-08-03,197.95309448242188,219.5500030517578,226.25,218.5,218.5,22958558,2020-08-03
2020-08-10,199.0350341796875,220.75,229.25,218.85000610351562,221.0,17609003,2020-08-10
2020-08-17,203.72352600097656,225.9499969482422,231.85000610351562,218.10000610351562,221.75,16010237,2020-08-17
2020-08-24,200.5678253173828,222.4499969482422,227.25,219.60000610351562,226.5,12896862,2020-08-24
2020-08-31,187.99005126953125,208.5,224.10000610351562,207.0,222.5,19731236,2020-08-31
2020-09-07,191.55149841308594,212.4499969482422,214.5,204.3000030517578,208.5,13568816,2020-09-07
2020-09-14,198.3588104248047,220.0,223.0,209.8000030517578,214.3000030517578,20486002,2020-09-14
2020-09-21,185.28515625,205.5,220.25,197.4499969482422,220.0,17589326,2020-09-21
2020-09-28,199.4407958984375,221.1999969482422,221.9499969482422,205.5500030517578,206.60000610351562,13880652,2020-09-28
2020-10-05,215.8053741455078,239.35000610351562,240.5500030517578,219.4499969482422,221.1999969482422,39848947,2020-10-05
2020-10-12,223.60447692871094,248.0,250.0,233.1999969482422,238.0,53599893,2020-10-12
2020-10-19,223.06350708007812,247.39999389648438,256.0,243.39999389648438,249.1999969482422,67546854,2020-10-19
2020-10-26,234.15357971191406,259.70001220703125,265.79998779296875,242.4499969482422,248.6999969482422,49093047,2020-10-26
2020-11-02,223.60447692871094,248.0,265.29998779296875,246.64999389648438,260.0,36086545,2020-11-02
2020-11-09,249.56883239746094,259.0,264.3500061035156,247.10000610351562,249.4499969482422,40326996,2020-11-09
2020-11-16,247.73802185058594,257.1000061035156,272.0,253.75,257.70001220703125,34276788,2020-11-16
2020-11-23,251.544189453125,261.04998779296875,263.20001220703125,253.5500030517578,259.0,32996720,2020-11-23
2020-11-30,243.35369873046875,252.5500030517578,269.54998779296875,249.89999389648438,261.04998779296875,27827863,2020-11-30
2020-12-07,236.8494873046875,245.8000030517578,259.6000061035156,243.75,256.25,51477082,2020-12-07
2020-12-14,241.90834045410156,251.0500030517578,252.1999969482422,243.10000610351562,247.0,35380873,2020-12-14
2020-12-21,237.7167205810547,246.6999969482422,260.8999938964844,225.9499969482422,250.89999389648438,55499408,2020-12-21
2020-12-28,241.71560668945312,250.85000610351562,253.0,241.6999969482422,247.0,32988091,2020-12-28
2021-01-04,260.1201171875,269.95001220703125,271.3999938964844,250.0,252.89999389648438,38717905,2021-01-04
2021-01-11,254.48313903808594,264.1000061035156,274.6000061035156,259.6000061035156,268.79998779296875,28215299,2021-01-11
2021-01-18,248.31619262695312,257.70001220703125,265.3500061035156,248.0,264.1000061035156,30543877,2021-01-18
2021-01-25,234.48870849609375,243.35000610351562,264.25,241.75,261.3999938964844,37581424,2021-01-25
2021-02-01,261.42095947265625,271.29998779296875,279.6000061035156,242.10000610351562,246.39999389648438,42027200,2021-02-01
2021-02-08,267.34698486328125,277.45001220703125,284.8999938964844,269.8500061035156,272.5,31860436,2021-02-08
2021-02-15,265.2752685546875,275.29998779296875,290.5,273.04998779296875,281.0,48611474,2021-02-15
2021-02-22,263.5408630371094,273.5,288.5,263.1499938964844,275.5,48397107,2021-02-22
2021-03-01,274.42938232421875,284.79998779296875,298.29998779296875,273.5,275.54998779296875,39017303,2021-03-01
2021-03-08,278.958251953125,289.5,293.8999938964844,284.20001220703125,287.0,20135168,2021-03-08
