Date,Adj Close_TVSMOTOR.NS,Close_TVSMOTOR.NS,High_TVSMOTOR.NS,Low_TVSMOTOR.NS,Open_TVSMOTOR.NS,Volume_TVSMOTOR.NS,Date
2020-07-13,380.3595886230469,389.95001220703125,400.5,382.25,384.79998779296875,7111776,2020-07-13
2020-07-20,388.35791015625,398.1499938964844,410.95001220703125,387.25,388.3999938964844,11958049,2020-07-20
2020-07-27,377.9698486328125,387.5,414.5,383.70001220703125,398.1499938964844,14575865,2020-07-27
2020-08-03,411.13360595703125,421.5,429.8999938964844,388.04998779296875,392.0,18828162,2020-08-03
2020-08-10,407.8172607421875,418.1000061035156,436.3999938964844,409.04998779296875,425.0,16695793,2020-08-10
2020-08-17,442.15155029296875,453.29998779296875,461.5,415.04998779296875,430.0,12783154,2020-08-17
2020-08-24,438.6888427734375,449.75,477.0,441.75,456.0,27092340,2020-08-24
2020-08-31,423.2286376953125,433.8999938964844,454.8999938964844,423.3999938964844,453.0,14954841,2020-08-31
2020-09-07,433.3241271972656,444.25,446.95001220703125,425.6000061035156,434.8999938964844,11206337,2020-09-07
2020-09-14,446.0531921386719,457.29998779296875,472.0,446.25,448.20001220703125,12550174,2020-09-14
2020-09-21,435.9577331542969,446.95001220703125,459.75,426.0,457.29998779296875,11474473,2020-09-21
2020-09-28,468.0973815917969,479.8999938964844,489.8999938964844,450.95001220703125,452.0,14923715,2020-09-28
2020-10-05,459.9039306640625,471.5,486.0,464.95001220703125,485.0,15015762,2020-10-05
2020-10-12,451.8568420410156,463.25,478.5,454.0,474.5,11395021,2020-10-12
2020-10-19,433.71429443359375,444.6499938964844,467.8999938964844,438.0,466.0,10567135,2020-10-19
2020-10-26,444.2974548339844,455.5,464.54998779296875,421.1499938964844,448.95001220703125,31408384,2020-10-26
2020-11-02,468.0486145019531,479.8500061035156,481.75,447.0,459.5,11766659,2020-11-02
2020-11-09,467.07318115234375,478.8500061035156,490.79998779296875,473.6000061035156,480.5,10151334,2020-11-09
2020-11-16,466.6830749511719,478.45001220703125,490.0,469.29998779296875,477.79998779296875,10186365,2020-11-16
2020-11-23,487.3616027832031,499.6499938964844,504.79998779296875,467.75,478.1000061035156,16379926,2020-11-23
2020-11-30,485.8497619628906,498.1000061035156,508.8999938964844,485.1499938964844,499.6499938964844,12203963,2020-11-30
2020-12-07,472.2916259765625,484.20001220703125,519.5,478.6000061035156,501.0,20838945,2020-12-07
2020-12-14,477.0710754394531,489.1000061035156,500.04998779296875,477.5,489.79998779296875,11044116,2020-12-14
2020-12-21,467.9510498046875,479.75,495.0,445.5,489.0,7757686,2020-12-21
2020-12-28,478.6805114746094,490.75,494.0,479.75,483.70001220703125,7821953,2020-12-28
2021-01-04,500.72467041015625,513.3499755859375,517.0,481.79998779296875,497.5,12061991,2021-01-04
2021-01-11,494.8234558105469,507.29998779296875,533.8499755859375,498.29998779296875,513.9000244140625,15258440,2021-01-11
2021-01-18,509.11322021484375,521.9500122070312,535.0,488.6000061035156,506.79998779296875,18924585,2021-01-18
2021-01-25,546.91015625,560.7000122070312,589.75,519.3499755859375,532.9500122070312,56562602,2021-01-25
2021-02-01,612.84765625,628.2999877929688,658.0,552.8499755859375,560.6500244140625,35520341,2021-02-01
2021-02-08,622.825439453125,636.4500122070312,659.9000244140625,629.0999755859375,629.0999755859375,13038355,2021-02-08
2021-02-15,593.2719116210938,606.25,642.5499877929688,598.7000122070312,641.0,9341703,2021-02-15
2021-02-22,582.0181274414062,594.75,609.7999877929688,580.5,609.7999877929688,10165621,2021-02-22
2021-03-01,605.7001342773438,618.9500122070312,635.7000122070312,595.5999755859375,610.0,13919962,2021-03-01
