Date,Adj Close_ONESOURCE.NS,Close_ONESOURCE.NS,High_ONESOURCE.NS,Low_ONESOURCE.NS,Open_ONESOURCE.NS,Volume_ONESOURCE.NS,Date
2025-01-20,1710.0,1710.0,1800.0,1710.0,1800.0,1533351,2025-01-20
2025-01-27,1502.449951171875,1502.449951171875,1638.0,1466.1500244140625,1624.5,10562080,2025-01-27
2025-02-03,1523.0999755859375,1523.0999755859375,1599.699951171875,1427.3499755859375,1427.550048828125,2438333,2025-02-03
2025-02-10,1442.300048828125,1442.300048828125,1555.8499755859375,1339.9000244140625,1523.0,2379626,2025-02-10
2025-02-17,1274.300048828125,1274.300048828125,1424.800048828125,1255.300048828125,1400.0999755859375,1123694,2025-02-17
2025-02-24,1238.199951171875,1238.199951171875,1450.0,1211.5,1251.0,1482642,2025-02-24
2025-03-03,1419.0,1419.0,1452.050048828125,1209.949951171875,1241.949951171875,873494,2025-03-03
2025-03-10,1507.199951171875,1507.199951171875,1550.0,1399.300048828125,1427.0,915279,2025-03-10
2025-03-17,1648.449951171875,1648.449951171875,1705.949951171875,1450.0,1502.0,807332,2025-03-17
2025-03-24,1752.25,1752.25,1763.550048828125,1620.199951171875,1678.0999755859375,783535,2025-03-24
2025-03-31,1498.4000244140625,1498.4000244140625,1763.699951171875,1452.800048828125,1752.25,593418,2025-03-31
2025-04-07,1502.199951171875,1502.199951171875,1624.699951171875,1319.5,1379.949951171875,1083119,2025-04-07
2025-04-14,1564.5999755859375,1564.5999755859375,1600.0,1490.0,1490.0,245858,2025-04-14
2025-04-21,1557.9000244140625,1557.9000244140625,1664.0,1494.0,1584.9000244140625,653698,2025-04-21
2025-04-28,1603.199951171875,1603.199951171875,1677.199951171875,1530.199951171875,1539.0,678955,2025-04-28
2025-05-05,1589.300048828125,1589.300048828125,1750.0,1552.5999755859375,1602.0,861428,2025-05-05
2025-05-12,1596.5,1596.5,1659.0,1561.0,1621.0999755859375,671981,2025-05-12
2025-05-19,1686.699951171875,1686.699951171875,1699.0,1591.0999755859375,1607.800048828125,869051,2025-05-19
2025-05-26,1922.0,1922.0,1959.0,1683.0,1702.0,2306037,2025-05-26
2025-06-02,1934.4000244140625,1934.4000244140625,2002.5,1829.9000244140625,1893.199951171875,1109919,2025-06-02
2025-06-09,2025.300048828125,2025.300048828125,2115.0,1906.0999755859375,1921.0,1057309,2025-06-09
2025-06-16,2029.699951171875,2029.699951171875,2248.0,1991.0999755859375,2025.300048828125,3348212,2025-06-16
2025-06-23,2194.0,2194.0,2201.199951171875,1852.199951171875,1985.0,1581136,2025-06-23
2025-06-30,2021.5,2021.5,2231.89990234375,1956.0,2198.39990234375,1163448,2025-06-30
2025-07-07,1979.4000244140625,1979.4000244140625,2065.60009765625,1972.4000244140625,2004.0999755859375,900838,2025-07-07
2025-07-14,1994.300048828125,1994.300048828125,2047.0,1968.0999755859375,1979.0999755859375,246152,2025-07-14
