Date,Adj Close_AWL.NS,Close_AWL.NS,High_AWL.NS,Low_AWL.NS,Open_AWL.NS,Volume_AWL.NS,Date
2022-02-07,381.0,381.0,419.8999938964844,227.0,227.0,351278232,2022-02-07
2022-02-14,354.29998779296875,354.29998779296875,405.0,351.1499938964844,364.20001220703125,93249956,2022-02-14
2022-02-21,366.1000061035156,366.1000061035156,366.20001220703125,305.0,351.8999938964844,83364606,2022-02-21
2022-02-28,360.79998779296875,360.79998779296875,395.8999938964844,359.1000061035156,367.1000061035156,53839501,2022-02-28
2022-03-07,344.20001220703125,344.20001220703125,358.79998779296875,337.25,346.0,44385130,2022-03-07
2022-03-14,379.79998779296875,379.79998779296875,380.8500061035156,338.45001220703125,345.54998779296875,48944135,2022-03-14
2022-03-21,419.25,419.25,423.8999938964844,382.29998779296875,390.0,89254617,2022-03-21
2022-03-28,542.7000122070312,542.7000122070312,542.7000122070312,424.04998779296875,424.8999938964844,128116238,2022-03-28
2022-04-04,549.5999755859375,549.5999755859375,639.2999877929688,522.75,560.0,68924182,2022-04-04
2022-04-11,636.1500244140625,636.1500244140625,636.1500244140625,550.0999755859375,550.0999755859375,45261835,2022-04-11
2022-04-18,728.5499877929688,728.5499877929688,732.0,622.5999755859375,637.0,105299858,2022-04-18
2022-04-25,780.4000244140625,780.4000244140625,878.0,736.5999755859375,743.0,130055381,2022-04-25
2022-05-02,646.2000122070312,646.2000122070312,783.0,646.2000122070312,758.0,28105941,2022-05-02
2022-05-09,568.5999755859375,568.5999755859375,613.9000244140625,554.0999755859375,613.9000244140625,13919954,2022-05-09
2022-05-16,701.5499877929688,701.5499877929688,701.5499877929688,540.2000122070312,559.4500122070312,11278849,2022-05-16
2022-05-23,710.1500244140625,710.1500244140625,769.0,631.6500244140625,732.0,12939619,2022-05-23
2022-05-30,662.75,662.75,723.7000122070312,631.0,719.7999877929688,9214820,2022-05-30
2022-06-06,622.5999755859375,622.5999755859375,690.0499877929688,620.5,665.0,5424185,2022-06-06
2022-06-13,584.7000122070312,584.7000122070312,650.0,571.5,591.5,12306702,2022-06-13
2022-06-20,585.0499877929688,585.0499877929688,587.7000122070312,532.6500244140625,579.0,5923713,2022-06-20
2022-06-27,586.0,586.0,609.7999877929688,558.0999755859375,599.0,4034116,2022-06-27
2022-07-04,588.2999877929688,588.2999877929688,599.0,574.0,588.8499755859375,4266592,2022-07-04
2022-07-11,623.7000122070312,623.7000122070312,667.0,580.0,584.0,7664222,2022-07-11
2022-07-18,611.5499877929688,611.5499877929688,635.5,595.2000122070312,629.0,3553993,2022-07-18
2022-07-25,658.7999877929688,658.7999877929688,665.0,600.0,611.0,7265260,2022-07-25
2022-08-01,674.5,674.5,724.0,655.0,660.0,11193189,2022-08-01
2022-08-08,660.9000244140625,660.9000244140625,680.0,652.0,669.0,3487382,2022-08-08
2022-08-15,733.7999877929688,733.7999877929688,761.5999755859375,660.9000244140625,660.9000244140625,25420673,2022-08-15
2022-08-22,682.6500244140625,682.6500244140625,740.0,663.9500122070312,733.7999877929688,19945566,2022-08-22
2022-08-29,676.4000244140625,676.4000244140625,702.0,655.0,655.0,8655545,2022-08-29
2022-09-05,703.5999755859375,703.5999755859375,715.0,665.0,680.2000122070312,12339048,2022-09-05
2022-09-12,721.9500122070312,721.9500122070312,744.0,702.3499755859375,712.0999755859375,19397898,2022-09-12
2022-09-19,809.9500122070312,809.9500122070312,841.7000122070312,712.2000122070312,726.7000122070312,45276047,2022-09-19
2022-09-26,755.5,755.5,819.2000122070312,731.0,812.7999877929688,25658955,2022-09-26
2022-10-03,750.9500122070312,750.9500122070312,764.9500122070312,686.0,754.9500122070312,19585776,2022-10-03
2022-10-10,654.8499755859375,654.8499755859375,758.25,630.2000122070312,741.0,17382584,2022-10-10
2022-10-17,682.2999877929688,682.2999877929688,716.8499755859375,636.2000122070312,655.0,17533975,2022-10-17
2022-10-24,671.0499877929688,671.0499877929688,694.0,664.0499877929688,693.0,5353030,2022-10-24
2022-10-31,684.5499877929688,684.5499877929688,730.0,667.0,674.9500122070312,22748417,2022-10-31
2022-11-07,675.2999877929688,675.2999877929688,703.4000244140625,671.1500244140625,687.9000244140625,8182657,2022-11-07
2022-11-14,636.5999755859375,636.5999755859375,678.4000244140625,635.0,671.2000122070312,7314575,2022-11-14
2022-11-21,631.5,631.5,648.0,615.0499877929688,633.7999877929688,6899039,2022-11-21
2022-11-28,641.4000244140625,641.4000244140625,668.4000244140625,620.0,631.0,8675790,2022-11-28
2022-12-05,639.0999755859375,639.0999755859375,664.9000244140625,632.0499877929688,642.9500122070312,9485903,2022-12-05
2022-12-12,636.25,636.25,666.0,630.0,640.0,10960961,2022-12-12
2022-12-19,499.6499938964844,499.6499938964844,640.0,497.3999938964844,639.5,18944355,2022-12-19
2022-12-26,617.6500244140625,617.6500244140625,627.7999877929688,492.54998779296875,505.5,16766002,2022-12-26
2023-01-02,568.3499755859375,568.3499755859375,623.2999877929688,562.7999877929688,618.4500122070312,7720621,2023-01-02
2023-01-09,573.2999877929688,573.2999877929688,596.8499755859375,564.4500122070312,577.5,8047870,2023-01-09
2023-01-16,554.4500122070312,554.4500122070312,578.2000122070312,552.4500122070312,575.0,4287265,2023-01-16
2023-01-23,516.8499755859375,516.8499755859375,573.6500244140625,516.8499755859375,556.6500244140625,8978742,2023-01-23
2023-01-30,399.95001220703125,399.95001220703125,500.0,399.95001220703125,491.0,15630180,2023-01-30
2023-02-06,435.8999938964844,435.8999938964844,456.95001220703125,360.95001220703125,379.95001220703125,40088519,2023-02-06
2023-02-13,438.25,438.25,443.20001220703125,383.25,425.0,23924048,2023-02-13
2023-02-20,362.54998779296875,362.54998779296875,455.0,357.25,438.95001220703125,24867810,2023-02-20
2023-02-27,418.54998779296875,418.54998779296875,418.54998779296875,327.25,360.0,26262494,2023-02-27
2023-03-06,453.5,453.5,484.45001220703125,425.75,439.45001220703125,33911289,2023-03-06
2023-03-13,427.6499938964844,427.6499938964844,471.75,408.3500061035156,450.0,23171765,2023-03-13
2023-03-20,407.70001220703125,407.70001220703125,435.5,406.5,423.0,12949511,2023-03-20
2023-03-27,405.8500061035156,405.8500061035156,411.79998779296875,357.3999938964844,409.0,15703357,2023-03-27
2023-04-03,409.20001220703125,409.20001220703125,414.75,391.20001220703125,405.8500061035156,8827568,2023-04-03
2023-04-10,410.5,410.5,426.0,408.04998779296875,412.0,8288783,2023-04-10
2023-04-17,404.29998779296875,404.29998779296875,417.0,398.8500061035156,410.5,7668244,2023-04-17
2023-04-24,411.8500061035156,411.8500061035156,418.20001220703125,398.20001220703125,405.75,9829788,2023-04-24
2023-05-01,397.0,397.0,423.20001220703125,389.04998779296875,411.8500061035156,9846322,2023-05-01
2023-05-08,392.25,392.25,401.8999938964844,387.75,399.3999938964844,5084287,2023-05-08
2023-05-15,403.95001220703125,403.95001220703125,412.20001220703125,366.0,394.95001220703125,10500433,2023-05-15
2023-05-22,450.3999938964844,450.3999938964844,509.0,413.1000061035156,416.0,43029079,2023-05-22
2023-05-29,437.54998779296875,437.54998779296875,457.6499938964844,425.54998779296875,455.95001220703125,8395948,2023-05-29
2023-06-05,425.54998779296875,425.54998779296875,442.0,424.75,440.0,7106445,2023-06-05
2023-06-12,419.3500061035156,419.3500061035156,437.8999938964844,418.0,426.0,8181480,2023-06-12
2023-06-19,404.0,404.0,423.8999938964844,402.1000061035156,420.20001220703125,6623622,2023-06-19
2023-06-26,409.95001220703125,409.95001220703125,417.79998779296875,394.0,400.0,4324850,2023-06-26
2023-07-03,403.8999938964844,403.8999938964844,415.3999938964844,401.79998779296875,413.8500061035156,4547104,2023-07-03
2023-07-10,398.70001220703125,398.70001220703125,407.8999938964844,396.29998779296875,403.8999938964844,4601825,2023-07-10
2023-07-17,399.8500061035156,399.8500061035156,414.5,399.1000061035156,402.5,5962453,2023-07-17
2023-07-24,406.70001220703125,406.70001220703125,422.70001220703125,398.0,403.6000061035156,10610983,2023-07-24
2023-07-31,398.1000061035156,398.1000061035156,416.45001220703125,388.20001220703125,408.0,8260132,2023-07-31
2023-08-07,383.1000061035156,383.1000061035156,402.0,372.0,401.79998779296875,13307722,2023-08-07
2023-08-14,381.95001220703125,381.95001220703125,393.54998779296875,366.79998779296875,378.95001220703125,9048258,2023-08-14
2023-08-21,373.54998779296875,373.54998779296875,391.8999938964844,373.0,382.0,8988659,2023-08-21
2023-08-28,352.25,352.25,378.0,348.0,373.54998779296875,9074719,2023-08-28
2023-09-04,354.6000061035156,354.6000061035156,361.79998779296875,348.3999938964844,355.1499938964844,9237437,2023-09-04
2023-09-11,352.29998779296875,352.29998779296875,369.5,350.29998779296875,358.45001220703125,9101900,2023-09-11
2023-09-18,342.79998779296875,342.79998779296875,358.04998779296875,342.0,354.45001220703125,4023856,2023-09-18
2023-09-25,337.3999938964844,337.3999938964844,347.75,337.0,344.0,3618482,2023-09-25
2023-10-02,349.04998779296875,349.04998779296875,364.0,332.6000061035156,337.3999938964844,12117122,2023-10-02
2023-10-09,344.3999938964844,344.3999938964844,354.0,335.79998779296875,342.1000061035156,5027640,2023-10-09
2023-10-16,335.8500061035156,335.8500061035156,346.1499938964844,335.0,344.3999938964844,2810570,2023-10-16
2023-10-23,331.3999938964844,331.3999938964844,337.29998779296875,303.1000061035156,335.8500061035156,5136613,2023-10-23
2023-10-30,317.3999938964844,317.3999938964844,334.3999938964844,311.8500061035156,333.70001220703125,6003833,2023-10-30
2023-11-06,293.3999938964844,293.3999938964844,320.8999938964844,293.0,317.95001220703125,9552760,2023-11-06
2023-11-13,295.0,295.0,299.75,294.0,298.95001220703125,4103201,2023-11-13
2023-11-20,316.95001220703125,316.95001220703125,327.5,285.79998779296875,295.0,16885971,2023-11-20
2023-11-27,340.25,340.25,371.95001220703125,316.95001220703125,316.95001220703125,34073889,2023-11-27
2023-12-04,377.8999938964844,377.8999938964844,410.5,342.3500061035156,361.0,64678148,2023-12-04
2023-12-11,369.25,369.25,382.95001220703125,363.45001220703125,379.75,13040921,2023-12-11
2023-12-18,365.25,365.25,371.8999938964844,336.1000061035156,371.8999938964844,11415824,2023-12-18
2023-12-25,354.8999938964844,354.8999938964844,368.0,352.6000061035156,365.25,6075814,2023-12-25
2024-01-01,377.70001220703125,377.70001220703125,397.79998779296875,355.04998779296875,356.75,29086179,2024-01-01
2024-01-08,367.6000061035156,367.6000061035156,378.70001220703125,367.0,378.0,7232650,2024-01-08
2024-01-15,354.70001220703125,354.70001220703125,367.6000061035156,348.54998779296875,367.6000061035156,4635157,2024-01-15
2024-01-22,351.0,351.0,368.0,346.54998779296875,354.70001220703125,3875372,2024-01-22
2024-01-29,350.29998779296875,350.29998779296875,364.25,350.0,352.95001220703125,9277034,2024-01-29
2024-02-05,344.95001220703125,344.95001220703125,358.0,340.70001220703125,354.95001220703125,9101034,2024-02-05
2024-02-12,346.5,346.5,353.0,328.79998779296875,346.8999938964844,6534834,2024-02-12
2024-02-19,389.95001220703125,389.95001220703125,393.70001220703125,347.8500061035156,348.0,40851018,2024-02-19
2024-02-26,381.1499938964844,381.1499938964844,408.95001220703125,372.75,391.0,34897684,2024-02-26
2024-03-04,362.45001220703125,362.45001220703125,388.79998779296875,356.29998779296875,388.5,7518834,2024-03-04
2024-03-11,344.1499938964844,344.1499938964844,364.25,324.8500061035156,364.0,12536383,2024-03-11
2024-03-18,335.70001220703125,335.70001220703125,344.6499938964844,330.0,338.04998779296875,7069950,2024-03-18
2024-03-25,321.3999938964844,321.3999938964844,341.6000061035156,320.1000061035156,335.70001220703125,7796070,2024-03-25
