Date,Adj Close_YATHARTH.NS,Close_YATHARTH.NS,High_YATHARTH.NS,Low_YATHARTH.NS,Open_YATHARTH.NS,Volume_YATHARTH.NS,Date
2023-08-07,330.20001220703125,330.20001220703125,361.8999938964844,306.1000061035156,306.1000061035156,38775982,2023-08-07
2023-08-14,342.25,342.25,349.3999938964844,310.1000061035156,325.6000061035156,7867306,2023-08-14
2023-08-21,393.0,393.0,404.70001220703125,340.20001220703125,344.3999938964844,13641468,2023-08-21
2023-08-28,373.70001220703125,373.70001220703125,397.04998779296875,366.0,396.5,1921978,2023-08-28
2023-09-04,363.0,363.0,382.04998779296875,361.04998779296875,373.70001220703125,1270178,2023-09-04
2023-09-11,386.95001220703125,386.95001220703125,396.25,351.5,370.0,3031545,2023-09-11
2023-09-18,366.1499938964844,366.1499938964844,392.0,356.79998779296875,389.1000061035156,1028420,2023-09-18
2023-09-25,378.3500061035156,378.3500061035156,383.79998779296875,359.0,366.1499938964844,1761633,2023-09-25
2023-10-02,401.75,401.75,415.3999938964844,369.0,378.3500061035156,5144921,2023-10-02
2023-10-09,403.95001220703125,403.95001220703125,426.95001220703125,386.0,389.8999938964844,4070383,2023-10-09
2023-10-16,362.0,362.0,407.6499938964844,358.04998779296875,407.6499938964844,2504158,2023-10-16
2023-10-23,364.45001220703125,364.45001220703125,382.0,350.04998779296875,367.0,1934359,2023-10-23
2023-10-30,361.79998779296875,361.79998779296875,368.3500061035156,344.1000061035156,365.3999938964844,2735786,2023-10-30
2023-11-06,390.3999938964844,390.3999938964844,414.95001220703125,359.3500061035156,364.70001220703125,4994062,2023-11-06
2023-11-13,388.8999938964844,388.8999938964844,411.3999938964844,386.0,389.8999938964844,1888960,2023-11-13
2023-11-20,405.3500061035156,405.3500061035156,414.8999938964844,380.45001220703125,389.8999938964844,3379823,2023-11-20
2023-11-27,390.29998779296875,390.29998779296875,441.8500061035156,374.5,405.3500061035156,9064731,2023-11-27
2023-12-04,382.54998779296875,382.54998779296875,398.0,379.0,393.0,1460835,2023-12-04
2023-12-11,389.95001220703125,389.95001220703125,403.95001220703125,375.54998779296875,383.45001220703125,2610753,2023-12-11
2023-12-18,380.3500061035156,380.3500061035156,397.8999938964844,360.0,387.54998779296875,1581833,2023-12-18
2023-12-25,377.3500061035156,377.3500061035156,384.6499938964844,370.54998779296875,380.3500061035156,1078626,2023-12-25
2024-01-01,378.1499938964844,378.1499938964844,382.0,365.54998779296875,382.0,1084771,2024-01-01
2024-01-08,385.20001220703125,385.20001220703125,401.8999938964844,367.04998779296875,382.0,2766002,2024-01-08
2024-01-15,378.45001220703125,378.45001220703125,385.20001220703125,366.20001220703125,385.20001220703125,761047,2024-01-15
2024-01-22,380.0,380.0,394.70001220703125,375.25,378.45001220703125,802568,2024-01-22
2024-01-29,378.54998779296875,378.54998779296875,385.0,365.79998779296875,380.3999938964844,1284205,2024-01-29
2024-02-05,440.25,440.25,447.29998779296875,374.0,380.0,5908663,2024-02-05
2024-02-12,487.8999938964844,487.8999938964844,496.0,419.0,457.79998779296875,6258821,2024-02-12
2024-02-19,478.29998779296875,478.29998779296875,495.5,456.0,491.8500061035156,1479197,2024-02-19
2024-02-26,444.20001220703125,444.20001220703125,504.8999938964844,432.95001220703125,481.95001220703125,2518721,2024-02-26
2024-03-04,424.1000061035156,424.1000061035156,460.0,396.6000061035156,460.0,2256380,2024-03-04
2024-03-11,402.6499938964844,402.6499938964844,428.8500061035156,368.6000061035156,428.8500061035156,1720321,2024-03-11
2024-03-18,406.70001220703125,406.70001220703125,420.8999938964844,396.1499938964844,404.8999938964844,1224084,2024-03-18
2024-03-25,420.29998779296875,420.29998779296875,426.70001220703125,396.95001220703125,406.70001220703125,845806,2024-03-25
2024-04-01,457.70001220703125,457.70001220703125,460.20001220703125,420.29998779296875,426.6000061035156,1110519,2024-04-01
2024-04-08,471.5,471.5,477.29998779296875,453.29998779296875,462.8999938964844,721908,2024-04-08
2024-04-15,460.04998779296875,460.04998779296875,496.20001220703125,438.6499938964844,474.0,964169,2024-04-15
2024-04-22,450.1499938964844,450.1499938964844,471.5,436.5,468.1000061035156,608489,2024-04-22
2024-04-29,453.6499938964844,453.6499938964844,462.75,441.25,454.6499938964844,881207,2024-04-29
2024-05-06,432.1000061035156,432.1000061035156,462.6000061035156,425.8500061035156,461.0,443537,2024-05-06
2024-05-13,448.29998779296875,448.29998779296875,452.95001220703125,422.6000061035156,442.0,404697,2024-05-13
2024-05-20,425.1499938964844,425.1499938964844,474.54998779296875,420.1499938964844,445.6499938964844,1137942,2024-05-20
2024-05-27,414.45001220703125,414.45001220703125,429.8999938964844,398.0,427.6499938964844,1447287,2024-05-27
2024-06-03,414.45001220703125,414.45001220703125,432.0,382.0,425.0,1125600,2024-06-03
2024-06-10,426.79998779296875,426.79998779296875,439.45001220703125,412.0,420.0,686124,2024-06-10
2024-06-17,419.1499938964844,419.1499938964844,433.0,412.54998779296875,426.79998779296875,866478,2024-06-17
2024-06-24,416.45001220703125,416.45001220703125,429.8500061035156,409.0,423.8999938964844,825935,2024-06-24
2024-07-01,439.75,439.75,446.29998779296875,406.0,421.5,2707156,2024-07-01
2024-07-08,429.79998779296875,429.79998779296875,450.3500061035156,422.0,448.0,2007065,2024-07-08
2024-07-15,435.20001220703125,435.20001220703125,451.75,428.0,433.0,853974,2024-07-15
2024-07-22,462.25,462.25,464.95001220703125,421.54998779296875,432.0,1100944,2024-07-22
2024-07-29,448.54998779296875,448.54998779296875,480.0,444.8500061035156,474.8999938964844,945617,2024-07-29
2024-08-05,447.79998779296875,447.79998779296875,452.0,426.29998779296875,431.29998779296875,984492,2024-08-05
2024-08-12,459.79998779296875,459.79998779296875,464.29998779296875,430.95001220703125,447.95001220703125,1115084,2024-08-12
2024-08-19,517.6500244140625,517.6500244140625,529.2999877929688,462.70001220703125,470.0,4243203,2024-08-19
2024-08-26,523.9000244140625,523.9000244140625,543.9500122070312,510.5,535.0,2070309,2024-08-26
2024-09-02,523.2999877929688,523.2999877929688,538.9500122070312,509.1000061035156,524.2000122070312,1337925,2024-09-02
2024-09-09,582.25,582.25,597.0,508.1000061035156,527.0,3967068,2024-09-09
2024-09-16,559.9500122070312,559.9500122070312,582.0999755859375,531.2000122070312,582.0999755859375,3327543,2024-09-16
2024-09-23,571.5499877929688,571.5499877929688,595.0,551.0,570.0,2653144,2024-09-23
2024-09-30,552.4500122070312,552.4500122070312,577.7000122070312,541.4000244140625,570.5999755859375,1122941,2024-09-30
2024-10-07,628.25,628.25,632.2000122070312,525.0499877929688,559.8499755859375,2685445,2024-10-07
2024-10-14,630.4500122070312,630.4500122070312,663.0,604.5499877929688,630.0,2005310,2024-10-14
2024-10-21,649.6500244140625,649.6500244140625,667.2000122070312,580.0,630.5499877929688,2391406,2024-10-21
2024-10-28,677.8499755859375,677.8499755859375,688.0,642.7000122070312,656.6500244140625,1714865,2024-10-28
2024-11-04,610.9500122070312,610.9500122070312,693.0,606.2999877929688,684.5499877929688,2177496,2024-11-04
2024-11-11,609.6500244140625,609.6500244140625,632.2000122070312,581.0,609.7000122070312,1651661,2024-11-11
2024-11-18,612.0499877929688,612.0499877929688,620.0,596.0999755859375,605.0,972349,2024-11-18
2024-11-25,594.6500244140625,594.6500244140625,625.0,588.5499877929688,625.0,1014058,2024-11-25
2024-12-02,653.3499755859375,653.3499755859375,666.0,594.6500244140625,594.6500244140625,1800353,2024-12-02
2024-12-09,613.2000122070312,613.2000122070312,660.7999877929688,606.2999877929688,653.3499755859375,1512444,2024-12-09
2024-12-16,627.8499755859375,627.8499755859375,647.0,585.0,613.2000122070312,2577658,2024-12-16
2024-12-23,589.2999877929688,589.2999877929688,641.3499755859375,582.0499877929688,628.25,1357326,2024-12-23
2024-12-30,567.9000244140625,567.9000244140625,599.7999877929688,546.0,589.2999877929688,2247477,2024-12-30
2025-01-06,512.6500244140625,512.6500244140625,572.1500244140625,510.0,570.9000244140625,2362837,2025-01-06
2025-01-13,440.54998779296875,440.54998779296875,511.20001220703125,437.95001220703125,509.0,7563555,2025-01-13
2025-01-20,442.8999938964844,442.8999938964844,459.79998779296875,407.1499938964844,446.95001220703125,6998747,2025-01-20
2025-01-27,435.20001220703125,435.20001220703125,439.6000061035156,392.54998779296875,437.04998779296875,5272916,2025-01-27
2025-02-03,428.54998779296875,428.54998779296875,453.75,413.0,435.20001220703125,2237817,2025-02-03
