Date,Adj Close_FIBERWEB.NS,Close_FIBERWEB.NS,High_FIBERWEB.NS,Low_FIBERWEB.NS,Open_FIBERWEB.NS,Volume_FIBERWEB.NS,Date
2022-02-14,46.400001525878906,46.400001525878906,52.45000076293945,45.0,48.75,481737,2022-02-14
2022-02-21,43.099998474121094,43.099998474121094,46.95000076293945,40.400001525878906,46.95000076293945,329659,2022-02-21
2022-02-28,43.650001525878906,43.650001525878906,46.75,41.5,44.5,137709,2022-02-28
2022-03-07,42.79999923706055,42.79999923706055,46.0,40.5,43.5,154831,2022-03-07
2022-03-14,41.650001525878906,41.650001525878906,44.0,41.0,42.79999923706055,104635,2022-03-14
2022-03-21,40.75,40.75,43.849998474121094,40.099998474121094,41.04999923706055,253364,2022-03-21
2022-03-28,41.20000076293945,41.20000076293945,42.0,37.900001525878906,40.79999923706055,340227,2022-03-28
2022-04-04,42.75,42.75,45.0,40.20000076293945,42.75,231496,2022-04-04
2022-04-11,42.099998474121094,42.099998474121094,43.650001525878906,40.70000076293945,43.5,65948,2022-04-11
2022-04-18,47.20000076293945,47.20000076293945,50.849998474121094,41.54999923706055,43.0,794399,2022-04-18
2022-04-25,44.0,44.0,52.5,43.29999923706055,45.599998474121094,667278,2022-04-25
2022-05-02,45.5,45.5,49.099998474121094,41.29999923706055,45.400001525878906,510959,2022-05-02
2022-05-09,40.79999923706055,40.79999923706055,46.29999923706055,38.70000076293945,46.25,245410,2022-05-09
2022-05-16,49.95000076293945,49.95000076293945,51.45000076293945,40.400001525878906,43.900001525878906,1070823,2022-05-16
2022-05-23,47.29999923706055,47.29999923706055,51.150001525878906,44.0,51.150001525878906,484898,2022-05-23
2022-05-30,42.150001525878906,42.150001525878906,45.0,40.29999923706055,44.29999923706055,423601,2022-05-30
2022-06-06,41.04999923706055,41.04999923706055,42.849998474121094,40.0,42.099998474121094,176898,2022-06-06
2022-06-13,38.349998474121094,38.349998474121094,42.650001525878906,38.0,40.150001525878906,140752,2022-06-13
2022-06-20,35.5,35.5,40.20000076293945,31.0,39.75,448433,2022-06-20
2022-06-27,35.70000076293945,35.70000076293945,37.0,34.900001525878906,36.150001525878906,118756,2022-06-27
2022-07-04,37.400001525878906,37.400001525878906,40.95000076293945,35.400001525878906,36.0,87588,2022-07-04
2022-07-11,36.099998474121094,36.099998474121094,39.95000076293945,35.599998474121094,37.54999923706055,88674,2022-07-11
2022-07-18,38.650001525878906,38.650001525878906,39.0,35.25,36.75,475154,2022-07-18
2022-07-25,38.75,38.75,41.650001525878906,37.650001525878906,39.349998474121094,303940,2022-07-25
2022-08-01,37.95000076293945,37.95000076293945,41.099998474121094,37.54999923706055,40.75,174900,2022-08-01
2022-08-08,36.400001525878906,36.400001525878906,39.900001525878906,33.400001525878906,38.650001525878906,151465,2022-08-08
2022-08-15,38.5,38.5,39.75,35.849998474121094,36.400001525878906,416247,2022-08-15
2022-08-22,39.75,39.75,44.0,37.04999923706055,39.849998474121094,288194,2022-08-22
2022-08-29,40.20000076293945,40.20000076293945,41.349998474121094,38.099998474121094,38.099998474121094,155336,2022-08-29
2022-09-05,39.849998474121094,39.849998474121094,42.900001525878906,35.0,40.20000076293945,258388,2022-09-05
2022-09-12,38.400001525878906,38.400001525878906,41.70000076293945,38.20000076293945,40.0,131175,2022-09-12
2022-09-19,39.75,39.75,40.95000076293945,37.099998474121094,39.0,180285,2022-09-19
2022-09-26,37.04999923706055,37.04999923706055,40.04999923706055,36.75,40.04999923706055,130875,2022-09-26
2022-10-03,39.25,39.25,40.04999923706055,37.04999923706055,37.75,83287,2022-10-03
2022-10-10,38.70000076293945,38.70000076293945,40.45000076293945,37.54999923706055,39.400001525878906,103895,2022-10-10
2022-10-17,36.29999923706055,36.29999923706055,39.45000076293945,31.5,39.45000076293945,228831,2022-10-17
2022-10-24,37.29999923706055,37.29999923706055,38.099998474121094,36.29999923706055,36.29999923706055,71217,2022-10-24
2022-10-31,37.349998474121094,37.349998474121094,38.25,36.150001525878906,37.75,97458,2022-10-31
2022-11-07,37.20000076293945,37.20000076293945,42.20000076293945,37.0,37.75,228478,2022-11-07
2022-11-14,37.0,37.0,38.0,36.150001525878906,36.599998474121094,129809,2022-11-14
2022-11-21,37.04999923706055,37.04999923706055,37.79999923706055,35.0,37.04999923706055,229102,2022-11-21
2022-11-28,36.25,36.25,37.599998474121094,35.599998474121094,37.45000076293945,176459,2022-11-28
2022-12-05,36.349998474121094,36.349998474121094,37.20000076293945,36.04999923706055,36.900001525878906,120178,2022-12-05
2022-12-12,36.79999923706055,36.79999923706055,39.29999923706055,35.54999923706055,37.04999923706055,355530,2022-12-12
2022-12-19,33.0,33.0,37.400001525878906,32.04999923706055,37.400001525878906,216515,2022-12-19
2022-12-26,36.79999923706055,36.79999923706055,38.599998474121094,32.0,32.0,239233,2022-12-26
2023-01-02,35.70000076293945,35.70000076293945,37.400001525878906,33.29999923706055,36.25,144194,2023-01-02
2023-01-09,37.79999923706055,37.79999923706055,39.0,36.0,36.5,295249,2023-01-09
2023-01-16,36.75,36.75,38.349998474121094,36.099998474121094,38.349998474121094,180734,2023-01-16
2023-01-23,37.900001525878906,37.900001525878906,39.0,36.0,37.45000076293945,691513,2023-01-23
2023-01-30,38.900001525878906,38.900001525878906,39.04999923706055,36.95000076293945,38.599998474121094,236328,2023-01-30
2023-02-06,39.099998474121094,39.099998474121094,41.849998474121094,38.099998474121094,39.0,344738,2023-02-06
2023-02-13,37.0,37.0,39.0,36.0,39.0,251495,2023-02-13
2023-02-20,37.0,37.0,37.900001525878906,35.54999923706055,37.29999923706055,227160,2023-02-20
2023-02-27,34.900001525878906,34.900001525878906,37.099998474121094,32.79999923706055,37.099998474121094,186079,2023-02-27
2023-03-06,34.70000076293945,34.70000076293945,35.599998474121094,34.099998474121094,34.5,225554,2023-03-06
2023-03-13,34.04999923706055,34.04999923706055,35.79999923706055,33.25,35.0,72592,2023-03-13
2023-03-20,33.150001525878906,33.150001525878906,34.900001525878906,33.0,33.5,121173,2023-03-20
2023-03-27,32.400001525878906,32.400001525878906,34.400001525878906,31.5,33.099998474121094,175233,2023-03-27
2023-04-03,34.29999923706055,34.29999923706055,35.349998474121094,32.75,33.599998474121094,58371,2023-04-03
2023-04-10,31.799999237060547,31.799999237060547,35.0,31.299999237060547,35.0,184644,2023-04-10
2023-04-17,32.25,32.25,34.0,31.700000762939453,32.0,107315,2023-04-17
2023-04-24,34.0,34.0,34.400001525878906,31.200000762939453,32.95000076293945,144419,2023-04-24
2023-05-01,35.900001525878906,35.900001525878906,37.45000076293945,33.349998474121094,34.0,327147,2023-05-01
2023-05-08,36.79999923706055,36.79999923706055,37.20000076293945,34.599998474121094,36.75,388505,2023-05-08
2023-05-15,33.75,33.75,36.70000076293945,33.5,36.70000076293945,304395,2023-05-15
2023-05-22,31.75,31.75,36.400001525878906,31.350000381469727,33.95000076293945,1530326,2023-05-22
2023-05-29,30.600000381469727,30.600000381469727,32.95000076293945,29.5,32.150001525878906,379901,2023-05-29
2023-06-05,30.5,30.5,32.20000076293945,30.149999618530273,31.049999237060547,476212,2023-06-05
2023-06-12,30.549999237060547,30.549999237060547,31.399999618530273,30.149999618530273,30.25,124529,2023-06-12
2023-06-19,30.600000381469727,30.600000381469727,31.899999618530273,30.149999618530273,30.549999237060547,212676,2023-06-19
2023-06-26,30.5,30.5,31.899999618530273,30.0,31.899999618530273,80456,2023-06-26
2023-07-03,31.0,31.0,31.350000381469727,29.799999237060547,30.5,166722,2023-07-03
2023-07-10,29.549999237060547,29.549999237060547,31.100000381469727,29.100000381469727,31.0,248274,2023-07-10
2023-07-17,28.700000762939453,28.700000762939453,30.450000762939453,28.350000381469727,30.0,279128,2023-07-17
2023-07-24,29.799999237060547,29.799999237060547,32.349998474121094,27.049999237060547,29.0,906618,2023-07-24
2023-07-31,29.600000381469727,29.600000381469727,30.75,29.149999618530273,29.850000381469727,167550,2023-07-31
2023-08-07,30.100000381469727,30.100000381469727,31.850000381469727,29.200000762939453,29.200000762939453,179859,2023-08-07
