Date,Adj Close_COMSYN.NS,Close_COMSYN.NS,High_COMSYN.NS,Low_COMSYN.NS,Open_COMSYN.NS,Volume_COMSYN.NS,Date
2024-01-22,87.5999984741211,87.5999984741211,99.0,70.05000305175781,95.0,89075,2024-01-22
2024-01-29,96.5,96.5,111.80000305175781,84.5999984741211,84.5999984741211,601744,2024-01-29
2024-02-05,88.75,88.75,97.1500015258789,84.0,97.1500015258789,170860,2024-02-05
2024-02-12,87.80000305175781,87.80000305175781,92.1500015258789,76.80000305175781,87.5999984741211,162756,2024-02-12
2024-02-19,83.1500015258789,83.1500015258789,88.0,82.4000015258789,86.94999694824219,52288,2024-02-19
2024-02-26,80.1500015258789,80.1500015258789,85.0,77.5,85.0,114428,2024-02-26
2024-03-04,77.30000305175781,77.30000305175781,81.0,72.6500015258789,80.94999694824219,29478,2024-03-04
2024-03-11,70.94999694824219,70.94999694824219,79.44999694824219,65.0,77.30000305175781,113318,2024-03-11
2024-03-18,65.25,65.25,76.0,64.19999694824219,72.44999694824219,113314,2024-03-18
2024-03-25,63.04999923706055,63.04999923706055,69.80000305175781,62.0,65.25,163663,2024-03-25
2024-04-01,69.6500015258789,69.6500015258789,73.0,64.0,64.0,93937,2024-04-01
2024-04-08,71.4000015258789,71.4000015258789,74.69999694824219,69.0999984741211,71.94999694824219,19981,2024-04-08
2024-04-15,74.05000305175781,74.05000305175781,78.0,66.0,71.0,61521,2024-04-15
2024-04-22,76.0999984741211,76.0999984741211,78.25,70.30000305175781,75.0,152325,2024-04-22
2024-04-29,73.3499984741211,73.3499984741211,81.5,73.0,77.0,112487,2024-04-29
2024-05-06,68.6500015258789,68.6500015258789,76.0,66.55000305175781,76.0,33814,2024-05-06
2024-05-13,70.05000305175781,70.05000305175781,72.30000305175781,67.0,71.0,29137,2024-05-13
2024-05-20,66.4000015258789,66.4000015258789,71.0,66.0,70.6500015258789,26104,2024-05-20
2024-05-27,68.0,68.0,69.94999694824219,65.1500015258789,67.80000305175781,62229,2024-05-27
2024-06-03,66.8499984741211,66.8499984741211,69.4000015258789,58.0,66.55000305175781,62585,2024-06-03
2024-06-10,68.70999908447266,68.70999908447266,71.0,65.05000305175781,67.79000091552734,176111,2024-06-10
2024-06-17,70.83999633789062,70.83999633789062,74.4800033569336,68.70999908447266,68.70999908447266,216777,2024-06-17
2024-06-24,76.4000015258789,76.4000015258789,78.6500015258789,68.0199966430664,71.98999786376953,703090,2024-06-24
