Date,Adj Close_RAMAPHO.NS,Close_RAMAPHO.NS,High_RAMAPHO.NS,Low_RAMAPHO.NS,Open_RAMAPHO.NS,Volume_RAMAPHO.NS,Date
2022-08-01,135.930419921875,136.875,139.22500610351562,136.35000610351562,138.97500610351562,44814,2022-08-01
2022-08-08,132.82699584960938,133.75,144.4250030517578,132.0,138.5,190632,2022-08-08
2022-08-15,140.1711883544922,140.72500610351562,144.0,132.52499389648438,133.75,143506,2022-08-15
2022-08-22,147.3926544189453,147.97500610351562,151.5,131.3000030517578,140.75,226364,2022-08-22
2022-08-29,160.49090576171875,161.125,182.1999969482422,139.97500610351562,142.0,956388,2022-08-29
2022-09-05,153.26942443847656,153.875,166.0749969482422,153.0,163.5,214068,2022-09-05
2022-09-12,159.07150268554688,159.6999969482422,175.75,152.0,153.85000610351562,710684,2022-09-12
2022-09-19,151.7006378173828,152.3000030517578,164.47500610351562,139.0,164.375,192112,2022-09-19
2022-09-26,152.24847412109375,152.85000610351562,159.375,136.52499389648438,146.0,373816,2022-09-26
2022-10-03,150.20654296875,150.8000030517578,157.5,140.0500030517578,153.5749969482422,81962,2022-10-03
2022-10-10,147.49224853515625,148.0749969482422,153.89999389648438,144.3000030517578,148.0,115234,2022-10-10
2022-10-17,142.13841247558594,142.6999969482422,151.52499389648438,141.02499389648438,151.52499389648438,73434,2022-10-17
2022-10-24,142.31272888183594,142.875,147.5,140.5500030517578,143.0500030517578,52246,2022-10-24
2022-10-31,133.82127380371094,134.35000610351562,146.9499969482422,130.1750030517578,143.72500610351562,135746,2022-10-31
2022-11-07,124.38356018066406,124.875,137.875,122.5999984741211,136.0,208460,2022-11-07
2022-11-14,124.1843490600586,124.67500305175781,134.3249969482422,123.5250015258789,123.75,164010,2022-11-14
2022-11-21,126.17647552490234,126.67500305175781,134.5,123.5,127.2750015258789,193882,2022-11-21
2022-11-28,133.82127380371094,134.35000610351562,140.27499389648438,122.82499694824219,127.0,316078,2022-11-28
2022-12-05,137.85533142089844,138.39999389648438,147.85000610351562,135.3249969482422,135.4499969482422,355918,2022-12-05
2022-12-12,143.03488159179688,143.60000610351562,156.0,136.0,138.375,307228,2022-12-12
2022-12-19,121.3953628540039,121.875,147.0,120.4000015258789,143.60000610351562,381744,2022-12-19
2022-12-26,138.57748413085938,139.125,145.60000610351562,120.05000305175781,120.05000305175781,222770,2022-12-26
2023-01-02,129.1646728515625,129.6750030517578,141.9250030517578,129.0,141.9250030517578,221708,2023-01-02
2023-01-09,126.82391357421875,127.32499694824219,131.625,124.3499984741211,127.05000305175781,184382,2023-01-09
2023-01-16,124.43336486816406,124.92500305175781,134.9250030517578,121.42500305175781,129.9250030517578,250822,2023-01-16
2023-01-23,114.79644012451172,115.25,127.7750015258789,113.4000015258789,127.44999694824219,215694,2023-01-23
2023-01-30,112.90391540527344,113.3499984741211,121.5,107.0999984741211,119.9000015258789,168390,2023-01-30
2023-02-06,110.09003448486328,110.5250015258789,118.75,103.25,113.3499984741211,150984,2023-02-06
2023-02-13,103.49110412597656,103.9000015258789,116.875,103.2750015258789,110.5250015258789,240144,2023-02-13
2023-02-20,98.28667449951172,98.67500305175781,110.4000015258789,96.4749984741211,110.4000015258789,198528,2023-02-20
2023-02-27,97.29060363769531,97.67500305175781,104.3499984741211,95.05000305175781,102.5,119592,2023-02-27
2023-03-06,96.71786499023438,97.0999984741211,101.0999984741211,95.05000305175781,97.0,209846,2023-03-06
2023-03-13,92.98262023925781,93.3499984741211,105.9000015258789,87.9000015258789,95.82499694824219,664786,2023-03-13
2023-03-20,93.45574951171875,93.82499694824219,101.375,91.6500015258789,95.0,246958,2023-03-20
2023-03-27,87.00623321533203,87.3499984741211,95.69999694824219,84.9000015258789,95.69999694824219,202154,2023-03-27
2023-04-03,114.92094421386719,115.375,115.375,89.0999984741211,89.7249984741211,390672,2023-04-03
2023-04-10,111.26040649414062,111.69999694824219,121.0,108.30000305175781,112.0,339054,2023-04-10
2023-04-17,106.80301666259766,107.2249984741211,113.9749984741211,106.19999694824219,112.05000305175781,78706,2023-04-17
2023-04-24,103.69031524658203,104.0999984741211,109.3499984741211,103.5,106.0,113966,2023-04-24
