Date,Adj Close_DHANUKA.NS,Close_DHANUKA.NS,High_DHANUKA.NS,Low_DHANUKA.NS,Open_DHANUKA.NS,Volume_DHANUKA.NS,Date
2020-07-13,785.9386596679688,813.6500244140625,831.9500122070312,759.0,759.0,451696,2020-07-13
2020-07-20,825.5904541015625,854.7000122070312,935.7000122070312,800.0,832.0,2040273,2020-07-20
2020-07-27,765.0260009765625,792.0,861.3499755859375,765.0,855.0,389905,2020-07-27
2020-08-03,755.8012084960938,782.4500122070312,820.4500122070312,780.0999755859375,794.4500122070312,244602,2020-08-03
2020-08-10,766.1367797851562,793.1500244140625,840.0,752.1500244140625,792.4500122070312,772140,2020-08-10
2020-08-17,767.1993408203125,794.25,828.0,763.0,799.5,323573,2020-08-17
2020-08-24,799.027099609375,827.2000122070312,898.9000244140625,780.0,794.25,1241026,2020-08-24
2020-08-31,745.7554321289062,772.0499877929688,838.5999755859375,752.2999877929688,838.5999755859375,403288,2020-08-31
2020-09-07,710.4984741210938,735.5499877929688,779.9000244140625,695.0,777.9000244140625,398260,2020-09-07
2020-09-14,797.1918334960938,825.2999877929688,839.4000244140625,743.7999877929688,743.7999877929688,936645,2020-09-14
2020-09-21,718.75732421875,744.0999755859375,839.2999877929688,722.9000244140625,832.9000244140625,621104,2020-09-21
2020-09-28,734.6953735351562,760.5999755859375,766.7999877929688,723.5,750.0,307296,2020-09-28
2020-10-05,707.8421630859375,732.7999877929688,784.0,724.0499877929688,769.0,309204,2020-10-05
2020-10-12,711.2229614257812,736.2999877929688,744.9000244140625,714.0999755859375,738.7999877929688,236132,2020-10-12
2020-10-19,701.3220825195312,726.0499877929688,742.0,675.0,742.0,509256,2020-10-19
2020-10-26,711.319580078125,736.4000244140625,747.0,698.0,717.5,284296,2020-10-26
2020-11-02,708.3734130859375,733.3499755859375,746.5,710.0,744.0,214955,2020-11-02
2020-11-09,685.7705078125,709.9500122070312,741.0,695.0,741.0,237060,2020-11-09
2020-11-16,682.3413696289062,706.4000244140625,718.5999755859375,699.0499877929688,700.1500244140625,173133,2020-11-16
2020-11-23,725.4705810546875,751.0499877929688,766.3499755859375,688.0499877929688,711.0,446144,2020-11-23
2020-11-30,736.192626953125,762.1500244140625,789.0,751.0499877929688,751.0499877929688,270151,2020-11-30
2020-12-07,720.2062377929688,745.5999755859375,770.0,728.5,766.5,275143,2020-12-07
2020-12-14,716.2459106445312,741.5,753.9000244140625,728.5,745.7000122070312,224369,2020-12-14
2020-12-21,712.09228515625,737.2000122070312,750.0,700.0,739.2000122070312,238580,2020-12-21
2020-12-28,755.0284423828125,781.6500244140625,827.0999755859375,735.0,740.9000244140625,1422026,2020-12-28
2021-01-04,765.412353515625,792.4000244140625,815.9500122070312,773.8499755859375,796.0,508041,2021-01-04
2021-01-11,757.0569458007812,783.75,809.0,770.0,809.0,246589,2021-01-11
2021-01-18,717.59814453125,742.9000244140625,798.0,734.0,785.0,250856,2021-01-18
2021-01-25,713.78271484375,738.9500122070312,750.0,715.0,742.0499877929688,161651,2021-01-25
2021-02-01,728.6099243164062,754.2999877929688,763.0,722.4500122070312,747.9000244140625,790224,2021-02-01
2021-02-08,735.1782836914062,761.0999755859375,798.9000244140625,756.0,767.0,401791,2021-02-08
2021-02-15,703.3988647460938,728.2000122070312,774.0,722.25,774.0,241010,2021-02-15
2021-02-22,701.2737426757812,726.0,750.0,720.0,725.2000122070312,179568,2021-02-22
2021-03-01,705.765380859375,730.6500244140625,756.5499877929688,723.25,727.0999755859375,176282,2021-03-01
2021-03-08,696.6373291015625,721.2000122070312,741.0,713.2000122070312,734.5,142445,2021-03-08
2021-03-15,681.9548950195312,706.0,740.0,690.75,728.2000122070312,207689,2021-03-15
2021-03-22,664.7129516601562,688.1500244140625,713.0,677.4000244140625,708.0,169561,2021-03-22
2021-03-29,692.7252197265625,717.1500244140625,722.4000244140625,658.0,688.1500244140625,202302,2021-03-29
2021-04-05,719.9647216796875,745.3499755859375,761.0,695.4500122070312,717.1500244140625,342274,2021-04-05
2021-04-12,702.9641723632812,727.75,741.3499755859375,692.0,726.0,189117,2021-04-12
2021-04-19,741.7467651367188,767.9000244140625,792.0,697.0999755859375,721.0999755859375,380399,2021-04-19
2021-04-26,742.6643676757812,768.8499755859375,790.0,741.0,780.9500122070312,352228,2021-04-26
2021-05-03,773.8643188476562,801.1500244140625,848.0,764.0,768.8499755859375,1413511,2021-05-03
2021-05-10,856.6454467773438,886.8499755859375,929.4000244140625,808.9000244140625,808.9000244140625,2643736,2021-05-10
2021-05-17,862.0547485351562,892.4500122070312,952.0499877929688,880.25,903.7000122070312,1810979,2021-05-17
2021-05-24,874.8052368164062,905.6500244140625,935.0,850.0,893.2000122070312,1564950,2021-05-24
