Date,Adj Close_UFO.NS,Close_UFO.NS,High_UFO.NS,Low_UFO.NS,Open_UFO.NS,Volume_UFO.NS,Date
2020-11-23,77.6500015258789,77.6500015258789,78.94999694824219,74.0,74.44999694824219,659510,2020-11-23
2020-11-30,82.19999694824219,82.19999694824219,84.9000015258789,77.5,77.6500015258789,1164802,2020-11-30
2020-12-07,80.44999694824219,80.44999694824219,84.8499984741211,79.0999984741211,82.75,3092180,2020-12-07
2020-12-14,87.19999694824219,87.19999694824219,93.44999694824219,80.55000305175781,81.3499984741211,5266898,2020-12-14
2020-12-21,86.8499984741211,86.8499984741211,88.9000015258789,76.8499984741211,88.19999694824219,1777626,2020-12-21
2020-12-28,90.30000305175781,90.30000305175781,94.75,87.05000305175781,88.5,2928834,2020-12-28
2021-01-04,91.25,91.25,96.0,89.0,91.8499984741211,3367713,2021-01-04
2021-01-11,88.1500015258789,88.1500015258789,93.4000015258789,87.8499984741211,91.9000015258789,1458350,2021-01-11
2021-01-18,87.05000305175781,87.05000305175781,92.4000015258789,85.75,89.55000305175781,1383196,2021-01-18
2021-01-25,83.25,83.25,88.1500015258789,82.0999984741211,88.1500015258789,677316,2021-01-25
2021-02-01,85.19999694824219,85.19999694824219,87.75,84.44999694824219,85.0,726916,2021-02-01
2021-02-08,83.44999694824219,83.44999694824219,86.55000305175781,82.5,85.6500015258789,420497,2021-02-08
2021-02-15,84.19999694824219,84.19999694824219,87.5999984741211,82.80000305175781,83.9000015258789,930668,2021-02-15
2021-02-22,81.0,81.0,85.4000015258789,76.0,85.4000015258789,586638,2021-02-22
2021-03-01,86.30000305175781,86.30000305175781,90.69999694824219,81.0,82.80000305175781,1080742,2021-03-01
2021-03-08,83.69999694824219,83.69999694824219,89.0,82.6500015258789,89.0,617451,2021-03-08
2021-03-15,77.05000305175781,77.05000305175781,84.5999984741211,75.0,84.0999984741211,578834,2021-03-15
2021-03-22,70.8499984741211,70.8499984741211,79.30000305175781,70.3499984741211,76.3499984741211,680382,2021-03-22
2021-03-29,73.69999694824219,73.69999694824219,73.94999694824219,69.0,70.8499984741211,362838,2021-03-29
2021-04-05,75.55000305175781,75.55000305175781,77.69999694824219,70.5,73.4000015258789,493460,2021-04-05
2021-04-12,72.05000305175781,72.05000305175781,74.19999694824219,68.4000015258789,74.0,297141,2021-04-12
2021-04-19,70.0999984741211,70.0999984741211,73.44999694824219,69.0,73.44999694824219,222388,2021-04-19
2021-04-26,71.0999984741211,71.0999984741211,75.5999984741211,69.0999984741211,71.3499984741211,433240,2021-04-26
2021-05-03,70.80000305175781,70.80000305175781,73.69999694824219,70.0999984741211,71.3499984741211,374659,2021-05-03
2021-05-10,72.1500015258789,72.1500015258789,77.19999694824219,69.8499984741211,71.0,654582,2021-05-10
2021-05-17,78.5999984741211,78.5999984741211,79.9000015258789,72.19999694824219,72.75,753690,2021-05-17
2021-05-24,83.6500015258789,83.6500015258789,91.4000015258789,78.9000015258789,80.9000015258789,3523612,2021-05-24
2021-05-31,92.6500015258789,92.6500015258789,106.5,82.5999984741211,84.4000015258789,17125117,2021-05-31
2021-06-07,91.94999694824219,91.94999694824219,98.19999694824219,90.6500015258789,94.05000305175781,3134778,2021-06-07
2021-06-14,86.9000015258789,86.9000015258789,94.4000015258789,85.19999694824219,92.5999984741211,1643499,2021-06-14
2021-06-21,93.5,93.5,100.80000305175781,86.0,86.9000015258789,18012095,2021-06-21
2021-06-28,93.6500015258789,93.6500015258789,98.3499984741211,92.1500015258789,95.4000015258789,4806264,2021-06-28
2021-07-05,94.8499984741211,94.8499984741211,101.44999694824219,93.69999694824219,94.44999694824219,5672754,2021-07-05
2021-07-12,106.30000305175781,106.30000305175781,109.4000015258789,95.5,95.94999694824219,9581919,2021-07-12
2021-07-19,103.1500015258789,103.1500015258789,110.75,101.0,104.80000305175781,4688646,2021-07-19
2021-07-26,105.80000305175781,105.80000305175781,108.25,98.1500015258789,104.4000015258789,4078801,2021-07-26
2021-08-02,101.1500015258789,101.1500015258789,114.4000015258789,99.1500015258789,107.55000305175781,5858800,2021-08-02
2021-08-09,96.8499984741211,96.8499984741211,104.0,90.55000305175781,102.30000305175781,1571772,2021-08-09
2021-08-16,91.5,91.5,97.44999694824219,90.5999984741211,96.8499984741211,555880,2021-08-16
2021-08-23,92.0999984741211,92.0999984741211,93.5999984741211,85.30000305175781,92.5,765221,2021-08-23
2021-08-30,90.6500015258789,90.6500015258789,92.8499984741211,81.5999984741211,92.1500015258789,660864,2021-08-30
2021-09-06,91.5,91.5,94.94999694824219,89.55000305175781,91.75,784599,2021-09-06
2021-09-13,100.75,100.75,103.44999694824219,91.0,92.6500015258789,2720919,2021-09-13
2021-09-20,103.25,103.25,115.6500015258789,95.80000305175781,99.0,9907826,2021-09-20
2021-09-27,106.30000305175781,106.30000305175781,112.9000015258789,103.5999984741211,107.69999694824219,4615371,2021-09-27
2021-10-04,105.75,105.75,110.4000015258789,103.19999694824219,106.9000015258789,2143321,2021-10-04
2021-10-11,103.6500015258789,103.6500015258789,107.9000015258789,103.5,105.5,1282711,2021-10-11
2021-10-18,100.5999984741211,100.5999984741211,106.9000015258789,96.3499984741211,105.0,1618376,2021-10-18
2021-10-25,100.30000305175781,100.30000305175781,105.5999984741211,96.9000015258789,101.4000015258789,1637200,2021-10-25
2021-11-01,117.30000305175781,117.30000305175781,119.0,101.0999984741211,102.5,5167183,2021-11-01
2021-11-08,119.94999694824219,119.94999694824219,125.4000015258789,111.0,119.05000305175781,6665954,2021-11-08
2021-11-15,110.6500015258789,110.6500015258789,121.69999694824219,108.94999694824219,119.80000305175781,1318295,2021-11-15
2021-11-22,101.4000015258789,101.4000015258789,111.80000305175781,100.69999694824219,111.5,1552768,2021-11-22
2021-11-29,98.0999984741211,98.0999984741211,100.80000305175781,93.5,100.0,1344013,2021-11-29
2021-12-06,101.6500015258789,101.6500015258789,103.5,94.44999694824219,98.0,1211552,2021-12-06
2021-12-13,93.30000305175781,93.30000305175781,103.69999694824219,92.25,103.4000015258789,941103,2021-12-13
2021-12-20,92.75,92.75,96.69999694824219,88.19999694824219,93.19999694824219,797824,2021-12-20
2021-12-27,93.05000305175781,93.05000305175781,95.25,91.30000305175781,91.30000305175781,575299,2021-12-27
2022-01-03,93.75,93.75,96.25,90.4000015258789,93.05000305175781,1159232,2022-01-03
2022-01-10,99.5999984741211,99.5999984741211,110.5,93.44999694824219,94.0,5724834,2022-01-10
2022-01-17,95.44999694824219,95.44999694824219,101.5999984741211,94.5999984741211,100.5,1397510,2022-01-17
2022-01-24,101.25,101.25,103.80000305175781,91.0,95.44999694824219,1237352,2022-01-24
2022-01-31,102.3499984741211,102.3499984741211,107.80000305175781,98.3499984741211,102.1500015258789,1937772,2022-01-31
2022-02-07,100.44999694824219,100.44999694824219,107.4000015258789,100.05000305175781,100.25,1077455,2022-02-07
2022-02-14,96.8499984741211,96.8499984741211,101.9000015258789,95.0999984741211,99.5999984741211,766380,2022-02-14
2022-02-21,93.25,93.25,99.0,87.0999984741211,97.0,898538,2022-02-21
2022-02-28,94.6500015258789,94.6500015258789,100.25,91.30000305175781,92.5999984741211,801684,2022-02-28
