Date,Adj Close_GALAXYSURF.NS,Close_GALAXYSURF.NS,High_GALAXYSURF.NS,Low_GALAXYSURF.NS,Open_GALAXYSURF.NS,Volume_GALAXYSURF.NS,Date
2020-07-13,1502.536865234375,1562.199951171875,1608.1500244140625,1540.0,1586.3499755859375,33704,2020-07-13
2020-07-20,1566.16064453125,1628.3499755859375,1654.8499755859375,1537.0,1555.0,154376,2020-07-20
2020-07-27,1558.754638671875,1620.6500244140625,1665.0,1584.0,1643.9000244140625,93363,2020-07-27
2020-08-03,1635.36279296875,1700.300048828125,1734.449951171875,1601.0,1619.0999755859375,261300,2020-08-03
2020-08-10,1746.1148681640625,1815.449951171875,1949.5,1705.3499755859375,1710.0,716929,2020-08-10
2020-08-17,1793.6763916015625,1864.9000244140625,1919.0,1806.4000244140625,1875.0,168564,2020-08-17
2020-08-24,1760.2535400390625,1830.1500244140625,1896.0,1788.0,1885.0,167175,2020-08-24
2020-08-31,1725.62841796875,1794.1500244140625,1848.949951171875,1684.8499755859375,1830.0,131801,2020-08-31
2020-09-07,1714.0869140625,1782.1500244140625,1867.6500244140625,1751.4000244140625,1819.0,75582,2020-09-07
2020-09-14,1911.7864990234375,1987.699951171875,2039.8499755859375,1825.050048828125,1840.0,305584,2020-09-14
2020-09-21,1751.1163330078125,1820.6500244140625,2000.0,1715.0999755859375,1999.949951171875,97613,2020-09-21
2020-09-28,1810.7484130859375,1882.6500244140625,1932.0,1790.0,1838.0,78524,2020-09-28
2020-10-05,1755.5888671875,1825.300048828125,1915.0,1815.0,1889.0,49332,2020-10-05
2020-10-12,1651.2806396484375,1716.8499755859375,1853.9000244140625,1712.0,1825.300048828125,72775,2020-10-12
2020-10-19,1598.525390625,1662.0,1769.25,1609.25,1730.0,234851,2020-10-19
2020-10-26,1580.92431640625,1643.699951171875,1699.8499755859375,1606.550048828125,1662.0,67577,2020-10-26
2020-11-02,1690.9072265625,1758.050048828125,1820.0,1600.0,1660.0,91370,2020-11-02
