Date,Adj Close_APOLLOTYRE.NS,Close_APOLLOTYRE.NS,High_APOLLOTYRE.NS,Low_APOLLOTYRE.NS,Open_APOLLOTYRE.NS,Volume_APOLLOTYRE.NS,Date
2020-07-13,103.70824432373047,109.5,114.80000305175781,107.75,110.8499984741211,21182332,2020-07-13
2020-07-20,103.23468780517578,109.0,113.30000305175781,107.0,110.0,30467050,2020-07-20
2020-07-27,102.52435302734375,108.25,112.0,105.9000015258789,109.3499984741211,25480203,2020-07-27
2020-08-03,117.01510620117188,123.55000305175781,124.94999694824219,107.55000305175781,108.9000015258789,80737595,2020-08-03
2020-08-10,123.07657623291016,129.9499969482422,134.39999389648438,122.80000305175781,123.44999694824219,56182846,2020-08-10
2020-08-17,124.30782318115234,131.25,132.89999389648438,126.5,131.60000610351562,38963691,2020-08-17
2020-08-24,126.48617553710938,133.5500030517578,139.0,126.25,132.60000610351562,52310994,2020-08-24
2020-08-31,114.55261993408203,120.94999694824219,135.5,117.8499984741211,134.25,34636513,2020-08-31
2020-09-07,110.0538558959961,116.19999694824219,123.19999694824219,109.55000305175781,121.5999984741211,34457909,2020-09-07
2020-09-14,123.78690338134766,130.6999969482422,135.5500030517578,116.80000305175781,116.80000305175781,53528791,2020-09-14
2020-09-21,113.84229278564453,120.19999694824219,133.10000610351562,113.55000305175781,131.0,35821315,2020-09-21
2020-09-28,125.82318878173828,132.85000610351562,133.35000610351562,121.0,121.5,27802951,2020-09-28
2020-10-05,130.46401977539062,137.75,138.60000610351562,132.1999969482422,133.0,25595922,2020-10-05
2020-10-12,121.41913604736328,128.1999969482422,138.6999969482422,124.0999984741211,137.75,20360497,2020-10-12
2020-10-19,141.8766632080078,149.8000030517578,151.0,128.0500030517578,129.0,58625253,2020-10-19
2020-10-26,132.5002899169922,139.89999389648438,152.64999389648438,137.75,149.4499969482422,35833750,2020-10-26
2020-11-02,145.33360290527344,153.4499969482422,157.1999969482422,138.75,140.89999389648438,54492975,2020-11-02
2020-11-09,155.9412078857422,164.64999389648438,166.39999389648438,152.6999969482422,154.5,36124523,2020-11-09
2020-11-16,165.8858184814453,175.14999389648438,178.3000030517578,164.0,164.0,34737784,2020-11-16
2020-11-23,174.6939239501953,184.4499969482422,185.5,171.60000610351562,175.1999969482422,39016382,2020-11-23
2020-11-30,178.29293823242188,188.25,191.9499969482422,182.8000030517578,184.4499969482422,29555587,2020-11-30
2020-12-07,182.79168701171875,193.0,194.6999969482422,180.9499969482422,189.0,51146105,2020-12-07
2020-12-14,181.37103271484375,191.5,200.0,185.35000610351562,193.0,56871179,2020-12-14
2020-12-21,166.12258911132812,175.39999389648438,191.1999969482422,170.35000610351562,191.1999969482422,36504831,2020-12-21
2020-12-28,170.38458251953125,179.89999389648438,183.1999969482422,176.0,177.0,35792718,2020-12-28
2021-01-04,182.41285705566406,192.60000610351562,196.5500030517578,180.5,181.89999389648438,47018815,2021-01-04
2021-01-11,173.60476684570312,183.3000030517578,198.75,181.8000030517578,194.5,43747854,2021-01-11
2021-01-18,219.6341552734375,231.89999389648438,237.5,174.5,183.89999389648438,164457026,2021-01-18
2021-01-25,186.24862670898438,196.64999389648438,239.6999969482422,195.0,233.4499969482422,106159554,2021-01-25
2021-02-01,228.8211212158203,241.60000610351562,255.6999969482422,192.39999389648438,198.25,161034482,2021-02-01
2021-02-08,226.92689514160156,239.60000610351562,256.5,236.5500030517578,242.5,67967652,2021-02-08
2021-02-15,225.9324188232422,238.5500030517578,244.39999389648438,232.60000610351562,241.9499969482422,50269312,2021-02-15
2021-02-22,219.82359313964844,232.10000610351562,243.75,223.39999389648438,238.5500030517578,46635379,2021-02-22
2021-03-01,229.9102783203125,242.75,261.25,235.0,235.0,61978346,2021-03-01
2021-03-08,226.59539794921875,239.25,246.25,229.0500030517578,244.9499969482422,34823616,2021-03-08
2021-03-15,213.19383239746094,225.10000610351562,240.89999389648438,208.0,240.89999389648438,35394470,2021-03-15
2021-03-22,212.95706176757812,224.85000610351562,231.14999389648438,212.5,226.0,28410797,2021-03-22
2021-03-29,223.5646514892578,236.0500030517578,236.89999389648438,219.6999969482422,224.85000610351562,13537107,2021-03-29
2021-04-05,211.678466796875,223.5,234.35000610351562,219.75,234.25,27327409,2021-04-05
2021-04-12,197.70863342285156,208.75,219.89999389648438,202.5,219.89999389648438,33852788,2021-04-12
2021-04-19,191.12623596191406,201.8000030517578,208.5,198.5500030517578,199.9499969482422,21376140,2021-04-19
2021-04-26,204.9066619873047,216.35000610351562,223.60000610351562,199.75,203.64999389648438,50608090,2021-04-26
2021-05-03,202.96507263183594,214.3000030517578,226.25,209.39999389648438,213.0,41305014,2021-05-03
2021-05-10,197.04566955566406,208.0500030517578,226.89999389648438,204.5500030517578,216.5,53839501,2021-05-10
2021-05-17,205.85377502441406,217.35000610351562,219.0,206.4499969482422,210.0,35604722,2021-05-17
2021-05-24,211.77316284179688,223.60000610351562,228.6999969482422,215.5,218.75,26662731,2021-05-24
2021-05-31,218.40293884277344,230.60000610351562,234.3000030517578,218.5,224.64999389648438,25797535,2021-05-31
2021-06-07,226.12185668945312,238.75,243.0,230.64999389648438,231.0,32336030,2021-06-07
