Date,Adj Close_POLYCAB.NS,Close_POLYCAB.NS,High_POLYCAB.NS,Low_POLYCAB.NS,Open_POLYCAB.NS,Volume_POLYCAB.NS,Date
2020-07-13,799.9490356445312,822.4500122070312,834.4500122070312,801.5499877929688,812.5,450732,2020-07-13
2020-07-20,796.933837890625,819.3499755859375,858.0,800.0,828.9000244140625,1454995,2020-07-20
2020-07-27,797.8577880859375,820.2999877929688,835.9500122070312,800.0,822.9000244140625,1338191,2020-07-27
2020-08-03,819.40185546875,842.4500122070312,858.0,815.0,820.0,1121076,2020-08-03
2020-08-10,852.4717407226562,876.4500122070312,892.7999877929688,836.0,846.9500122070312,1966449,2020-08-10
2020-08-17,872.410888671875,896.9500122070312,918.0,880.0999755859375,882.8499755859375,1987123,2020-08-17
2020-08-24,875.6205444335938,900.25,939.0,864.2999877929688,903.9000244140625,2080077,2020-08-24
2020-08-31,841.9671630859375,865.6500244140625,913.0,844.0,907.0,917161,2020-08-31
2020-09-07,823.9732666015625,847.1500244140625,878.0,820.0,866.4000244140625,613779,2020-09-07
2020-09-14,855.6327514648438,879.7000122070312,910.0,855.0,859.9000244140625,919016,2020-09-14
2020-09-21,805.8333740234375,828.5,885.0,798.0,881.7000122070312,697616,2020-09-21
2020-09-28,797.7119750976562,820.1500244140625,857.9000244140625,806.2000122070312,836.0,408100,2020-09-28
2020-10-05,789.2499389648438,811.4500122070312,835.9500122070312,808.8499755859375,826.7999877929688,514604,2020-10-05
2020-10-12,784.873046875,806.9500122070312,826.9000244140625,800.9000244140625,813.2999877929688,436261,2020-10-12
2020-10-19,857.140380859375,881.25,888.0,801.6500244140625,807.0499877929688,1563672,2020-10-19
2020-10-26,895.510986328125,920.7000122070312,975.75,901.0499877929688,902.9000244140625,4819993,2020-10-26
2020-11-02,902.076416015625,927.4500122070312,950.0,905.0,920.0,1159471,2020-11-02
2020-11-09,906.9395141601562,932.4500122070312,945.0,913.2999877929688,927.4500122070312,972760,2020-11-09
2020-11-16,897.7482299804688,923.0,947.0,919.4500122070312,919.4500122070312,1351910,2020-11-16
2020-11-23,932.1796875,958.4000244140625,975.5999755859375,915.0,926.0,3650420,2020-11-23
2020-11-30,973.22509765625,1000.5999755859375,1005.0,950.6500244140625,958.4000244140625,5313445,2020-11-30
2020-12-07,1010.6232299804688,1039.050048828125,1046.0,982.0,1005.0,4518955,2020-12-07
2020-12-14,1012.7630615234375,1041.25,1069.800048828125,1012.0,1045.0,2212885,2020-12-14
2020-12-21,1027.74169921875,1056.6500244140625,1060.0,853.7999877929688,1038.0,1804454,2020-12-21
2020-12-28,1007.1216430664062,1035.449951171875,1064.800048828125,1023.5,1064.800048828125,712376,2020-12-28
