Date,Adj Close_KCP.NS,Close_KCP.NS,High_KCP.NS,Low_KCP.NS,Open_KCP.NS,Volume_KCP.NS,Date
2020-07-13,55.16073226928711,56.900001525878906,57.5,51.400001525878906,52.75,1129695,2020-07-13
2020-07-20,55.8878059387207,57.650001525878906,59.400001525878906,53.25,56.5,2134959,2020-07-20
2020-07-27,55.45155715942383,57.20000076293945,60.20000076293945,55.25,58.75,1458929,2020-07-27
2020-08-03,62.043697357177734,64.0,65.9000015258789,55.29999923706055,55.29999923706055,3344410,2020-08-03
2020-08-10,58.50526809692383,60.349998474121094,65.8499984741211,58.29999923706055,63.349998474121094,1310643,2020-08-10
2020-08-17,63.83715057373047,65.8499984741211,69.80000305175781,60.70000076293945,61.900001525878906,5315037,2020-08-17
2020-08-24,61.60745620727539,63.54999923706055,68.6500015258789,63.099998474121094,66.0999984741211,1751808,2020-08-24
2020-08-31,58.44370651245117,60.150001525878906,64.4000015258789,58.04999923706055,64.0,808354,2020-08-31
2020-09-07,62.9618034362793,64.80000305175781,66.25,56.349998474121094,64.55000305175781,4629895,2020-09-07
2020-09-14,59.31817626953125,61.04999923706055,65.75,60.79999923706055,65.0,1252455,2020-09-14
2020-09-21,57.034847259521484,58.70000076293945,62.25,56.25,61.0,500964,2020-09-21
2020-09-28,57.326332092285156,59.0,60.29999923706055,58.5,60.29999923706055,324214,2020-09-28
2020-10-05,61.21286392211914,63.0,68.94999694824219,58.099998474121094,59.0,8467518,2020-10-05
2020-10-12,61.067115783691406,62.849998474121094,64.9000015258789,60.400001525878906,63.04999923706055,2330649,2020-10-12
2020-10-19,67.43132019042969,69.4000015258789,72.0,62.45000076293945,63.04999923706055,3812728,2020-10-19
2020-10-26,63.69052505493164,65.55000305175781,69.9000015258789,63.70000076293945,69.0999984741211,989653,2020-10-26
2020-11-02,65.97386932373047,67.9000015258789,68.94999694824219,63.400001525878906,65.5999984741211,951575,2020-11-02
2020-11-09,68.25719451904297,70.25,71.0,66.4000015258789,68.0,3177424,2020-11-09
2020-11-16,67.38273620605469,69.3499984741211,72.69999694824219,67.25,68.8499984741211,2581219,2020-11-16
2020-11-23,68.5972671508789,70.5999984741211,71.94999694824219,68.5,70.19999694824219,1838276,2020-11-23
2020-11-30,73.8926773071289,76.05000305175781,77.94999694824219,70.1500015258789,70.5999984741211,6891338,2020-11-30
2020-12-07,68.30577850341797,70.30000305175781,77.30000305175781,69.0,76.80000305175781,2621990,2020-12-07
2020-12-14,69.90897369384766,71.94999694824219,74.94999694824219,69.69999694824219,70.94999694824219,2301154,2020-12-14
2020-12-21,66.45967864990234,68.4000015258789,72.80000305175781,65.05000305175781,71.94999694824219,1166024,2020-12-21
2020-12-28,70.54054260253906,72.5999984741211,74.6500015258789,68.75,69.5,1624469,2020-12-28
2021-01-04,72.96961975097656,75.0999984741211,77.8499984741211,72.0,72.19999694824219,2613391,2021-01-04
2021-01-11,67.18840789794922,69.1500015258789,75.3499984741211,69.0,75.0999984741211,1278504,2021-01-11
2021-01-18,68.79159545898438,70.80000305175781,73.75,68.19999694824219,69.0,977068,2021-01-18
2021-01-25,67.52848052978516,69.5,72.9000015258789,69.19999694824219,71.30000305175781,612857,2021-01-25
2021-02-01,76.66181945800781,78.9000015258789,82.4000015258789,69.19999694824219,70.8499984741211,5580353,2021-02-01
2021-02-08,74.03841400146484,76.19999694824219,79.44999694824219,67.19999694824219,78.9000015258789,1946260,2021-02-08
2021-02-15,73.21253204345703,75.3499984741211,77.1500015258789,73.6500015258789,76.69999694824219,1555394,2021-02-15
