Date,Adj Close_TTL.NS,Close_TTL.NS,High_TTL.NS,Low_TTL.NS,Open_TTL.NS,Volume_TTL.NS,Date
2020-07-13,2.8669140338897705,2.9000000953674316,3.0399999618530273,2.805000066757202,3.0399999618530273,150680,2020-07-13
2020-07-20,3.0349743366241455,3.069999933242798,3.1449999809265137,2.809999942779541,2.865000009536743,663230,2020-07-20
2020-07-27,2.990487813949585,3.0250000953674316,3.190000057220459,2.9100000858306885,3.0950000286102295,740350,2020-07-27
2020-08-03,3.326608657836914,3.365000009536743,3.5999999046325684,2.924999952316284,3.0250000953674316,1438760,2020-08-03
2020-08-10,3.3809814453125,3.4200000762939453,3.680000066757202,3.130000114440918,3.4749999046325684,1086000,2020-08-10
2020-08-17,3.70227313041687,3.744999885559082,3.7750000953674316,3.3450000286102295,3.444999933242798,1020580,2020-08-17
2020-08-24,3.692387342453003,3.734999895095825,3.9800000190734863,3.555000066757202,3.555000066757202,837760,2020-08-24
2020-08-31,3.430410861968994,3.4700000286102295,3.740000009536743,3.319999933242798,3.740000009536743,227090,2020-08-31
2020-09-07,3.5688135623931885,3.609999895095825,3.9000000953674316,3.4049999713897705,3.4700000286102295,414640,2020-09-07
2020-09-14,3.5836424827575684,3.625,3.805000066757202,3.555000066757202,3.690000057220459,182080,2020-09-14
2020-09-21,3.2821221351623535,3.319999933242798,3.640000104904175,3.259999990463257,3.619999885559082,276790,2020-09-21
2020-09-28,3.3216657638549805,3.359999895095825,3.5,3.200000047683716,3.319999933242798,72860,2020-09-28
2020-10-05,3.366152286529541,3.4049999713897705,3.9700000286102295,3.315000057220459,3.365000009536743,361550,2020-10-05
2020-10-12,3.2672934532165527,3.305000066757202,3.5450000762939453,3.299999952316284,3.3949999809265137,216390,2020-10-12
2020-10-19,3.4650115966796875,3.505000114440918,3.5950000286102295,3.3350000381469727,3.3450000286102295,356100,2020-10-19
2020-10-26,3.8802196979522705,3.924999952316284,4.105000019073486,3.565000057220459,3.684999942779541,1093190,2020-10-26
2020-11-02,3.8555049896240234,3.9000000953674316,4.099999904632568,3.7249999046325684,4.0,554260,2020-11-02
2020-11-09,3.909877300262451,3.9549999237060547,4.005000114440918,3.615000009536743,3.825000047683716,321210,2020-11-09
2020-11-16,4.1669111251831055,4.215000152587891,4.324999809265137,3.7100000381469727,3.7100000381469727,970990,2020-11-16
2020-11-23,4.206454753875732,4.255000114440918,4.445000171661377,4.019999980926514,4.15500020980835,1061420,2020-11-23
2020-11-30,4.419001579284668,4.46999979019165,4.599999904632568,4.210000038146973,4.255000114440918,1439000,2020-11-30
2020-12-07,4.339914321899414,4.389999866485596,4.650000095367432,4.235000133514404,4.5,763600,2020-12-07
2020-12-14,4.779837608337402,4.835000038146973,5.244999885559082,4.230000019073486,4.414999961853027,3603220,2020-12-14
2020-12-21,4.636491775512695,4.690000057220459,4.989999771118164,4.260000228881836,4.989999771118164,1073060,2020-12-21
2020-12-28,5.254361152648926,5.315000057220459,6.260000228881836,4.635000228881836,4.900000095367432,8885400,2020-12-28
2021-01-04,5.106072425842285,5.164999961853027,5.699999809265137,5.119999885559082,5.480000019073486,1442610,2021-01-04
2021-01-11,4.9973273277282715,5.054999828338623,5.40500020980835,4.945000171661377,5.269999980926514,729360,2021-01-11
2021-01-18,4.898468494415283,4.954999923706055,5.284999847412109,4.724999904632568,5.005000114440918,705490,2021-01-18
2021-01-25,4.903411388397217,4.960000038146973,5.090000152587891,4.659999847412109,5.090000152587891,370880,2021-01-25
2021-02-01,4.829267501831055,4.885000228881836,5.179999828338623,4.724999904632568,4.724999904632568,469730,2021-02-01
2021-02-08,4.720522403717041,4.775000095367432,5.28000020980835,4.75,4.875,473180,2021-02-08
2021-02-15,4.735351085662842,4.789999961853027,5.0,4.679999828338623,4.804999828338623,416290,2021-02-15
2021-02-22,4.46843147277832,4.519999980926514,4.900000095367432,4.400000095367432,4.619999885559082,433970,2021-02-22
2021-03-01,4.883639812469482,4.940000057220459,5.699999809265137,4.409999847412109,4.695000171661377,3035210,2021-03-01
2021-03-08,4.735351085662842,4.789999961853027,5.175000190734863,4.619999885559082,5.175000190734863,549000,2021-03-08
2021-03-15,4.4931464195251465,4.545000076293945,5.244999885559082,4.40500020980835,4.769999980926514,824040,2021-03-15
2021-03-22,4.6612067222595215,4.715000152587891,4.989999771118164,4.599999904632568,4.679999828338623,690990,2021-03-22
2021-03-29,4.616720199584961,4.670000076293945,4.760000228881836,4.454999923706055,4.715000152587891,311220,2021-03-29
2021-04-05,4.750179767608643,4.804999828338623,4.949999809265137,4.545000076293945,4.695000171661377,415180,2021-04-05
2021-04-12,4.433830738067627,4.485000133514404,4.800000190734863,4.400000095367432,4.789999961853027,176820,2021-04-12
2021-04-19,4.1669111251831055,4.215000152587891,4.474999904632568,4.119999885559082,4.244999885559082,159410,2021-04-19
2021-04-26,4.636491775512695,4.690000057220459,5.190000057220459,4.215000152587891,4.21999979019165,1747050,2021-04-26
2021-05-03,4.7897233963012695,4.84499979019165,5.144999980926514,4.465000152587891,4.65500020980835,889450,2021-05-03
2021-05-10,4.9726128578186035,5.03000020980835,5.670000076293945,4.800000190734863,4.965000152587891,5346690,2021-05-10
2021-05-17,5.234589576721191,5.295000076293945,5.579999923706055,4.809999942779541,5.005000114440918,2531870,2021-05-17
