Date,Adj Close_QPOWER.NS,Close_QPOWER.NS,High_QPOWER.NS,Low_QPOWER.NS,Open_QPOWER.NS,Volume_QPOWER.NS,Date
2025-02-24,377.6000061035156,377.6000061035156,430.75,370.5,430.0,18343602,2025-02-24
2025-03-03,361.1000061035156,361.1000061035156,384.29998779296875,336.0,377.5,5752243,2025-03-03
2025-03-10,329.8500061035156,329.8500061035156,369.0,326.79998779296875,361.1000061035156,1712749,2025-03-10
2025-03-17,352.3500061035156,352.3500061035156,364.6499938964844,302.70001220703125,325.0,1878050,2025-03-17
2025-03-24,318.5,318.5,354.0,314.3999938964844,354.0,2902806,2025-03-24
2025-03-31,302.70001220703125,302.70001220703125,321.3500061035156,300.6499938964844,318.5,727351,2025-03-31
2025-04-07,307.25,307.25,315.0,267.79998779296875,280.0,1563554,2025-04-07
2025-04-14,349.70001220703125,349.70001220703125,356.0,307.25,307.25,1693967,2025-04-14
2025-04-21,341.3999938964844,341.3999938964844,378.95001220703125,338.0,369.8999938964844,2539454,2025-04-21
2025-04-28,346.29998779296875,346.29998779296875,358.1499938964844,336.1000061035156,344.70001220703125,907908,2025-04-28
2025-05-05,343.54998779296875,343.54998779296875,379.75,330.1000061035156,343.0,2275440,2025-05-05
2025-05-12,367.70001220703125,367.70001220703125,393.0,349.0,354.8999938964844,7605020,2025-05-12
2025-05-19,427.95001220703125,427.95001220703125,435.0,359.1000061035156,371.8999938964844,14493441,2025-05-19
2025-05-26,481.8999938964844,481.8999938964844,494.45001220703125,416.20001220703125,426.0,15054016,2025-05-26
2025-06-02,472.0,472.0,488.79998779296875,456.20001220703125,485.04998779296875,4519182,2025-06-02
2025-06-09,502.04998779296875,502.04998779296875,529.9000244140625,475.0,480.0,8497134,2025-06-09
2025-06-16,572.3499755859375,572.3499755859375,584.9000244140625,490.3500061035156,506.1000061035156,6400576,2025-06-16
2025-06-23,695.4000244140625,695.4000244140625,727.5,554.75,562.5,11063039,2025-06-23
2025-06-30,718.5,718.5,743.4500122070312,645.0999755859375,697.0,6003470,2025-06-30
2025-07-07,776.75,776.75,831.9500122070312,708.0,714.8499755859375,16430191,2025-07-07
2025-07-14,774.25,774.25,805.0,765.8499755859375,772.0499877929688,2347472,2025-07-14
