Date,Adj Close_SUMEETINDS.NS,Close_SUMEETINDS.NS,High_SUMEETINDS.NS,Low_SUMEETINDS.NS,Open_SUMEETINDS.NS,Volume_SUMEETINDS.NS,Date
2020-07-13,39.0,39.0,46.0,39.0,43.0,7608,2020-07-13
2020-07-20,41.0,41.0,42.0,37.0,38.0,10249,2020-07-20
2020-07-27,36.0,36.0,43.0,36.0,42.0,15700,2020-07-27
2020-08-03,33.0,33.0,37.0,33.0,35.0,11095,2020-08-03
2020-08-10,38.0,38.0,38.0,32.0,34.0,11158,2020-08-10
2020-08-17,46.0,46.0,46.0,39.0,39.0,10029,2020-08-17
2020-08-24,54.0,54.0,56.0,48.0,48.0,33646,2020-08-24
2020-08-31,44.0,44.0,54.0,44.0,54.0,2369,2020-08-31
2020-09-07,40.0,40.0,46.0,38.0,42.0,12304,2020-09-07
2020-09-14,42.0,42.0,44.0,38.0,42.0,31828,2020-09-14
2020-09-21,39.0,39.0,44.0,37.0,43.0,13877,2020-09-21
2020-09-28,40.0,40.0,40.0,37.0,40.0,12293,2020-09-28
2020-10-05,50.0,50.0,50.0,39.0,42.0,26131,2020-10-05
2020-10-12,48.0,48.0,52.0,43.0,52.0,22782,2020-10-12
2020-10-19,46.0,46.0,50.0,40.0,50.0,14189,2020-10-19
2020-10-26,43.0,43.0,48.0,42.0,47.0,9612,2020-10-26
2020-11-02,39.0,39.0,45.0,38.0,41.0,9879,2020-11-02
2020-11-09,43.0,43.0,43.0,37.0,40.0,6719,2020-11-09
2020-11-16,41.0,41.0,45.0,40.0,41.0,16511,2020-11-16
2020-11-23,39.0,39.0,43.0,38.0,40.0,30855,2020-11-23
2020-11-30,43.0,43.0,43.0,38.0,39.0,17601,2020-11-30
2020-12-07,52.0,52.0,57.0,43.0,47.0,73570,2020-12-07
2020-12-14,52.0,52.0,54.0,49.0,52.0,31548,2020-12-14
2020-12-21,52.0,52.0,53.0,46.0,52.0,7483,2020-12-21
2020-12-28,63.0,63.0,63.0,54.0,54.0,6621,2020-12-28
2021-01-04,72.0,72.0,72.0,66.0,66.0,3207,2021-01-04
2021-01-11,75.0,75.0,75.0,69.0,69.0,32051,2021-01-11
2021-01-18,75.0,75.0,77.0,72.0,75.0,19855,2021-01-18
2021-01-25,74.0,74.0,76.0,72.0,76.0,4067,2021-01-25
2021-02-01,71.0,71.0,76.0,71.0,76.0,2379,2021-02-01
2021-02-08,68.0,68.0,70.0,68.0,68.0,12792,2021-02-08
2021-02-15,65.0,65.0,66.0,65.0,66.0,285,2021-02-15
2021-02-22,62.0,62.0,62.0,62.0,62.0,5863,2021-02-22
2021-03-01,59.0,59.0,59.0,59.0,59.0,989,2021-03-01
2021-03-08,59.0,59.0,65.0,57.0,57.0,28091,2021-03-08
2021-03-15,70.0,70.0,70.0,57.0,59.0,13649,2021-03-15
2021-03-22,86.0,86.0,86.0,73.0,73.0,13785,2021-03-22
