Date,Adj Close_BASF.NS,Close_BASF.NS,High_BASF.NS,Low_BASF.NS,Open_BASF.NS,Volume_BASF.NS,Date
2020-07-13,1294.4478759765625,1307.3499755859375,1354.0,1263.0,1353.0,342684,2020-07-13
2020-07-20,1326.627197265625,1339.8499755859375,1388.0,1303.449951171875,1313.9000244140625,304513,2020-07-20
2020-07-27,1322.6241455078125,1332.8499755859375,1357.0,1312.0,1339.8499755859375,184130,2020-07-27
2020-08-03,1315.5289306640625,1325.699951171875,1469.5,1310.25,1338.949951171875,825110,2020-08-03
2020-08-10,1273.8511962890625,1283.699951171875,1343.9000244140625,1266.25,1343.9000244140625,316736,2020-08-10
2020-08-17,1607.4222412109375,1619.8499755859375,1619.8499755859375,1272.0,1295.0,916949,2020-08-17
2020-08-24,1547.0888671875,1559.050048828125,1875.0,1550.0,1694.0,1882486,2020-08-24
2020-08-31,1476.3358154296875,1487.75,1613.5999755859375,1450.050048828125,1563.0,305298,2020-08-31
2020-09-07,1439.0242919921875,1450.1500244140625,1511.800048828125,1411.0,1497.75,206714,2020-09-07
2020-09-14,1500.7470703125,1512.3499755859375,1600.0,1459.6500244140625,1477.0,721267,2020-09-14
2020-09-21,1386.1827392578125,1396.9000244140625,1548.300048828125,1380.050048828125,1525.9000244140625,141609,2020-09-21
2020-09-28,1531.707763671875,1543.550048828125,1560.0,1406.0,1423.6500244140625,201436,2020-09-28
2020-10-05,1481.495849609375,1492.949951171875,1559.0,1481.0,1535.25,98584,2020-10-05
2020-10-12,1401.8118896484375,1412.6500244140625,1510.0,1327.5,1493.0,79313,2020-10-12
2020-10-19,1388.5643310546875,1399.300048828125,1438.0,1348.9000244140625,1401.0,141188,2020-10-19
2020-10-26,1352.344482421875,1362.800048828125,1424.949951171875,1335.800048828125,1409.949951171875,52590,2020-10-26
2020-11-02,1479.6104736328125,1491.050048828125,1557.449951171875,1320.050048828125,1365.25,644477,2020-11-02
2020-11-09,1506.7506103515625,1518.4000244140625,1555.0,1456.550048828125,1499.0,259703,2020-11-09
2020-11-16,1531.707763671875,1543.550048828125,1574.0,1469.949951171875,1506.550048828125,233052,2020-11-16
2020-11-23,1643.4437255859375,1656.1500244140625,1684.0,1532.1500244140625,1560.0,388261,2020-11-23
2020-11-30,1620.4713134765625,1633.0,1695.0,1614.0,1656.1500244140625,107084,2020-11-30
2020-12-07,1596.804443359375,1609.1500244140625,1659.5999755859375,1591.8499755859375,1608.0,102030,2020-12-07
2020-12-14,1614.9144287109375,1627.4000244140625,1699.0,1565.0,1611.1500244140625,208860,2020-12-14
2020-12-21,1572.194580078125,1584.3499755859375,1650.0,1486.300048828125,1625.0,95598,2020-12-21
2020-12-28,1615.90673828125,1628.4000244140625,1664.449951171875,1540.0,1540.0,198607,2020-12-28
2021-01-04,1695.3922119140625,1708.5,1773.949951171875,1610.0,1622.0,504346,2021-01-04
2021-01-11,1614.7159423828125,1627.199951171875,1744.0,1620.0,1717.0,167642,2021-01-11
2021-01-18,1616.4029541015625,1628.9000244140625,1694.25,1568.8499755859375,1627.0,192615,2021-01-18
2021-01-25,1549.5198974609375,1561.5,1650.0,1550.0,1649.699951171875,54910,2021-01-25
