Date,Adj Close_MODISONLTD.NS,Close_MODISONLTD.NS,High_MODISONLTD.NS,Low_MODISONLTD.NS,Open_MODISONLTD.NS,Volume_MODISONLTD.NS,Date
2021-09-20,66.90785217285156,70.6500015258789,73.4000015258789,66.80000305175781,72.75,200161,2021-09-20
2021-09-27,67.19196319580078,70.94999694824219,72.94999694824219,69.4000015258789,70.5,170895,2021-09-27
2021-10-04,69.13338470458984,73.0,75.6500015258789,70.6500015258789,70.9000015258789,293832,2021-10-04
2021-10-11,67.80753326416016,71.5999984741211,77.0,71.19999694824219,74.0,182804,2021-10-11
2021-10-18,65.77141571044922,69.44999694824219,73.80000305175781,68.0,72.0,250180,2021-10-18
2021-10-25,63.49854278564453,67.05000305175781,73.0,66.0,69.44999694824219,134777,2021-10-25
2021-11-01,69.65425872802734,73.55000305175781,74.4000015258789,66.05000305175781,69.0,299667,2021-11-01
2021-11-08,72.02183532714844,76.05000305175781,83.0999984741211,71.4000015258789,74.0,1127355,2021-11-08
2021-11-15,65.72406768798828,69.4000015258789,77.5,69.0,76.9000015258789,163903,2021-11-15
2021-11-22,66.67108917236328,70.4000015258789,74.0,67.44999694824219,69.5,235912,2021-11-22
2021-11-29,75.85731506347656,80.0999984741211,84.75,67.19999694824219,68.0,757101,2021-11-29
2021-12-06,89.02108001708984,94.0,104.9000015258789,78.9000015258789,80.80000305175781,3479187,2021-12-06
2021-12-13,81.11334991455078,85.6500015258789,98.80000305175781,84.0,94.0,673408,2021-12-13
2021-12-20,74.81558227539062,79.0,85.3499984741211,76.30000305175781,84.0,445680,2021-12-20
2021-12-27,79.55074310302734,84.0,86.4000015258789,77.69999694824219,79.0,313340,2021-12-27
2022-01-03,82.67596435546875,87.30000305175781,92.44999694824219,80.6500015258789,84.80000305175781,587149,2022-01-03
2022-01-10,86.65349578857422,91.5,94.8499984741211,85.94999694824219,90.6500015258789,677702,2022-01-10
2022-01-17,84.66472625732422,89.4000015258789,93.9000015258789,88.0999984741211,93.4000015258789,362830,2022-01-17
2022-01-24,79.92955780029297,84.4000015258789,89.94999694824219,79.94999694824219,89.0,305067,2022-01-24
2022-01-31,85.2802963256836,90.05000305175781,93.4000015258789,83.5,85.9000015258789,282257,2022-01-31
2022-02-07,80.21366119384766,84.69999694824219,93.0,82.30000305175781,90.05000305175781,401446,2022-02-07
2022-02-14,70.60128784179688,74.55000305175781,82.30000305175781,74.05000305175781,79.9000015258789,393520,2022-02-14
2022-02-21,66.86050415039062,70.5999984741211,76.0,64.94999694824219,74.94999694824219,280351,2022-02-21
2022-02-28,68.18702697753906,71.0,75.05000305175781,59.400001525878906,59.400001525878906,133678,2022-02-28
2022-03-07,70.20381927490234,73.0999984741211,76.0,66.69999694824219,71.1500015258789,118565,2022-03-07
2022-03-14,69.48353576660156,72.3499984741211,75.0,67.25,71.6500015258789,131000,2022-03-14
2022-03-21,69.24343872070312,72.0999984741211,74.94999694824219,69.55000305175781,73.80000305175781,244301,2022-03-21
2022-03-28,68.90731048583984,71.75,72.55000305175781,65.05000305175781,72.44999694824219,472063,2022-03-28
2022-04-04,72.31666564941406,75.30000305175781,78.0,71.0,73.8499984741211,251874,2022-04-04
2022-04-11,71.21222686767578,74.1500015258789,76.69999694824219,71.0999984741211,76.69999694824219,89267,2022-04-11
2022-04-18,69.81965637207031,72.69999694824219,77.4000015258789,70.25,74.1500015258789,280568,2022-04-18
2022-04-25,68.811279296875,71.6500015258789,73.69999694824219,69.5999984741211,72.69999694824219,171653,2022-04-25
2022-05-02,65.83409118652344,68.55000305175781,71.9000015258789,67.3499984741211,71.6500015258789,139269,2022-05-02
2022-05-09,59.06340408325195,61.5,73.0,59.5,73.0,181491,2022-05-09
2022-05-16,64.63361358642578,67.30000305175781,70.25,62.25,65.0,178150,2022-05-16
2022-05-23,59.015384674072266,61.45000076293945,68.5,59.099998474121094,68.0999984741211,153034,2022-05-23
2022-05-30,61.9925651550293,64.55000305175781,66.8499984741211,60.400001525878906,63.0,126461,2022-05-30
2022-06-06,58.487178802490234,60.900001525878906,65.4000015258789,59.650001525878906,65.4000015258789,90322,2022-06-06
2022-06-13,52.004608154296875,54.150001525878906,63.900001525878906,53.20000076293945,61.5,102982,2022-06-13
2022-06-20,50.99620819091797,53.099998474121094,55.75,49.54999923706055,55.75,75552,2022-06-20
2022-06-27,53.4451789855957,55.650001525878906,57.349998474121094,52.5,54.25,77945,2022-06-27
2022-07-04,57.910945892333984,60.29999923706055,60.900001525878906,54.0,56.45000076293945,64841,2022-07-04
2022-07-11,54.98178482055664,57.25,61.0,56.20000076293945,61.0,55034,2022-07-11
2022-07-18,66.2662582397461,69.0,75.5999984741211,57.25,57.25,278428,2022-07-18
2022-07-25,63.19304275512695,65.80000305175781,70.5,62.20000076293945,69.9000015258789,110398,2022-07-25
2022-08-01,60.69605255126953,63.20000076293945,67.05000305175781,62.0,67.05000305175781,140735,2022-08-01
2022-08-08,64.44154357910156,67.0999984741211,70.94999694824219,61.04999923706055,61.349998474121094,191231,2022-08-08
2022-08-15,64.34550476074219,67.0,71.5,65.80000305175781,67.0999984741211,114093,2022-08-15
2022-08-22,65.8821029663086,68.5999984741211,70.8499984741211,62.54999923706055,67.0,130274,2022-08-22
2022-08-29,66.07418823242188,68.80000305175781,71.0,64.44999694824219,68.5999984741211,149274,2022-08-29
2022-09-05,63.81728744506836,66.44999694824219,70.9000015258789,65.80000305175781,69.5,128513,2022-09-05
2022-09-12,67.41871643066406,70.19999694824219,75.80000305175781,65.6500015258789,68.0,684878,2022-09-12
2022-09-19,68.47514343261719,71.30000305175781,81.1500015258789,68.44999694824219,70.0,494314,2022-09-19
2022-09-26,69.48353576660156,72.3499984741211,76.94999694824219,65.55000305175781,70.44999694824219,491063,2022-09-26
2022-10-03,70.29985809326172,73.19999694824219,74.9000015258789,69.69999694824219,72.1500015258789,220054,2022-10-03
2022-10-10,69.29145812988281,72.1500015258789,74.0999984741211,69.25,73.19999694824219,160497,2022-10-10
2022-10-17,69.91570281982422,72.80000305175781,76.75,69.69999694824219,70.25,283583,2022-10-17
2022-10-24,70.29985809326172,73.19999694824219,74.80000305175781,72.0,72.0,85776,2022-10-24
2022-10-31,70.68401336669922,73.5999984741211,74.9000015258789,72.0,73.19999694824219,143088,2022-10-31
2022-11-07,61.70445251464844,64.25,77.0,62.5,74.3499984741211,520833,2022-11-07
2022-11-14,60.88813018798828,63.400001525878906,64.8499984741211,62.0,63.0,138063,2022-11-14
2022-11-21,58.775291442871094,61.20000076293945,63.95000076293945,59.45000076293945,62.54999923706055,137924,2022-11-21
2022-11-28,62.32870101928711,64.9000015258789,65.25,61.0,62.70000076293945,167057,2022-11-28
2022-12-05,65.49795532226562,68.19999694824219,69.8499984741211,65.30000305175781,65.4000015258789,192325,2022-12-05
2022-12-12,65.16181945800781,67.8499984741211,69.9000015258789,66.69999694824219,68.19999694824219,130579,2022-12-12
2022-12-19,62.71285629272461,65.30000305175781,74.0,65.1500015258789,67.19999694824219,284058,2022-12-19
2022-12-26,63.337093353271484,65.94999694824219,70.8499984741211,65.0,65.0,129993,2022-12-26
2023-01-02,64.68163299560547,67.3499984741211,69.8499984741211,66.0999984741211,66.4000015258789,79411,2023-01-02
2023-01-09,65.49795532226562,68.19999694824219,71.25,65.80000305175781,66.0,114633,2023-01-09
2023-01-16,65.2098388671875,67.9000015258789,71.0,66.30000305175781,66.30000305175781,91906,2023-01-16
2023-01-23,62.66482925415039,65.25,68.75,64.05000305175781,68.0,66863,2023-01-23
2023-01-30,62.856910705566406,65.44999694824219,68.1500015258789,64.3499984741211,66.80000305175781,109510,2023-01-30
2023-02-06,60.359920501708984,62.849998474121094,67.9000015258789,60.400001525878906,65.5,180802,2023-02-06
2023-02-13,55.89414596557617,58.20000076293945,64.0,56.0,62.849998474121094,136573,2023-02-13
2023-02-20,56.326324462890625,58.650001525878906,60.400001525878906,56.29999923706055,59.95000076293945,74198,2023-02-20
2023-02-27,61.27227783203125,63.79999923706055,66.0,58.95000076293945,60.79999923706055,201040,2023-02-27
2023-03-06,60.50397872924805,63.0,66.44999694824219,61.650001525878906,66.44999694824219,51514,2023-03-06
2023-03-13,56.95056915283203,59.29999923706055,63.20000076293945,58.0,62.70000076293945,92003,2023-03-13
2023-03-20,53.973392486572266,56.20000076293945,59.900001525878906,54.95000076293945,59.0,136721,2023-03-20
2023-03-27,51.33234405517578,53.45000076293945,57.400001525878906,50.099998474121094,56.349998474121094,220928,2023-03-27
2023-04-03,55.654056549072266,57.95000076293945,60.599998474121094,54.29999923706055,54.599998474121094,54213,2023-04-03
2023-04-10,56.518394470214844,58.849998474121094,59.95000076293945,56.0,56.54999923706055,80063,2023-04-10
2023-04-17,61.12822341918945,63.650001525878906,65.0,57.349998474121094,58.0,203486,2023-04-17
2023-04-24,59.879730224609375,62.349998474121094,66.0,60.0,65.0,111136,2023-04-24
2023-05-01,57.718868255615234,60.099998474121094,62.349998474121094,59.099998474121094,62.349998474121094,127735,2023-05-01
2023-05-08,67.51475524902344,70.30000305175781,73.9000015258789,59.099998474121094,59.099998474121094,1235597,2023-05-08
2023-05-15,69.48353576660156,72.3499984741211,76.0,68.94999694824219,69.0999984741211,398952,2023-05-15
2023-05-22,64.87371063232422,67.55000305175781,77.80000305175781,65.5999984741211,73.25,368945,2023-05-22
2023-05-29,67.274658203125,70.05000305175781,72.4000015258789,66.25,70.80000305175781,247370,2023-05-29
2023-06-05,70.3478775024414,73.25,76.0,70.25,70.30000305175781,334903,2023-06-05
2023-06-12,69.38749694824219,72.25,75.8499984741211,71.05000305175781,75.8499984741211,207857,2023-06-12
2023-06-19,66.12220764160156,68.8499984741211,74.9000015258789,68.0999984741211,73.80000305175781,196253,2023-06-19
2023-06-26,67.9469223022461,70.75,73.69999694824219,67.8499984741211,67.8499984741211,190205,2023-06-26
2023-07-03,68.66720581054688,71.5,75.0,68.80000305175781,70.75,299680,2023-07-03
2023-07-10,79.0393295288086,82.30000305175781,83.9000015258789,71.55000305175781,73.5,825747,2023-07-10
2023-07-17,89.02727508544922,92.69999694824219,94.30000305175781,82.5,82.9000015258789,2097024,2023-07-17
2023-07-24,84.77526092529297,87.19999694824219,94.0,86.3499984741211,93.5999984741211,645224,2023-07-24
2023-07-31,78.45600128173828,80.69999694824219,95.8499984741211,79.0,88.05000305175781,899389,2023-07-31
2023-08-07,74.56723022460938,76.69999694824219,83.3499984741211,75.5,83.3499984741211,314248,2023-08-07
2023-08-14,73.98391723632812,76.0999984741211,77.9000015258789,70.25,76.69999694824219,304098,2023-08-14
2023-08-21,74.6644515991211,76.80000305175781,79.0,75.30000305175781,78.0999984741211,121595,2023-08-21
2023-08-28,75.63665008544922,77.80000305175781,80.55000305175781,75.9000015258789,75.9000015258789,108689,2023-08-28
2023-09-04,79.6712417602539,81.94999694824219,84.5,77.0,77.80000305175781,213978,2023-09-04
2023-09-11,76.46300506591797,78.6500015258789,84.05000305175781,75.0999984741211,82.0,119917,2023-09-11
2023-09-18,74.95610809326172,77.0999984741211,80.0,75.0,77.80000305175781,89864,2023-09-18
2023-09-25,75.15054321289062,77.30000305175781,82.94999694824219,76.0,78.6500015258789,108922,2023-09-25
2023-10-02,77.09494018554688,79.30000305175781,81.80000305175781,76.05000305175781,77.30000305175781,70765,2023-10-02
2023-10-09,78.5046157836914,80.75,82.0,75.4000015258789,78.5,163818,2023-10-09
2023-10-16,77.629638671875,79.8499984741211,82.94999694824219,78.5999984741211,80.75,114475,2023-10-16
2023-10-23,75.34498596191406,77.5,79.8499984741211,72.55000305175781,79.8499984741211,127977,2023-10-23
2023-10-30,85.69884490966797,88.1500015258789,89.5,76.55000305175781,78.75,517403,2023-10-30
2023-11-06,114.135498046875,117.4000015258789,121.4000015258789,96.0999984741211,102.80000305175781,2922192,2023-11-06
2023-11-13,114.71881103515625,118.0,125.69999694824219,115.05000305175781,123.0,630212,2023-11-13
2023-11-20,109.90646362304688,113.05000305175781,118.80000305175781,111.5,117.94999694824219,456362,2023-11-20
2023-11-27,110.34394836425781,113.5,116.5,109.55000305175781,113.05000305175781,312737,2023-11-27
2023-12-04,115.05908203125,118.3499984741211,129.0,113.1500015258789,116.30000305175781,999190,2023-12-04
