Date,Adj Close_GLAXO.NS,Close_GLAXO.NS,High_GLAXO.NS,Low_GLAXO.NS,Open_GLAXO.NS,Volume_GLAXO.NS,Date
2020-07-13,1420.6588134765625,1519.199951171875,1574.0,1503.1500244140625,1506.0,199993,2020-07-13
2020-07-20,1380.3543701171875,1476.0999755859375,1542.050048828125,1459.0,1522.5999755859375,138810,2020-07-20
2020-07-27,1344.0711669921875,1437.300048828125,1497.0,1435.0,1477.050048828125,140453,2020-07-27
2020-08-03,1392.1370849609375,1488.699951171875,1530.0,1423.0999755859375,1441.5999755859375,512201,2020-08-03
2020-08-10,1419.630126953125,1518.0999755859375,1548.800048828125,1455.550048828125,1490.0,530296,2020-08-10
2020-08-17,1389.1915283203125,1485.550048828125,1540.0,1482.050048828125,1522.050048828125,416789,2020-08-17
2020-08-24,1480.4609375,1583.1500244140625,1629.5,1491.0,1500.0,946840,2020-08-24
2020-08-31,1472.5120849609375,1574.6500244140625,1620.0,1513.0999755859375,1583.0,395508,2020-08-31
2020-09-07,1566.30615234375,1674.949951171875,1700.0,1580.550048828125,1588.25,854340,2020-09-07
2020-09-14,1587.7677001953125,1697.9000244140625,1807.5,1661.0,1675.0,1690501,2020-09-14
2020-09-21,1443.47607421875,1543.5999755859375,1742.699951171875,1526.0,1730.0,519638,2020-09-21
2020-09-28,1467.275390625,1569.050048828125,1597.449951171875,1535.0,1560.0,244219,2020-09-28
2020-10-05,1456.755126953125,1557.800048828125,1612.0,1545.0,1570.0,995331,2020-10-05
2020-10-12,1418.835205078125,1517.25,1611.75,1511.0,1571.3499755859375,261872,2020-10-12
2020-10-19,1406.5850830078125,1504.1500244140625,1549.550048828125,1501.0,1530.0,328167,2020-10-19
2020-10-26,1369.740478515625,1464.75,1519.0,1461.0,1511.6500244140625,131837,2020-10-26
2020-11-02,1309.7049560546875,1400.550048828125,1472.050048828125,1391.0,1470.0,243978,2020-11-02
2020-11-09,1348.559814453125,1442.0999755859375,1468.75,1405.0,1407.0,320549,2020-11-09
2020-11-16,1425.33447265625,1524.199951171875,1529.949951171875,1421.0,1428.3499755859375,250175,2020-11-16
2020-11-23,1452.687255859375,1553.449951171875,1570.0,1520.0999755859375,1530.0,180604,2020-11-23
2020-11-30,1451.3780517578125,1552.050048828125,1574.9000244140625,1542.550048828125,1553.449951171875,161330,2020-11-30
2020-12-07,1450.536376953125,1551.1500244140625,1575.0,1546.0,1558.0,274290,2020-12-07
2020-12-14,1507.8135986328125,1612.4000244140625,1619.0,1540.0,1551.3499755859375,251371,2020-12-14
2020-12-21,1433.09619140625,1532.5,1645.0,1485.1500244140625,1620.3499755859375,303648,2020-12-21
2020-12-28,1506.971923828125,1611.5,1640.0,1540.0,1544.949951171875,340095,2020-12-28
2021-01-04,1484.06103515625,1587.0,1630.0,1570.050048828125,1626.0,167774,2021-01-04
2021-01-11,1420.7523193359375,1519.300048828125,1605.0,1500.0,1594.949951171875,242297,2021-01-11
2021-01-18,1419.396240234375,1517.8499755859375,1589.0,1495.0,1519.300048828125,228086,2021-01-18
2021-01-25,1370.72265625,1465.800048828125,1540.0,1450.0999755859375,1530.0,119649,2021-01-25
2021-02-01,1337.385009765625,1430.1500244140625,1497.8499755859375,1425.5,1465.0,292919,2021-02-01
2021-02-08,1332.24169921875,1424.6500244140625,1515.0,1420.0,1488.0,589014,2021-02-08
2021-02-15,1356.6019287109375,1450.699951171875,1454.0,1419.300048828125,1430.0,262394,2021-02-15
2021-02-22,1365.8131103515625,1460.550048828125,1484.0,1430.0,1450.0,182111,2021-02-22
2021-03-01,1444.037109375,1544.199951171875,1575.0,1443.6500244140625,1461.1500244140625,327196,2021-03-01
2021-03-08,1356.6019287109375,1450.699951171875,1569.9000244140625,1445.0999755859375,1550.0,255608,2021-03-08
2021-03-15,1339.021484375,1431.9000244140625,1465.0,1380.0,1465.0,173756,2021-03-15
2021-03-22,1314.380615234375,1405.550048828125,1443.0,1376.0,1431.9000244140625,119138,2021-03-22
2021-03-29,1339.2552490234375,1432.1500244140625,1455.0,1405.550048828125,1405.550048828125,97356,2021-03-29
2021-04-05,1352.2535400390625,1446.050048828125,1478.949951171875,1399.300048828125,1433.1500244140625,290360,2021-04-05
2021-04-12,1374.837158203125,1470.199951171875,1495.0,1431.0,1444.0,263265,2021-04-12
2021-04-19,1357.7708740234375,1451.949951171875,1494.0,1414.050048828125,1466.0,283219,2021-04-19
2021-04-26,1364.2701416015625,1458.9000244140625,1469.699951171875,1433.050048828125,1452.0,109283,2021-04-26
2021-05-03,1370.5821533203125,1465.6500244140625,1490.0,1446.0,1455.0,123997,2021-05-03
