Date,Adj Close_NESCO.NS,Close_NESCO.NS,High_NESCO.NS,Low_NESCO.NS,Open_NESCO.NS,Volume_NESCO.NS,Date
2020-07-13,413.7082824707031,423.6000061035156,436.04998779296875,419.6499938964844,435.25,93315,2020-07-13
2020-07-20,445.3028869628906,455.95001220703125,464.75,423.5,423.6000061035156,863168,2020-07-20
2020-07-27,427.2837219238281,437.5,458.6499938964844,431.0,456.5,213096,2020-07-27
2020-08-03,423.47479248046875,433.6000061035156,445.0,430.0,437.5,201999,2020-08-03
2020-08-10,506.5387268066406,518.6500244140625,556.5,432.54998779296875,434.25,4482594,2020-08-10
2020-08-17,511.37310791015625,523.5999755859375,549.6500244140625,520.5999755859375,528.0,919533,2020-08-17
2020-08-24,568.360595703125,581.9500122070312,618.0,528.2000122070312,529.0,1989631,2020-08-24
2020-08-31,530.1248168945312,542.7999877929688,584.4000244140625,528.5,579.0,659843,2020-08-31
2020-09-07,546.923095703125,560.0,567.9000244140625,507.95001220703125,543.0,402400,2020-09-07
2020-09-14,578.5176391601562,592.3499755859375,600.0,550.5,568.9000244140625,851190,2020-09-14
2020-09-21,540.6237182617188,553.5499877929688,609.1500244140625,535.25,592.3499755859375,461983,2020-09-21
2020-09-28,520.0165405273438,532.4500122070312,574.7000122070312,531.0,555.7999877929688,293552,2020-09-28
2020-10-05,513.2288208007812,525.5,547.2000122070312,515.9500122070312,539.9500122070312,254698,2020-10-05
2020-10-12,516.0610961914062,528.4000244140625,549.0,510.0,526.0499877929688,371040,2020-10-12
2020-10-19,500.6788635253906,512.6500244140625,546.9000244140625,511.04998779296875,530.0,348066,2020-10-19
2020-10-26,493.5492858886719,505.3500061035156,528.0,492.0,510.5,332389,2020-10-26
2020-11-02,489.6427001953125,501.3500061035156,517.3499755859375,485.0,502.1000061035156,246738,2020-11-02
2020-11-09,498.2372131347656,510.1499938964844,530.5,500.6000061035156,507.70001220703125,317780,2020-11-09
2020-11-16,512.398681640625,524.6500244140625,556.0499877929688,504.0,504.0,639821,2020-11-16
2020-11-23,530.9060668945312,543.5999755859375,548.2000122070312,508.0,528.0,606324,2020-11-23
2020-11-30,562.0123901367188,575.4500122070312,582.4000244140625,532.0,543.5999755859375,576035,2020-11-30
2020-12-07,532.712890625,545.4500122070312,579.4000244140625,541.0,579.4000244140625,507043,2020-12-07
2020-12-14,527.9761352539062,540.5999755859375,567.7000122070312,501.5,548.7999877929688,500945,2020-12-14
2020-12-21,530.5154418945312,543.2000122070312,554.9500122070312,500.0,550.0,451340,2020-12-21
2020-12-28,538.47509765625,551.3499755859375,569.25,532.8499755859375,547.0,618493,2020-12-28
2021-01-04,564.3563232421875,577.8499755859375,595.4500122070312,545.2999877929688,556.5,1557946,2021-01-04
2021-01-11,582.47314453125,596.4000244140625,620.0,578.0,583.0,1527197,2021-01-11
2021-01-18,573.5856323242188,587.2999877929688,603.0,568.0,598.9500122070312,376783,2021-01-18
2021-01-25,565.6748046875,579.2000122070312,599.4000244140625,558.5,585.5,321117,2021-01-25
2021-02-01,589.1143798828125,603.2000122070312,638.0,566.5,580.0,874594,2021-02-01
2021-02-08,600.7363891601562,615.0999755859375,626.0,576.0,608.3499755859375,565031,2021-02-08
2021-02-15,585.744873046875,599.75,639.0,595.5499877929688,620.0,389253,2021-02-15
2021-02-22,578.4688720703125,592.2999877929688,610.0,521.9500122070312,595.0,226459,2021-02-22
2021-03-01,582.57080078125,596.5,609.9000244140625,585.0,593.0,239609,2021-03-01
2021-03-08,562.3541259765625,575.7999877929688,602.0,572.25,593.2000122070312,221796,2021-03-08
2021-03-15,541.063232421875,554.0,588.9500122070312,520.0,575.0,231490,2021-03-15
2021-03-22,509.5663757324219,521.75,565.0999755859375,516.0499877929688,554.9000244140625,283033,2021-03-22
2021-03-29,510.5917663574219,522.7999877929688,535.0,517.7000122070312,521.75,172202,2021-03-29
2021-04-05,505.2690734863281,517.3499755859375,523.9500122070312,511.3999938964844,519.0,256714,2021-04-05
2021-04-12,472.16070556640625,483.45001220703125,519.9500122070312,477.6000061035156,517.3499755859375,435823,2021-04-12
2021-04-19,474.84649658203125,486.20001220703125,505.0,465.0,481.79998779296875,280811,2021-04-19
2021-04-26,485.9802551269531,497.6000061035156,519.0999755859375,488.0,503.0,254059,2021-04-26
2021-05-03,487.20111083984375,498.8500061035156,510.0,488.54998779296875,496.04998779296875,194937,2021-05-03
2021-05-10,489.1544189453125,500.8500061035156,512.9000244140625,497.5,510.0,204199,2021-05-10
2021-05-17,512.1544799804688,524.4000244140625,534.0,501.0,501.0,402354,2021-05-17
2021-05-24,545.3604736328125,558.4000244140625,572.9500122070312,524.4500122070312,524.4500122070312,1008758,2021-05-24
2021-05-31,535.252197265625,548.0499877929688,563.9500122070312,535.0,547.2999877929688,311502,2021-05-31
2021-06-07,558.5940551757812,571.9500122070312,575.0,546.7000122070312,552.7000122070312,539055,2021-06-07
2021-06-14,543.9443359375,556.9500122070312,584.0499877929688,543.0,575.0,337299,2021-06-14
2021-06-21,587.4541015625,601.5,641.7999877929688,548.0,552.9000244140625,1961556,2021-06-21
2021-06-28,589.6515502929688,603.75,625.0,597.5499877929688,599.0,349968,2021-06-28
2021-07-05,629.3034057617188,644.3499755859375,696.7999877929688,601.5499877929688,604.6500244140625,5100988,2021-07-05
2021-07-12,619.4880981445312,634.2999877929688,665.0,632.0999755859375,649.9500122070312,652475,2021-07-12
2021-07-19,588.2352905273438,602.2999877929688,648.9500122070312,600.1500244140625,630.0,345923,2021-07-19
2021-07-26,595.2184448242188,609.4500122070312,620.0,577.0,605.0,347976,2021-07-26
2021-08-02,595.6578979492188,609.9000244140625,658.75,600.3499755859375,611.0,719776,2021-08-02
2021-08-09,585.1091918945312,596.1500244140625,616.7999877929688,561.0,614.5,607411,2021-08-09
2021-08-16,570.4850463867188,581.25,610.0,580.0,594.0499877929688,201093,2021-08-16
2021-08-23,559.1981201171875,569.75,589.4500122070312,562.0499877929688,584.4500122070312,175823,2021-08-23
2021-08-30,590.850830078125,602.0,626.0,568.9500122070312,572.9500122070312,569165,2021-08-30
2021-09-06,581.7720947265625,592.75,613.0,582.4500122070312,605.4000244140625,147786,2021-09-06
2021-09-13,587.5628662109375,598.6500244140625,624.3499755859375,590.0,592.75,468736,2021-09-13
2021-09-20,599.193359375,610.5,645.0,574.0,604.4500122070312,974783,2021-09-20
2021-09-27,589.2313232421875,600.3499755859375,624.8499755859375,596.0999755859375,613.5999755859375,310145,2021-09-27
2021-10-04,650.0340576171875,662.2999877929688,684.0,601.4500122070312,606.0,2290434,2021-10-04
2021-10-11,654.6470336914062,667.0,687.1500244140625,646.5,655.0999755859375,513820,2021-10-11
2021-10-18,610.2349853515625,621.75,683.0,611.0,680.0,332756,2021-10-18
2021-10-25,596.3470458984375,607.5999755859375,633.0,594.9500122070312,633.0,182533,2021-10-25
2021-11-01,615.2896728515625,626.9000244140625,635.0,603.0999755859375,617.7000122070312,162614,2021-11-01
2021-11-08,615.6332397460938,627.25,649.4000244140625,612.3499755859375,626.0,297445,2021-11-08
2021-11-15,610.0877685546875,621.5999755859375,645.0499877929688,607.25,635.0,175737,2021-11-15
2021-11-22,582.0174560546875,593.0,631.75,589.2999877929688,624.75,212914,2021-11-22
2021-11-29,588.8388061523438,599.9500122070312,611.0,570.0,595.0,206293,2021-11-29
2021-12-06,584.716552734375,595.75,610.0,590.0,599.9500122070312,181626,2021-12-06
2021-12-13,579.4656982421875,590.4000244140625,615.0,586.0,598.75,207650,2021-12-13
2021-12-20,560.7684326171875,571.3499755859375,593.0,556.25,582.4000244140625,206067,2021-12-20
2021-12-27,572.055419921875,582.8499755859375,595.0,550.0,565.0,208812,2021-12-27
2022-01-03,561.9462280273438,572.5499877929688,594.8499755859375,569.7999877929688,580.0,172805,2022-01-03
2022-01-10,585.2073364257812,596.25,621.0,566.7000122070312,570.1500244140625,357612,2022-01-10
2022-01-17,563.9581909179688,574.5999755859375,609.0,570.0,594.0,182751,2022-01-17
2022-01-24,561.9952392578125,572.5999755859375,584.5999755859375,560.5,577.0,179317,2022-01-24
2022-01-31,573.2332153320312,584.0499877929688,605.0,572.5999755859375,579.8499755859375,168132,2022-01-31
2022-02-07,553.0637817382812,563.5,589.4500122070312,559.7000122070312,583.0,123192,2022-02-07
2022-02-14,549.4813842773438,559.8499755859375,581.0,537.0499877929688,552.7999877929688,158613,2022-02-14
2022-02-21,537.1638793945312,547.2999877929688,574.9500122070312,528.0,559.8499755859375,159575,2022-02-21
2022-02-28,534.6119995117188,544.7000122070312,570.0,540.0,540.0,103192,2022-02-28
2022-03-07,540.2554931640625,550.4500122070312,559.0,522.2999877929688,546.0,256966,2022-03-07
2022-03-14,517.9268798828125,527.7000122070312,553.5999755859375,526.0,550.0,277271,2022-03-14
2022-03-21,517.9268798828125,527.7000122070312,533.75,514.9500122070312,530.3499755859375,260632,2022-03-21
2022-03-28,579.367431640625,590.2999877929688,604.9000244140625,513.9500122070312,528.0,1400917,2022-03-28
2022-04-04,580.7415771484375,591.7000122070312,616.7999877929688,590.4500122070312,599.7000122070312,335581,2022-04-04
2022-04-11,576.913818359375,587.7999877929688,617.4000244140625,580.1500244140625,598.9000244140625,261979,2022-04-11
2022-04-18,576.619384765625,587.5,600.0,578.0,584.9000244140625,187021,2022-04-18
2022-04-25,564.4981079101562,575.1500244140625,594.0,565.0,585.25,128210,2022-04-25
2022-05-02,546.2425537109375,556.5499877929688,590.0,545.4500122070312,563.0,127332,2022-05-02
2022-05-09,524.7481689453125,534.6500244140625,573.0,523.75,560.0,160930,2022-05-09
2022-05-16,538.6851806640625,548.8499755859375,564.7000122070312,529.2000122070312,539.4500122070312,80177,2022-05-16
2022-05-23,518.3193969726562,528.0999755859375,565.0,512.0,551.5,307445,2022-05-23
2022-05-30,527.4962768554688,537.4500122070312,551.5499877929688,525.1500244140625,533.3499755859375,122109,2022-05-30
2022-06-06,536.91845703125,547.0499877929688,558.9000244140625,525.0999755859375,540.1500244140625,107188,2022-06-06
2022-06-13,511.1546936035156,520.7999877929688,554.0,515.0,540.0,102792,2022-06-13
2022-06-20,529.5083618164062,539.5,542.5,501.95001220703125,521.0,92482,2022-06-20
2022-06-27,542.0712280273438,552.2999877929688,555.5,536.5999755859375,541.0,92259,2022-06-27
2022-07-04,559.4434204101562,570.0,581.7000122070312,543.5,556.0,213866,2022-07-04
2022-07-11,582.0665893554688,593.0499877929688,599.0499877929688,557.3499755859375,570.0,191564,2022-07-11
2022-07-18,573.9693603515625,584.7999877929688,604.7000122070312,581.5499877929688,599.7999877929688,154928,2022-07-18
2022-07-25,582.8026733398438,593.7999877929688,598.0,563.0,587.4500122070312,175551,2022-07-25
2022-08-01,575.3087158203125,583.0999755859375,602.8499755859375,569.0,595.0999755859375,160119,2022-08-01
2022-08-08,567.859619140625,575.5499877929688,605.3499755859375,561.2999877929688,586.0499877929688,243924,2022-08-08
2022-08-15,562.482421875,570.0999755859375,585.2000122070312,565.25,575.5499877929688,174924,2022-08-15
2022-08-22,559.47314453125,567.0499877929688,575.0,551.0,568.7999877929688,213792,2022-08-22
2022-08-29,564.5543823242188,572.2000122070312,588.0,553.5999755859375,561.2000122070312,198602,2022-08-29
2022-09-05,643.7814331054688,652.5,686.4500122070312,565.4500122070312,575.0999755859375,4255844,2022-09-05
2022-09-12,582.2645874023438,590.1500244140625,654.0,584.9000244140625,654.0,844519,2022-09-12
2022-09-19,577.8246459960938,585.6500244140625,620.0,581.0,593.5,493805,2022-09-19
2022-09-26,559.6212158203125,567.2000122070312,589.9500122070312,556.0,580.0,309194,2022-09-26
2022-10-03,568.84619140625,576.5499877929688,581.2999877929688,553.0999755859375,564.0,181602,2022-10-03
2022-10-10,565.49169921875,573.1500244140625,580.0499877929688,558.0999755859375,573.0,285612,2022-10-10
2022-10-17,569.3888549804688,577.0999755859375,588.25,560.1500244140625,568.0,237443,2022-10-17
2022-10-24,575.703369140625,583.5,596.0,573.0,578.0,156340,2022-10-24
2022-10-31,582.4124755859375,590.2999877929688,597.7999877929688,570.2999877929688,585.0,231407,2022-10-31
2022-11-07,615.8595581054688,624.2000122070312,659.9000244140625,580.0,593.2999877929688,1442871,2022-11-07
2022-11-14,603.4278564453125,611.5999755859375,648.0499877929688,606.0499877929688,627.3499755859375,490447,2022-11-14
2022-11-21,612.5543212890625,620.8499755859375,636.0,600.0999755859375,608.0,401507,2022-11-21
2022-11-28,621.0393676757812,629.4500122070312,647.2000122070312,618.0,624.0,392367,2022-11-28
2022-12-05,625.8739013671875,634.3499755859375,677.2999877929688,616.2999877929688,638.0,814678,2022-12-05
2022-12-12,625.3312377929688,633.7999877929688,666.25,627.7999877929688,630.25,496251,2022-12-12
2022-12-19,576.0487060546875,583.8499755859375,644.0,579.1500244140625,637.0,389753,2022-12-19
2022-12-26,602.095947265625,610.25,637.0,577.9000244140625,584.0,350970,2022-12-26
2023-01-02,602.095947265625,610.25,626.2000122070312,601.0,616.3499755859375,233049,2023-01-02
