Date,Adj Close_RAMASTEEL.NS,Close_RAMASTEEL.NS,High_RAMASTEEL.NS,Low_RAMASTEEL.NS,Open_RAMASTEEL.NS,Volume_RAMASTEEL.NS,Date
2020-07-13,0.43997275829315186,0.44066599011421204,0.4620000123977661,0.4166660010814667,0.45466598868370056,555825,2020-07-13
2020-07-20,0.38605770468711853,0.3866659998893738,0.4480000138282776,0.3840000033378601,0.42866599559783936,2050725,2020-07-20
2020-07-27,0.34146198630332947,0.34200000762939453,0.3959999978542328,0.34200000762939453,0.38533300161361694,2430225,2020-07-27
2020-08-03,0.4106858968734741,0.41133299469947815,0.41600000858306885,0.33866599202156067,0.34200000762939453,5764125,2020-08-03
2020-08-10,0.44929206371307373,0.44999998807907104,0.45399999618530273,0.40266600251197815,0.42466598749160767,6718200,2020-08-10
2020-08-17,0.571765124797821,0.5726659893989563,0.5726659893989563,0.44999998807907104,0.4659999907016754,3857550,2020-08-17
2020-08-24,0.5045380592346191,0.5053330063819885,0.5933330059051514,0.492000013589859,0.5726659893989563,4077300,2020-08-24
2020-08-31,0.49388784170150757,0.4946660101413727,0.5299999713897705,0.4566659927368164,0.49333301186561584,5193675,2020-08-31
2020-09-07,0.5318280458450317,0.532666027545929,0.5580000281333923,0.4833329916000366,0.49333301186561584,1484700,2020-09-07
2020-09-14,0.48523545265197754,0.4860000014305115,0.5586659908294678,0.48399999737739563,0.5573329925537109,4000800,2020-09-14
2020-09-21,0.5278343558311462,0.5286660194396973,0.5333330035209656,0.46733298897743225,0.5099999904632568,3087450,2020-09-21
2020-09-28,0.5804184675216675,0.5813329815864563,0.5820000171661377,0.5040000081062317,0.5040000081062317,4219050,2020-09-28
2020-10-05,0.5757588148117065,0.576665997505188,0.5933330059051514,0.5400000214576721,0.5820000171661377,1632675,2020-10-05
2020-10-12,0.5591190457344055,0.5600000023841858,0.5979999899864197,0.5226659774780273,0.5546659827232361,1256475,2020-10-12
2020-10-19,0.5730969905853271,0.5740000009536743,0.5973330140113831,0.5373330116271973,0.5846660137176514,645450,2020-10-19
2020-10-26,0.5677713751792908,0.5686659812927246,0.6053329706192017,0.5626659989356995,0.5966659784317017,1279950,2020-10-26
2020-11-02,0.5824153423309326,0.5833330154418945,0.593999981880188,0.5566660165786743,0.5920000076293945,1036050,2020-11-02
2020-11-09,0.6283429861068726,0.6293330192565918,0.6393330097198486,0.5239999890327454,0.5866659879684448,3986850,2020-11-09
2020-11-16,0.612368106842041,0.613332986831665,0.6653329730033875,0.6073330044746399,0.6093329787254333,2169900,2020-11-16
2020-11-23,0.6489774584770203,0.6499999761581421,0.6653329730033875,0.5993329882621765,0.6353330016136169,4341000,2020-11-23
2020-11-30,0.6343335509300232,0.6353330016136169,0.6933330297470093,0.6333330273628235,0.6499999761581421,3794325,2020-11-30
2020-12-07,0.6509743332862854,0.6520000100135803,0.679332971572876,0.6273329854011536,0.6380000114440918,3651450,2020-12-07
2020-12-14,0.6503083109855652,0.6513329744338989,0.679332971572876,0.6286659836769104,0.679332971572876,3159375,2020-12-14
