Date,Adj Close_ISGEC.NS,Close_ISGEC.NS,High_ISGEC.NS,Low_ISGEC.NS,Open_ISGEC.NS,Volume_ISGEC.NS,Date
2021-05-03,544.1232299804688,551.0499877929688,618.0,546.9500122070312,596.25,368924,2021-05-03
2021-05-10,533.3603515625,540.1500244140625,599.8499755859375,538.7999877929688,553.0,749777,2021-05-10
2021-05-17,529.6080932617188,536.3499755859375,575.7999877929688,534.0,536.5,404090,2021-05-17
2021-05-24,563.1806640625,570.3499755859375,579.0,524.1500244140625,539.5499877929688,930390,2021-05-24
2021-05-31,572.6600341796875,579.9500122070312,615.0,552.0,570.3499755859375,776720,2021-05-31
2021-06-07,600.1105346679688,607.75,654.0,588.9500122070312,590.0,795997,2021-06-07
2021-06-14,610.3798828125,618.1500244140625,642.9000244140625,582.25,613.75,556503,2021-06-14
2021-06-21,607.8618774414062,615.5999755859375,635.0,595.8499755859375,604.0,360533,2021-06-21
2021-06-28,791.5732421875,801.6500244140625,825.0,623.5,623.5,6041059,2021-06-28
2021-07-05,801.9906616210938,812.2000122070312,878.3499755859375,804.3499755859375,845.5,2485708,2021-07-05
2021-07-12,795.1773681640625,805.2999877929688,828.4000244140625,782.25,819.7999877929688,1104539,2021-07-12
2021-07-19,768.9116821289062,778.7000122070312,824.0,765.0,802.9000244140625,825911,2021-07-19
2021-07-26,784.2662353515625,794.25,817.4000244140625,777.0,780.0,823618,2021-07-26
2021-08-02,776.4161987304688,786.2999877929688,870.0,782.25,796.0,1006279,2021-08-02
2021-08-09,713.3687744140625,722.4500122070312,799.9500122070312,672.25,791.4000244140625,1547490,2021-08-09
2021-08-16,658.6651611328125,667.0499877929688,725.9000244140625,661.5499877929688,720.0,659553,2021-08-16
2021-08-23,692.484619140625,701.2999877929688,716.7999877929688,641.0999755859375,668.0,710693,2021-08-23
2021-08-30,715.7386474609375,724.8499755859375,737.9500122070312,701.5,712.5,337847,2021-08-30
2021-09-06,720.6757202148438,729.8499755859375,744.6500244140625,715.25,729.0,211868,2021-09-06
2021-09-13,778.7831420898438,787.5999755859375,835.0,723.2000122070312,725.25,1391814,2021-09-13
2021-09-20,738.0938110351562,746.4500122070312,800.9500122070312,728.0,780.0,455323,2021-09-20
2021-09-27,707.0452880859375,715.0499877929688,760.4000244140625,705.0999755859375,745.0,263780,2021-09-27
2021-10-04,712.2859497070312,720.3499755859375,748.75,712.25,725.0,224225,2021-10-04
2021-10-11,694.6358032226562,702.5,728.0,696.6500244140625,728.0,262729,2021-10-11
2021-10-18,681.2374877929688,688.9500122070312,730.4000244140625,677.0,705.0,421452,2021-10-18
2021-10-25,656.8634033203125,664.2999877929688,697.7999877929688,655.3499755859375,692.0,197511,2021-10-25
2021-11-01,673.4752807617188,681.0999755859375,687.25,640.0,674.0,211358,2021-11-01
2021-11-08,637.4827880859375,644.7000122070312,710.0,640.9500122070312,685.0,420215,2021-11-08
2021-11-15,568.3158569335938,574.75,646.0,549.25,646.0,761549,2021-11-15
2021-11-22,564.3606567382812,570.75,599.75,550.0,583.0499877929688,502245,2021-11-22
2021-11-29,547.3532104492188,553.5499877929688,582.0,538.1500244140625,564.0,540870,2021-11-29
2021-12-06,584.3345947265625,590.9500122070312,596.0,545.0,557.4000244140625,287080,2021-12-06
2021-12-13,556.8457641601562,563.1500244140625,612.0,561.0999755859375,592.0,193891,2021-12-13
2021-12-20,647.1237182617188,654.4500122070312,669.0,530.5,550.0,2123337,2021-12-20
2021-12-27,600.8970947265625,607.7000122070312,652.4000244140625,601.0,626.0,680466,2021-12-27
2022-01-03,612.070556640625,619.0,643.9000244140625,597.0499877929688,614.0,553614,2022-01-03
2022-01-10,679.902587890625,687.5999755859375,695.0,616.0,620.0999755859375,671624,2022-01-10
2022-01-17,642.278564453125,649.5499877929688,709.0,642.0499877929688,700.0,329340,2022-01-17
2022-01-24,640.3009033203125,647.5499877929688,662.0,585.8499755859375,649.5499877929688,259233,2022-01-24
2022-01-31,643.6134643554688,650.9000244140625,686.2999877929688,639.75,655.0,287557,2022-01-31
2022-02-07,584.5323486328125,591.1500244140625,667.75,589.25,655.0,269147,2022-02-07
2022-02-14,550.02294921875,556.25,598.0,550.7999877929688,591.0,307967,2022-02-14
2022-02-21,544.73291015625,550.9000244140625,557.3499755859375,503.0,550.25,432824,2022-02-21
2022-02-28,559.16943359375,565.5,581.25,531.0999755859375,548.4000244140625,242490,2022-02-28
