Date,Adj Close_INCREDIBLE.NS,Close_INCREDIBLE.NS,High_INCREDIBLE.NS,Low_INCREDIBLE.NS,Open_INCREDIBLE.NS,Volume_INCREDIBLE.NS,Date
2020-07-13,20.0,20.0,21.450000762939453,19.100000381469727,21.450000762939453,42640,2020-07-13
2020-07-20,20.149999618530273,20.149999618530273,21.0,19.100000381469727,21.0,91006,2020-07-20
2020-07-27,19.100000381469727,19.100000381469727,21.0,18.600000381469727,21.0,41549,2020-07-27
2020-08-03,19.0,19.0,19.850000381469727,18.149999618530273,19.100000381469727,43481,2020-08-03
2020-08-10,20.0,20.0,20.350000381469727,18.600000381469727,19.0,69949,2020-08-10
2020-08-17,20.200000762939453,20.200000762939453,21.0,19.100000381469727,20.600000381469727,140485,2020-08-17
2020-08-24,23.25,23.25,23.799999237060547,20.0,20.950000762939453,259715,2020-08-24
2020-08-31,20.649999618530273,20.649999618530273,23.700000762939453,20.0,23.700000762939453,143514,2020-08-31
2020-09-07,19.5,19.5,21.5,18.649999618530273,21.450000762939453,201818,2020-09-07
2020-09-14,19.5,19.5,20.399999618530273,19.100000381469727,20.0,55490,2020-09-14
2020-09-21,18.100000381469727,18.100000381469727,19.799999237060547,17.600000381469727,19.799999237060547,114201,2020-09-21
2020-09-28,19.600000381469727,19.600000381469727,20.200000762939453,18.100000381469727,18.899999618530273,34466,2020-09-28
2020-10-05,18.649999618530273,18.649999618530273,20.0,18.100000381469727,20.0,30260,2020-10-05
2020-10-12,17.700000762939453,17.700000762939453,19.25,17.25,18.649999618530273,52541,2020-10-12
2020-10-19,18.049999237060547,18.049999237060547,19.0,17.450000762939453,17.700000762939453,64969,2020-10-19
2020-10-26,18.549999237060547,18.549999237060547,19.5,17.899999618530273,19.5,33879,2020-10-26
2020-11-02,18.0,18.0,18.5,16.700000762939453,18.350000381469727,31802,2020-11-02
2020-11-09,16.850000381469727,16.850000381469727,18.5,15.100000381469727,18.0,472726,2020-11-09
2020-11-16,16.850000381469727,16.850000381469727,17.25,15.550000190734863,16.149999618530273,119009,2020-11-16
2020-11-23,17.100000381469727,17.100000381469727,18.299999237060547,15.149999618530273,17.450000762939453,1300569,2020-11-23
2020-11-30,20.950000762939453,20.950000762939453,20.950000762939453,17.0,17.100000381469727,350139,2020-11-30
2020-12-07,28.450000762939453,28.450000762939453,36.400001525878906,23.75,24.0,1900857,2020-12-07
2020-12-14,25.950000762939453,25.950000762939453,28.799999237060547,24.600000381469727,27.399999618530273,610188,2020-12-14
2020-12-21,23.950000762939453,23.950000762939453,25.950000762939453,22.049999237060547,25.899999618530273,172238,2020-12-21
2020-12-28,24.899999618530273,24.899999618530273,26.200000762939453,23.0,24.0,136052,2020-12-28
2021-01-04,25.5,25.5,26.399999618530273,24.600000381469727,25.850000381469727,159990,2021-01-04
2021-01-11,25.100000381469727,25.100000381469727,25.899999618530273,23.549999237060547,25.899999618530273,112748,2021-01-11
2021-01-18,23.049999237060547,23.049999237060547,25.399999618530273,22.850000381469727,25.0,71693,2021-01-18
2021-01-25,23.0,23.0,23.950000762939453,21.049999237060547,23.100000381469727,31925,2021-01-25
2021-02-01,22.700000762939453,22.700000762939453,23.850000381469727,22.100000381469727,23.399999618530273,61207,2021-02-01
2021-02-08,21.149999618530273,21.149999618530273,23.5,21.0,22.700000762939453,194925,2021-02-08
2021-02-15,21.25,21.25,21.700000762939453,20.25,21.700000762939453,65195,2021-02-15
2021-02-22,21.149999618530273,21.149999618530273,22.5,19.25,21.25,155728,2021-02-22
2021-03-01,21.25,21.25,21.950000762939453,20.5,21.950000762939453,144912,2021-03-01
2021-03-08,21.149999618530273,21.149999618530273,22.399999618530273,20.600000381469727,21.25,76489,2021-03-08
2021-03-15,19.850000381469727,19.850000381469727,21.950000762939453,19.049999237060547,21.950000762939453,66858,2021-03-15
2021-03-22,19.0,19.0,20.700000762939453,18.549999237060547,20.700000762939453,61829,2021-03-22
2021-03-29,20.950000762939453,20.950000762939453,20.950000762939453,17.700000762939453,19.0,156584,2021-03-29
2021-04-05,26.25,26.25,26.25,19.200000762939453,20.850000381469727,559533,2021-04-05
2021-04-12,22.5,22.5,25.399999618530273,22.0,25.399999618530273,573253,2021-04-12
2021-04-19,22.0,22.0,22.950000762939453,20.299999237060547,22.100000381469727,179402,2021-04-19
2021-04-26,24.100000381469727,24.100000381469727,25.200000762939453,21.5,21.899999618530273,403123,2021-04-26
