Date,Adj Close_ATHERENERG.NS,Close_ATHERENERG.NS,High_ATHERENERG.NS,Low_ATHERENERG.NS,Open_ATHERENERG.NS,Volume_ATHERENERG.NS,Date
2025-05-05,300.20001220703125,300.20001220703125,333.0,288.1499938964844,328.0,29841057,2025-05-05
2025-05-12,315.1000061035156,315.1000061035156,320.0,298.20001220703125,311.1499938964844,8870837,2025-05-12
2025-05-19,318.8500061035156,318.8500061035156,343.0,309.0,317.0,13136676,2025-05-19
2025-05-26,313.0,313.0,326.04998779296875,310.6000061035156,318.79998779296875,4431595,2025-05-26
2025-06-02,309.0,309.0,320.1000061035156,301.0,313.0,3274492,2025-06-02
2025-06-09,314.0,314.0,326.25,306.25,311.79998779296875,3319694,2025-06-09
2025-06-16,320.6499938964844,320.6499938964844,331.1499938964844,312.20001220703125,314.0,4133723,2025-06-16
2025-06-23,332.6000061035156,332.6000061035156,344.45001220703125,314.3999938964844,316.0,5907524,2025-06-23
2025-06-30,328.25,328.25,344.0,323.6000061035156,336.70001220703125,3066298,2025-06-30
2025-07-07,332.3999938964844,332.3999938964844,337.45001220703125,318.6000061035156,328.0,3896068,2025-07-07
2025-07-14,343.25,343.25,354.8999938964844,330.1000061035156,335.0,2708044,2025-07-14
