Date,Adj Close_DIXON.NS,Close_DIXON.NS,High_DIXON.NS,Low_DIXON.NS,Open_DIXON.NS,Volume_DIXON.NS,Date
2020-07-13,1291.61083984375,1293.8499755859375,1317.0,1274.0,1300.0,462225,2020-07-13
2020-07-20,1534.689453125,1537.3499755859375,1560.0,1285.0,1298.97998046875,3311365,2020-07-20
2020-07-27,1524.097900390625,1526.739990234375,1545.97998046875,1402.199951171875,1539.989990234375,2272740,2020-07-27
2020-08-03,1554.6151123046875,1557.31005859375,1671.5999755859375,1505.0,1559.0,4099095,2020-08-03
2020-08-10,1585.132080078125,1587.8800048828125,1696.0,1560.0,1580.0,2160850,2020-08-10
2020-08-17,1612.973876953125,1615.77001953125,1637.800048828125,1548.1800537109375,1600.5899658203125,1101100,2020-08-17
2020-08-24,1659.7227783203125,1662.5999755859375,1764.800048828125,1590.0,1630.0,1679190,2020-08-24
2020-08-31,1714.328125,1717.300048828125,1729.800048828125,1582.9100341796875,1675.5799560546875,1379450,2020-08-31
2020-09-07,1844.802001953125,1848.0,1955.4000244140625,1717.300048828125,1718.0,3113015,2020-09-07
2020-09-14,1876.8563232421875,1880.1099853515625,2057.89990234375,1861.2099609375,1865.0,2520095,2020-09-14
2020-09-21,1755.636474609375,1758.6800537109375,1938.510009765625,1625.199951171875,1900.0,2577500,2020-09-21
2020-09-28,1766.9769287109375,1770.0400390625,1838.0,1723.199951171875,1800.0,584705,2020-09-28
2020-10-05,1695.13134765625,1698.0699462890625,1810.0,1675.0,1764.27001953125,1108345,2020-10-05
2020-10-12,1849.1343994140625,1852.3399658203125,1916.5999755859375,1684.3900146484375,1702.0,1848885,2020-10-12
2020-10-19,1958.4449462890625,1961.8399658203125,1990.0,1851.0,1875.5,1159920,2020-10-19
2020-10-26,1856.641357421875,1859.8599853515625,2000.0,1800.0,1969.4000244140625,1074995,2020-10-26
2020-11-02,1999.543701171875,2003.010009765625,2119.800048828125,1880.0,1880.0,1702020,2020-11-02
2020-11-09,2056.844482421875,2060.409912109375,2160.0,1920.0,2028.800048828125,1456645,2020-11-09
2020-11-16,2067.20654296875,2070.7900390625,2119.760009765625,1990.0,2119.760009765625,772930,2020-11-16
2020-11-23,2371.8583984375,2375.969970703125,2397.60009765625,2080.010009765625,2099.7900390625,1913655,2020-11-23
2020-11-30,2272.490478515625,2276.429931640625,2398.0,2254.989990234375,2375.969970703125,702800,2020-11-30
2020-12-07,2521.74853515625,2526.1201171875,2556.0,2276.429931640625,2298.39990234375,1369865,2020-12-07
2020-12-14,2665.918701171875,2670.5400390625,2781.969970703125,2553.0,2557.800048828125,1347955,2020-12-14
2020-12-21,2539.1982421875,2543.60009765625,2719.989990234375,2465.030029296875,2705.60009765625,1278355,2020-12-21
2020-12-28,2719.6650390625,2724.3798828125,2778.800048828125,2567.219970703125,2573.169921875,1098695,2020-12-28
2021-01-04,3068.490478515625,3073.81005859375,3357.199951171875,2680.64990234375,2742.0,2225780,2021-01-04
2021-01-11,2974.333740234375,2979.489990234375,3159.800048828125,2815.0,3125.0,2653930,2021-01-11
2021-01-18,2813.632568359375,2818.510009765625,3120.0,2683.909912109375,2999.800048828125,1792140,2021-01-18
2021-01-25,2820.6103515625,2825.5,2896.800048828125,2736.39990234375,2850.0,982415,2021-01-25
2021-02-01,3256.385009765625,3262.030029296875,3350.0,2840.0,2859.800048828125,3153305,2021-02-01
2021-02-08,3728.1572265625,3734.6201171875,3980.0,3300.0,3308.800048828125,2855265,2021-02-08
2021-02-15,3889.10791015625,3895.85009765625,4037.97998046875,3600.0,3680.0,1737870,2021-02-15
2021-02-22,3962.91015625,3969.780029296875,4089.60009765625,3696.0,3905.0,1478780,2021-02-22
2021-03-01,3819.558349609375,3826.179931640625,4039.800048828125,3750.010009765625,4019.39990234375,1117020,2021-03-01
2021-03-08,4122.18408203125,4129.330078125,4169.83984375,3782.02001953125,3859.60009765625,1198370,2021-03-08
2021-03-15,4259.865234375,4267.25,4457.7001953125,4000.0,4196.0,2251862,2021-03-15
2021-03-22,3618.32763671875,3624.60009765625,4285.39990234375,3345.14990234375,4285.0,3200214,2021-03-22
2021-03-29,3581.8408203125,3588.050048828125,3765.0,3571.10009765625,3624.60009765625,1046873,2021-03-29
2021-04-05,3752.14501953125,3758.64990234375,3799.949951171875,3421.39990234375,3599.949951171875,2288605,2021-04-05
2021-04-12,3729.88427734375,3736.35009765625,3775.0,3460.0,3636.60009765625,1239459,2021-04-12
2021-04-19,3888.80859375,3895.550048828125,3988.0,3535.0,3560.0,1630924,2021-04-19
2021-04-26,4194.52783203125,4201.7998046875,4265.64990234375,3840.10009765625,3890.0,1482838,2021-04-26
2021-05-03,3947.906005859375,3954.75,4320.0,3901.0,4150.0,929766,2021-05-03
2021-05-10,3947.1572265625,3954.0,4010.5,3816.0,3960.0,694683,2021-05-10
2021-05-17,3938.0234375,3944.85009765625,3990.0,3852.64990234375,3952.0,742788,2021-05-17
2021-05-24,3989.733642578125,3996.64990234375,4100.0,3850.0,3979.0,1177290,2021-05-24
2021-05-31,4279.8310546875,4287.25,4395.0,3950.449951171875,4019.949951171875,1691439,2021-05-31
2021-06-07,4182.25,4189.5,4330.2001953125,4141.35009765625,4318.7998046875,835540,2021-06-07
2021-06-14,4419.48828125,4427.14990234375,4480.0,4092.5,4175.0,1354727,2021-06-14
2021-06-21,4491.314453125,4499.10009765625,4682.60009765625,4351.10009765625,4425.10009765625,1459766,2021-06-21
2021-06-28,4511.02978515625,4518.85009765625,4611.0,4370.0,4515.0,822101,2021-06-28
2021-07-05,4577.71435546875,4585.64990234375,4655.5498046875,4477.7001953125,4555.0,936902,2021-07-05
2021-07-12,4638.25927734375,4646.2998046875,4735.0,4485.0498046875,4594.0,984512,2021-07-12
2021-07-19,4542.52490234375,4550.39990234375,4648.9501953125,4452.0,4630.0,593476,2021-07-19
2021-07-26,4297.150390625,4304.60009765625,4615.0,4205.0,4584.0,1273922,2021-07-26
2021-08-02,4277.83447265625,4285.25,4369.85009765625,4220.2001953125,4322.0,667900,2021-08-02
