Date,Adj Close_INNOVACAP.NS,Close_INNOVACAP.NS,High_INNOVACAP.NS,Low_INNOVACAP.NS,Open_INNOVACAP.NS,Volume_INNOVACAP.NS,Date
2024-12-23,1081.050048828125,1081.050048828125,1111.300048828125,956.9500122070312,985.9500122070312,399348,2024-12-23
2024-12-30,1182.949951171875,1182.949951171875,1215.0,1081.050048828125,1081.050048828125,638264,2024-12-30
2025-01-06,1081.550048828125,1081.550048828125,1260.0,1070.0,1192.5999755859375,783599,2025-01-06
2025-01-13,1034.449951171875,1034.449951171875,1099.949951171875,976.2000122070312,1072.8499755859375,541666,2025-01-13
2025-01-20,1003.0,1003.0,1099.0,952.6500244140625,1050.0,411814,2025-01-20
2025-01-27,966.2000122070312,966.2000122070312,1015.0999755859375,881.0,981.25,509810,2025-01-27
2025-02-03,925.1500244140625,925.1500244140625,1024.0,900.25,990.0,388193,2025-02-03
2025-02-10,825.25,825.25,940.0,777.5499877929688,926.0,355036,2025-02-10
2025-02-17,784.1500244140625,784.1500244140625,842.9500122070312,762.0499877929688,813.7000122070312,360422,2025-02-17
2025-02-24,725.9000244140625,725.9000244140625,788.7999877929688,700.0499877929688,772.6500244140625,208936,2025-02-24
2025-03-03,766.0499877929688,766.0499877929688,820.0,662.0,725.0,1315591,2025-03-03
2025-03-10,779.5499877929688,779.5499877929688,804.7999877929688,751.0,764.5999755859375,384077,2025-03-10
2025-03-17,918.4500122070312,918.4500122070312,928.3499755859375,772.2000122070312,784.0,366869,2025-03-17
2025-03-24,878.8499755859375,878.8499755859375,964.0,871.5,929.0,387856,2025-03-24
2025-03-31,871.3499755859375,871.3499755859375,924.9500122070312,835.5999755859375,878.8499755859375,184967,2025-03-31
2025-04-07,875.7000122070312,875.7000122070312,889.9000244140625,726.0,728.0499877929688,215066,2025-04-07
2025-04-14,913.2000122070312,913.2000122070312,925.0499877929688,880.0,885.0,200289,2025-04-14
2025-04-21,884.2000122070312,884.2000122070312,938.9500122070312,854.9500122070312,921.0,228622,2025-04-21
2025-04-28,879.5999755859375,879.5999755859375,906.4500122070312,861.0,884.2000122070312,113123,2025-04-28
2025-05-05,838.5499877929688,838.5499877929688,933.2999877929688,822.5,882.7000122070312,430375,2025-05-05
2025-05-12,923.1500244140625,923.1500244140625,946.1500244140625,864.9500122070312,864.9500122070312,306586,2025-05-12
2025-05-19,890.5,890.5,941.0499877929688,859.5999755859375,937.0,290778,2025-05-19
2025-05-26,878.4500122070312,878.4500122070312,903.0,849.5999755859375,903.0,240463,2025-05-26
2025-06-02,889.0999755859375,889.0999755859375,900.0,870.0999755859375,891.0,228838,2025-06-02
2025-06-09,907.2999877929688,907.2999877929688,1020.7000122070312,850.0,902.9500122070312,1351123,2025-06-09
2025-06-16,847.5999755859375,847.5999755859375,935.0,829.9000244140625,914.5499877929688,686260,2025-06-16
2025-06-23,859.5999755859375,859.5999755859375,875.7000122070312,835.6500244140625,847.5999755859375,191240,2025-06-23
2025-06-30,859.5999755859375,859.5999755859375,888.7999877929688,821.6500244140625,863.8499755859375,282109,2025-06-30
2025-07-07,875.4000244140625,875.4000244140625,880.0,838.0499877929688,859.5999755859375,204218,2025-07-07
2025-07-14,907.9500122070312,907.9500122070312,924.4000244140625,863.2999877929688,878.0,170924,2025-07-14
