Date,Adj Close_HONAUT.NS,Close_HONAUT.NS,High_HONAUT.NS,Low_HONAUT.NS,Open_HONAUT.NS,Volume_HONAUT.NS,Date
2020-07-13,27658.076171875,28036.0,28600.0,27975.0,28299.0,4892,2020-07-13
2020-07-20,27352.15625,27725.900390625,28850.0,27636.099609375,28275.0,16814,2020-07-20
2020-07-27,26633.72265625,26997.650390625,28028.0,26900.0,27700.05078125,15945,2020-07-27
2020-08-03,30595.439453125,31013.5,31494.69921875,26820.0,27150.0,36129,2020-08-03
2020-08-10,30141.837890625,30553.69921875,32450.0,30005.0,32000.0,25047,2020-08-10
2020-08-17,34405.16796875,34790.94921875,35180.0,30215.80078125,30985.0,34525,2020-08-17
2020-08-24,33510.05859375,33885.80078125,37000.0,33111.1015625,35000.0,49258,2020-08-24
2020-08-31,31884.04296875,32241.55078125,35500.0,32150.0,34000.0,24480,2020-08-31
2020-09-07,32263.388671875,32625.150390625,32800.0,30802.0,32250.0,21387,2020-09-07
2020-09-14,32383.9375,32747.05078125,34799.94921875,32500.650390625,32600.0,16321,2020-09-14
2020-09-21,32021.599609375,32380.650390625,33585.0,31000.0,32799.0,14171,2020-09-21
2020-09-28,32222.0,32583.30078125,33499.6484375,32400.0,32601.0,5261,2020-09-28
2020-10-05,30648.740234375,30992.400390625,32945.0,30900.0,32945.0,12326,2020-10-05
2020-10-12,29741.91015625,30075.400390625,31393.349609375,29951.0,31199.94921875,14450,2020-10-12
2020-10-19,29471.34375,29801.80078125,30477.599609375,29500.19921875,30470.0,15609,2020-10-19
2020-10-26,28136.1640625,28451.650390625,29959.94921875,28379.44921875,29802.0,15855,2020-10-26
2020-11-02,29560.39453125,29891.849609375,30674.0,27850.0,28401.0,33739,2020-11-02
2020-11-09,29376.01171875,29705.400390625,30849.400390625,28400.099609375,30437.0,26226,2020-11-09
2020-11-16,30496.3984375,30838.349609375,32789.0,29279.69921875,29279.69921875,24164,2020-11-16
2020-11-23,31602.646484375,31957.0,32917.0,30626.150390625,30840.0,20736,2020-11-23
2020-11-30,30513.607421875,30855.75,32054.55078125,30800.0,31957.0,14606,2020-11-30
2020-12-07,30923.609375,31270.349609375,31450.0,30600.0,30855.75,22345,2020-12-07
2020-12-14,32538.599609375,32903.44921875,33000.0,31111.150390625,31300.0,21289,2020-12-14
2020-12-21,37826.2109375,38250.3515625,38870.0,32155.55078125,33037.0,82962,2020-12-21
2020-12-28,36576.72265625,36986.8515625,39200.0,36669.55078125,38887.75,26648,2020-12-28
2021-01-04,40171.61328125,40622.05078125,41710.0,36550.0,37449.8515625,49125,2021-01-04
2021-01-11,38817.94140625,39253.19921875,41571.1484375,38934.80078125,41000.0,41247,2021-01-11
2021-01-18,39458.0625,39900.5,41859.75,37710.55078125,39253.19921875,39090,2021-01-18
2021-01-25,38552.41796875,38984.69921875,40640.0,37864.8515625,40597.0,20305,2021-01-25
2021-02-01,41374.0234375,41837.94921875,42810.0,38105.0,39000.0,40974,2021-02-01
2021-02-08,41366.0234375,41829.8515625,43231.0,41200.0,41999.0,20697,2021-02-08
2021-02-15,43113.97265625,43597.3984375,44940.0,41711.94921875,41900.0,41211,2021-02-15
2021-02-22,44489.54296875,44988.3984375,48644.0,44117.0,45000.0,82070,2021-02-22
2021-03-01,46389.09375,46909.25,49600.0,45101.1015625,45288.3984375,50685,2021-03-01
2021-03-08,48353.1796875,48895.3515625,49870.75,47138.05078125,47248.8984375,28464,2021-03-08
2021-03-15,42443.2421875,42919.1484375,49990.0,42042.05078125,49148.0,184285,2021-03-15
2021-03-22,44939.25390625,45443.1484375,45549.75,41851.25,42848.0,43420,2021-03-22
2021-03-29,45601.28515625,46112.6015625,47775.05078125,45443.1484375,45443.1484375,26529,2021-03-29
2021-04-05,42769.875,43249.44921875,46499.0,43100.0,46499.0,17504,2021-04-05
2021-04-12,42646.41015625,43124.6015625,43990.0,40720.0,42999.0,18871,2021-04-12
2021-04-19,42641.31640625,43119.44921875,44500.0,41671.55078125,42800.0,12218,2021-04-19
2021-04-26,42636.87109375,43114.94921875,44615.75,42882.5,43599.8984375,13923,2021-04-26
2021-05-03,41315.19140625,41778.44921875,43438.94921875,41400.0,43110.0,11118,2021-05-03
