Date,Adj Close_SPMLINFRA.NS,Close_SPMLINFRA.NS,High_SPMLINFRA.NS,Low_SPMLINFRA.NS,Open_SPMLINFRA.NS,Volume_SPMLINFRA.NS,Date
2020-07-13,8.399999618530273,8.399999618530273,8.800000190734863,8.050000190734863,8.5,41720,2020-07-13
2020-07-20,7.949999809265137,7.949999809265137,8.449999809265137,7.900000095367432,8.199999809265137,51809,2020-07-20
2020-07-27,7.449999809265137,7.449999809265137,8.050000190734863,7.449999809265137,7.599999904632568,48226,2020-07-27
2020-08-03,7.650000095367432,7.650000095367432,8.0,7.150000095367432,7.449999809265137,59638,2020-08-03
2020-08-10,9.649999618530273,9.649999618530273,10.649999618530273,7.599999904632568,7.650000095367432,413465,2020-08-10
2020-08-17,10.550000190734863,10.550000190734863,10.699999809265137,8.75,10.100000381469727,138077,2020-08-17
2020-08-24,11.75,11.75,11.949999809265137,10.050000190734863,10.550000190734863,625291,2020-08-24
2020-08-31,10.350000381469727,10.350000381469727,12.0,10.149999618530273,11.949999809265137,83795,2020-08-31
2020-09-07,9.850000381469727,9.850000381469727,10.649999618530273,9.350000381469727,9.899999618530273,67301,2020-09-07
2020-09-14,9.949999809265137,9.949999809265137,10.5,9.550000190734863,10.149999618530273,37292,2020-09-14
2020-09-21,8.75,8.75,10.050000190734863,8.350000381469727,9.5,25444,2020-09-21
2020-09-28,8.199999809265137,8.199999809265137,9.149999618530273,8.199999809265137,8.949999809265137,26625,2020-09-28
2020-10-05,8.149999618530273,8.149999618530273,9.0,8.0,8.199999809265137,22405,2020-10-05
2020-10-12,8.449999809265137,8.449999809265137,9.0,7.699999809265137,8.149999618530273,47883,2020-10-12
2020-10-19,8.550000190734863,8.550000190734863,8.850000381469727,7.599999904632568,8.75,115118,2020-10-19
2020-10-26,8.100000381469727,8.100000381469727,9.300000190734863,7.599999904632568,8.5,162959,2020-10-26
2020-11-02,8.149999618530273,8.149999618530273,8.399999618530273,7.650000095367432,7.800000190734863,32678,2020-11-02
2020-11-09,8.050000190734863,8.050000190734863,8.399999618530273,7.699999809265137,8.25,47937,2020-11-09
2020-11-16,8.149999618530273,8.149999618530273,8.600000381469727,7.300000190734863,8.0,160596,2020-11-16
