Date,Adj Close_DOLPHIN.NS,Close_DOLPHIN.NS,High_DOLPHIN.NS,Low_DOLPHIN.NS,Open_DOLPHIN.NS,Volume_DOLPHIN.NS,Date
2020-07-13,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,0,2020-07-13
2020-07-20,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,0,2020-07-20
2020-07-27,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,0,2020-07-27
2020-08-03,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,0,2020-08-03
2020-08-10,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,0,2020-08-10
2020-08-17,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,0,2020-08-17
2020-08-24,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,0,2020-08-24
2020-08-31,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,0,2020-08-31
2020-09-07,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,0,2020-09-07
2020-09-14,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,0,2020-09-14
2020-09-21,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,0,2020-09-21
2020-09-28,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,0,2020-09-28
2020-10-05,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,0,2020-10-05
2020-10-12,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,0,2020-10-12
2020-10-19,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,0,2020-10-19
2020-10-26,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,0,2020-10-26
2020-11-02,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,0,2020-11-02
2020-11-09,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,0,2020-11-09
2020-11-16,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,0,2020-11-16
2020-11-23,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,0,2020-11-23
2020-11-30,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,0,2020-11-30
2020-12-07,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,0,2020-12-07
2020-12-14,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,0,2020-12-14
2020-12-21,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,0,2020-12-21
2020-12-28,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,0,2020-12-28
2021-01-04,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,0,2021-01-04
