Date,Adj Close_INGERRAND.NS,Close_INGERRAND.NS,High_INGERRAND.NS,Low_INGERRAND.NS,Open_INGERRAND.NS,Volume_INGERRAND.NS,Date
2020-07-13,592.2035522460938,632.5499877929688,639.9500122070312,610.4000244140625,612.0499877929688,34760,2020-07-13
2020-07-20,580.7816162109375,620.3499755859375,639.5,615.5,638.0,45165,2020-07-20
2020-07-27,567.2533569335938,605.9000244140625,620.3499755859375,595.1500244140625,613.0,33504,2020-07-27
2020-08-03,589.7225952148438,629.9000244140625,657.4000244140625,601.0,610.0999755859375,68910,2020-08-03
2020-08-10,589.9098510742188,630.0999755859375,657.4000244140625,625.0999755859375,640.0,78635,2020-08-10
2020-08-17,601.5188598632812,642.5,699.7000122070312,626.1500244140625,637.0,485534,2020-08-17
2020-08-24,611.4428100585938,653.0999755859375,680.0,637.0,648.0,307370,2020-08-24
2020-08-31,584.1052856445312,623.9000244140625,657.7000122070312,612.7999877929688,657.7000122070312,89797,2020-08-31
2020-09-07,570.3428955078125,609.2000122070312,627.75,591.0,622.5,69572,2020-09-07
2020-09-14,580.03271484375,619.5499877929688,636.9000244140625,611.4500122070312,611.4500122070312,71388,2020-09-14
2020-09-21,553.7249755859375,591.4500122070312,623.2000122070312,585.8499755859375,620.0,66132,2020-09-21
2020-09-28,553.2101440429688,590.9000244140625,608.75,587.0499877929688,599.0,44055,2020-09-28
2020-10-05,547.9205322265625,585.25,603.0,585.0,591.0,47031,2020-10-05
2020-10-12,547.4524536132812,584.75,599.7000122070312,555.0,592.9500122070312,123842,2020-10-12
2020-10-19,545.2522583007812,582.4000244140625,604.8499755859375,572.0,580.0,64314,2020-10-19
2020-10-26,535.328369140625,571.7999877929688,586.4500122070312,556.7000122070312,583.5499877929688,45002,2020-10-26
2020-11-02,544.0352172851562,581.0999755859375,584.8499755859375,565.5999755859375,570.0,29481,2020-11-02
2020-11-09,551.103759765625,588.6500244140625,593.5,577.0,577.0,50179,2020-11-09
2020-11-16,596.791015625,637.4500122070312,667.2999877929688,582.0499877929688,582.0499877929688,157975,2020-11-16
2020-11-23,606.76171875,648.0999755859375,679.0,608.4000244140625,654.4000244140625,1535547,2020-11-23
2020-11-30,595.9952392578125,636.5999755859375,657.0,631.0,648.0999755859375,110561,2020-11-30
2020-12-07,596.931396484375,637.5999755859375,656.9000244140625,630.5999755859375,640.0,138948,2020-12-07
2020-12-14,597.6803588867188,638.4000244140625,660.0,628.0499877929688,637.5999755859375,162669,2020-12-14
2020-12-21,591.220458984375,631.5,644.0,610.0499877929688,638.4000244140625,87326,2020-12-21
2020-12-28,609.9915771484375,651.5499877929688,660.0,628.0,636.9000244140625,124092,2020-12-28
2021-01-04,698.2767944335938,745.8499755859375,764.6500244140625,612.5,660.0,2277229,2021-01-04
2021-01-11,678.8502807617188,725.0999755859375,764.0,720.0499877929688,747.0,633415,2021-01-11
2021-01-18,670.986083984375,716.7000122070312,761.0,696.2999877929688,735.0,226786,2021-01-18
2021-01-25,639.669677734375,683.25,723.4500122070312,679.9500122070312,720.0,46255,2021-01-25
2021-02-01,695.3276977539062,742.7000122070312,805.5999755859375,675.5,680.0,469533,2021-02-01
2021-02-08,797.0476684570312,851.3499755859375,910.9500122070312,731.2999877929688,746.3499755859375,1499780,2021-02-08
2021-02-15,700.4769287109375,748.2000122070312,845.0,736.0,845.0,494983,2021-02-15
2021-02-22,695.0469360351562,742.4000244140625,760.0,717.5499877929688,741.4000244140625,208666,2021-02-22
2021-03-01,692.56591796875,739.75,752.0,731.0999755859375,746.2999877929688,128852,2021-03-01
2021-03-08,696.1234741210938,743.5499877929688,750.0,728.2999877929688,739.5499877929688,57573,2021-03-08
2021-03-15,644.350830078125,688.25,749.7999877929688,675.0,749.7999877929688,120723,2021-03-15
2021-03-22,627.6861572265625,670.4500122070312,704.0,667.0499877929688,688.0,66036,2021-03-22
2021-03-29,653.38525390625,697.9000244140625,700.0,670.4500122070312,670.4500122070312,39044,2021-03-29
2021-04-05,678.3822021484375,724.5999755859375,763.7999877929688,682.25,693.75,402653,2021-04-05
2021-04-12,649.9212036132812,694.2000122070312,720.0,682.5,720.0,62809,2021-04-12
2021-04-19,659.8451538085938,704.7999877929688,754.8499755859375,675.5999755859375,688.0,685166,2021-04-19
2021-04-26,698.417236328125,746.0,798.0,726.5999755859375,745.0,1801843,2021-04-26
2021-05-03,689.2891845703125,736.25,751.0,732.6500244140625,751.0,162194,2021-05-03
2021-05-10,722.4312744140625,771.6500244140625,815.0,737.1500244140625,745.0,605462,2021-05-10
2021-05-17,771.2548828125,823.7999877929688,839.0,764.0999755859375,765.0499877929688,425791,2021-05-17
2021-05-24,890.0606689453125,950.7000122070312,1036.050048828125,826.75,830.7000122070312,1907095,2021-05-24
2021-05-31,918.4280395507812,981.0,1024.9000244140625,918.0,959.9000244140625,817115,2021-05-31
2021-06-07,906.023193359375,967.75,1014.0,952.5999755859375,981.5,494054,2021-06-07
2021-06-14,890.9032592773438,951.5999755859375,983.5,925.2000122070312,972.5999755859375,257860,2021-06-14
2021-06-21,913.9342651367188,976.2000122070312,1043.0,943.5,954.0,676886,2021-06-21
2021-06-28,907.240234375,969.0499877929688,1019.0,966.0,975.0,214452,2021-06-28
2021-07-05,910.048828125,972.0499877929688,989.6500244140625,958.2999877929688,970.25,103582,2021-07-05
2021-07-12,903.495361328125,965.0499877929688,996.0,962.2000122070312,978.7999877929688,147375,2021-07-12
