Date,Adj Close_KCPSUGIND.NS,Close_KCPSUGIND.NS,High_KCPSUGIND.NS,Low_KCPSUGIND.NS,Open_KCPSUGIND.NS,Volume_KCPSUGIND.NS,Date
2020-07-13,15.952552795410156,16.350000381469727,19.5,16.200000762939453,17.200000762939453,4835948,2020-07-13
2020-07-20,15.02564525604248,15.399999618530273,17.350000381469727,15.100000381469727,16.700000762939453,2323655,2020-07-20
2020-07-27,13.757246971130371,14.100000381469727,15.399999618530273,14.0,15.149999618530273,1730341,2020-07-27
2020-08-03,14.391447067260742,14.75,14.949999809265137,14.0,14.0,1475380,2020-08-03
2020-08-10,14.635370254516602,15.0,16.950000762939453,14.600000381469727,15.050000190734863,3018084,2020-08-10
2020-08-17,15.562275886535645,15.949999809265137,16.399999618530273,14.899999618530273,15.100000381469727,1790759,2020-08-17
2020-08-24,15.318353652954102,15.699999809265137,16.600000381469727,15.5,16.100000381469727,1340998,2020-08-24
2020-08-31,15.02564525604248,15.399999618530273,16.100000381469727,14.300000190734863,15.649999618530273,1131041,2020-08-31
2020-09-07,14.732939720153809,15.100000381469727,16.25,14.800000190734863,15.649999618530273,902857,2020-09-07
2020-09-14,14.732939720153809,15.100000381469727,16.049999237060547,15.0,15.449999809265137,877658,2020-09-14
2020-09-21,14.143000602722168,14.399999618530273,15.149999618530273,13.5,15.149999618530273,484957,2020-09-21
2020-09-28,13.750139236450195,14.0,14.800000190734863,13.949999809265137,14.199999809265137,272834,2020-09-28
2020-10-05,14.535862922668457,14.800000190734863,16.399999618530273,14.0,14.199999809265137,1765470,2020-10-05
2020-10-12,14.486754417419434,14.75,15.899999618530273,14.350000381469727,14.800000190734863,399442,2020-10-12
2020-10-19,14.830509185791016,15.100000381469727,15.699999809265137,14.399999618530273,14.75,675064,2020-10-19
2020-10-26,14.535862922668457,14.800000190734863,15.550000190734863,14.600000381469727,15.100000381469727,756624,2020-10-26
2020-11-02,14.093893051147461,14.350000381469727,15.0,14.100000381469727,14.800000190734863,424874,2020-11-02
2020-11-09,13.94657039642334,14.199999809265137,14.949999809265137,13.949999809265137,14.949999809265137,795549,2020-11-09
2020-11-16,14.093893051147461,14.350000381469727,14.75,13.850000381469727,14.050000190734863,747162,2020-11-16
2020-11-23,15.518014907836914,15.800000190734863,17.799999237060547,14.25,14.399999618530273,4930810,2020-11-23
2020-11-30,15.714445114135742,16.0,17.399999618530273,15.149999618530273,15.800000190734863,2669444,2020-11-30
2020-12-07,16.74570655822754,17.049999237060547,17.75,15.850000381469727,16.200000762939453,5024934,2020-12-07
2020-12-14,15.959981918334961,16.25,17.899999618530273,16.149999618530273,17.25,2898069,2020-12-14
2020-12-21,16.1073055267334,16.399999618530273,17.850000381469727,14.699999809265137,16.25,3050726,2020-12-21
2020-12-28,15.959981918334961,16.25,17.0,16.0,16.399999618530273,879275,2020-12-28
2021-01-04,16.696598052978516,17.0,18.450000762939453,16.350000381469727,17.0,6317236,2021-01-04
2021-01-11,16.156414031982422,16.450000762939453,17.5,16.350000381469727,16.850000381469727,1528566,2021-01-11
2021-01-18,15.518014907836914,15.800000190734863,16.75,15.75,16.549999237060547,839249,2021-01-18
2021-01-25,14.928722381591797,15.199999809265137,16.100000381469727,15.100000381469727,15.899999618530273,437179,2021-01-25
2021-02-01,15.76355266571045,16.049999237060547,16.100000381469727,15.0,15.199999809265137,989963,2021-02-01
2021-02-08,15.468907356262207,15.75,16.5,15.100000381469727,16.149999618530273,1295056,2021-02-08
2021-02-15,15.076045989990234,15.350000381469727,16.100000381469727,15.199999809265137,15.75,1313490,2021-02-15
2021-02-22,15.616230010986328,15.899999618530273,16.850000381469727,14.949999809265137,15.399999618530273,1872889,2021-02-22
2021-03-01,16.35284423828125,16.649999618530273,18.0,15.75,16.149999618530273,5773954,2021-03-01
2021-03-08,15.91087818145752,16.200000762939453,17.5,16.149999618530273,16.850000381469727,1676249,2021-03-08
2021-03-15,15.125153541564941,15.399999618530273,16.350000381469727,14.850000381469727,16.350000381469727,1467178,2021-03-15
2021-03-22,14.634077072143555,14.899999618530273,15.649999618530273,14.800000190734863,15.5,1732341,2021-03-22
2021-03-29,14.830509185791016,15.100000381469727,15.25,14.600000381469727,14.899999618530273,572785,2021-03-29
2021-04-05,15.468907356262207,15.75,16.299999237060547,14.649999618530273,15.149999618530273,1802451,2021-04-05
2021-04-12,15.321584701538086,15.600000381469727,16.299999237060547,14.600000381469727,15.550000190734863,2188605,2021-04-12
2021-04-19,14.830509185791016,15.100000381469727,15.800000190734863,14.75,15.050000190734863,1552260,2021-04-19
2021-04-26,17.334997177124023,17.649999618530273,18.899999618530273,15.050000190734863,15.600000381469727,8101721,2021-04-26
2021-05-03,22.343978881835938,22.75,25.350000381469727,17.649999618530273,17.649999618530273,17527246,2021-05-03
